SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LVP-SIMB-22010,"Simba Universe Vinyl — 220-10 (7.0"" x 6.5mm)",Simba,Simba,220-10,,SIMBLVP22010,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Double Click 2G,FALSE,,,,,,,1.49,2.49,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Double Click 2G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-3592,"Simba Universe Vinyl — 359-2 (7.0"" x 6.5mm)",Simba,Simba,359-2,,SIMBLVP3592,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Double Click 2G,FALSE,,,,,,,1.49,2.49,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Double Click 2G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-36414,"Simba Universe Vinyl — 3641-4 (7.0"" x 6.5mm)",Simba,Simba,3641-4,,SIMBLVP36414,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Double Click 2G,FALSE,,,,,,,1.49,2.49,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Double Click 2G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-369,"Simba Universe Vinyl — 369 (7.0"" x 6.5mm)",Simba,Simba,369,,SIMBLVP369,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Double Click 2G,FALSE,,,,,,,1.49,2.49,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Double Click 2G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-315D,"Simba Universe Vinyl — 315D (7.0"" x 6.5mm)",Simba,Simba,315D,,SIMBLVP315D,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Drop Lock 5G,FALSE,,,,,,,1.59,2.59,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Drop Lock 5G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-666110,"Simba Universe Vinyl — 6661-10 (7.0"" x 6.5mm)",Simba,Simba,6661-10,,SIMBLVP666110,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Drop Lock 5G,FALSE,,,,,,,1.59,2.59,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Drop Lock 5G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-6681,"Simba Universe Vinyl — 6681 (7.0"" x 6.5mm)",Simba,Simba,6681,,SIMBLVP6681,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Drop Lock 5G,FALSE,,,,,,,1.59,2.59,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Drop Lock 5G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-681002,"Simba Universe Vinyl — 681002 (7.0"" x 6.5mm)",Simba,Simba,681002,,SIMBLVP681002,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Drop Lock 5G,FALSE,,,,,,,1.59,2.59,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Drop Lock 5G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-10223,"Simba Universe Vinyl — 1022-3 (7.0"" x 6.5mm)",Simba,Simba,1022-3,,SIMBLVP10223,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Drop Lock 5G,FALSE,,,,,,,1.59,2.59,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Drop Lock 5G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
LVP-SIMB-1069,"Simba Universe Vinyl — 1069 (7.0"" x 6.5mm)",Simba,Simba,1069,,SIMBLVP1069,Universe,Flooring,LVP,SPC core,,,,,7.0,"48""",6.5,12,,,,,Click,,Drop Lock 5G,FALSE,,,,,,,1.59,2.59,,,,,,2026-08-08,Manual,18.91,,,,,TRUE,TRUE,FALSE,,,,,,Collection: Universe. Click system: Drop Lock 5G. Colour name not provided — supplier code used as placeholder (verify with Simba before customer-facing quoting).,,,new
