SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LAM-TRIF-TF1108-F,"Toucan Matt/Hand Scraped Laminate — TF1108-F (5.0"" x 12.3mm)",Toucan,Triforest,TF1108-F,0a6f6e36-8b89-11eb-f3d6-7e8bd25aef02,TRIFLAMTF1108F,Matt / Hand Scraped,Flooring,Laminate,HDF core,,,,,5,,12.3,,,,,,Click,,,FALSE,,,,,,,1.29,2.29,,,,,,2026-06-15,Manual,19.78,,36,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,reckuqQzZiB2nGau5,matched
LAM-TRIF-TF1119-F,"Toucan Matt/Hand Scraped Laminate — TF1119-F (5.0"" x 12.3mm)",Toucan,Triforest,TF1119-F,0a6f6e36-8b89-11eb-f3d6-7e8bd2ab171b,TRIFLAMTF1119F,Matt / Hand Scraped,Flooring,Laminate,HDF core,,,,,5,,12.3,,,,,,Click,,,FALSE,,,,,,,1.29,2.29,,,,,,2026-06-15,Manual,19.78,,36,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,reck0HRiFg7klEEbB,matched
LAM-TRIF-TF1123-F,"Toucan Matt/Hand Scraped Laminate — TF1123-F (5.0"" x 12.3mm)",Toucan,Triforest,TF1123-F,0a6f6e36-8b89-11eb-f3d6-7e8bd303b4bc,TRIFLAMTF1123F,Matt / Hand Scraped,Flooring,Laminate,HDF core,,,,,5,,12.3,,,,,,Click,,,FALSE,,,,,,,1.29,2.29,,,,,,2026-06-15,Manual,19.78,,36,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,rec20fvDBwKHCXjdK,matched
LAM-TRIF-TF3101-F,"Toucan Matt/Hand Scraped Laminate — TF3101-F (5.0"" x 12.3mm)",Toucan,Triforest,TF3101-F,0a6f6e36-8b89-11eb-f3d6-7e8bd3b78849,TRIFLAMTF3101F,Matt / Hand Scraped,Flooring,Laminate,HDF core,,,,,5,,12.3,,,,,,Click,,,FALSE,,,,,,,1.29,2.29,,,,,,2026-06-15,Manual,19.78,,36,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,recHYKMjG6VPla4u9,matched
LAM-TRIF-TF6005-F,"Toucan EIR Laminate — TF6005-F (7.7"" x 12.3mm)",Toucan,Triforest,TF6005-F,28c7bc93-6d8a-4b21-a987-b8949aa396d7,TRIFLAMTF6005F,EIR,Flooring,Laminate,HDF core,,,,,7.7,,12.3,,,,,,Click,,,FALSE,,,,,,,1.35,2.35,,,,,,2026-06-15,Manual,20.51,,35,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,reciaPY52LonQn61M,matched
LAM-TRIF-TF6008-F,"Toucan EIR Laminate — TF6008-F (7.7"" x 12.3mm)",Toucan,Triforest,TF6008-F,421c96d1-d4a3-4ffd-889f-aaa306d4c131,TRIFLAMTF6008F,EIR,Flooring,Laminate,HDF core,,,,,7.7,,12.3,,,,,,Click,,,FALSE,,,,,,,1.35,2.35,,,,,,2026-06-15,Manual,20.51,,35,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,rec7q9iPSEXTl63bD,matched
LAM-TRIF-TF6010-F,"Toucan EIR Laminate — TF6010-F (7.7"" x 12.3mm)",Toucan,Triforest,TF6010-F,099d92bf-ce01-4d86-a424-695201806800,TRIFLAMTF6010F,EIR,Flooring,Laminate,HDF core,,,,,7.7,,12.3,,,,,,Click,,,FALSE,,,,,,,1.35,2.35,,,,,,2026-06-15,Manual,20.51,,35,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,receWqdvmKCNV9PuT,matched
LAM-TRIF-TF6011-F,"Toucan EIR Laminate — TF6011-F (7.7"" x 12.3mm)",Toucan,Triforest,TF6011-F,6f97872c-05cf-4f2f-920e-9ed26fe3e23b,TRIFLAMTF6011F,EIR,Flooring,Laminate,HDF core,,,,,7.7,,12.3,,,,,,Click,,,FALSE,,,,,,,1.35,2.35,,,,,,2026-06-15,Manual,20.51,,35,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,recPD3hpSoT2XQsWE,matched
LAM-TRIF-TF6012-F,"Toucan EIR Laminate — TF6012-F (7.7"" x 12.3mm)",Toucan,Triforest,TF6012-F,aa30e3a8-be5b-4bcb-9d2a-c2aa5f490814,TRIFLAMTF6012F,EIR,Flooring,Laminate,HDF core,,,,,7.7,,12.3,,,,,,Click,,,FALSE,,,,,,,1.35,2.35,,,,,,2026-06-15,Manual,20.51,,35,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,rechdhccVtTOr8vW4,matched
LAM-TRIF-TF6019-F,"Toucan EIR Laminate — TF6019-F (7.7"" x 12.3mm)",Toucan,Triforest,TF6019-F,2f1f79f2-a646-45ee-a272-292b1ec80bdf,TRIFLAMTF6019F,EIR,Flooring,Laminate,HDF core,,,,,7.7,,12.3,,,,,,Click,,,FALSE,,,,,,,1.35,2.35,,,,,,2026-06-15,Manual,20.51,,35,,,TRUE,FALSE,FALSE,FALSE,,,,,36HR water-resistant laminate. Color name TBD — using code as placeholder.,,reci3Jw2cONifzBvJ,matched
