SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-CANS-0001,"Canadian Standard Origins Oak 6.5"" — Arlington",Canadian Standard,Canadian Standard,,547c8081-5927-4cf0-a8ca-8575c1d987d7,CANSORIGINS65OAKARLINGTON,Origins,Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,RL,19.05,,4,,,Sawn Cut / Smoked,T&G,Nail / staple,,,,,,,,,5.79,6.79,,,5.29,2026-10-31,,2026-08-31,Manual,20.25,,,,,TRUE,FALSE,,,,,,,"LS ID backfilled 2026-09-03 by colour+spec match to Lightspeed product ""(P) CANENG - Origins - Oak (Arlington) T&G | #CAN.E.O.Arl.6 |  - 6½"" x"". PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. Species printed only as 'Oak' (origin not stated) - stored verbatim. NOTE: the name 'Origins' is used by two different page-1/page-3 programmes with different specs; Collection kept as printed, distinguish by species/width/finish. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1/p3 6½""/7½"" x ¾"" x RL.",,,new
ENG-CANS-0002,"Canadian Standard Origins Oak 6.5"" — Mckinney",Canadian Standard,Canadian Standard,,2e8574e0-c49b-447e-93f3-52c45c14b39c,CANSORIGINS65OAKMCKINNEY,Origins,Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,RL,19.05,,4,,,Sawn Cut / Smoked,T&G,Nail / staple,,,,,,,,,5.79,6.79,,,5.29,2026-10-31,,2026-08-31,Manual,20.25,,,,,TRUE,FALSE,,,,,,,"LS ID backfilled 2026-09-03 by colour+spec match to Lightspeed product ""(P) CANENG - Origins - Oak (Mckinney) T&G | #CAN.E.O.Mck.6 |  - 6½"" x "". PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. Species printed only as 'Oak' (origin not stated) - stored verbatim. NOTE: the name 'Origins' is used by two different page-1/page-3 programmes with different specs; Collection kept as printed, distinguish by species/width/finish. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1/p3 6½""/7½"" x ¾"" x RL.",,,new
ENG-CANS-0003,"Canadian Standard Origins Oak 6.5"" — Nashville",Canadian Standard,Canadian Standard,,33ae4962-0cea-4402-8653-c1002a6e13cb,CANSORIGINS65OAKNASHVILLE,Origins,Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,RL,19.05,,4,,,Sawn Cut / Smoked,T&G,Nail / staple,,,,,,,,,5.79,6.79,,,5.29,2026-10-31,,2026-08-31,Manual,20.25,,,,,TRUE,FALSE,,,,,,,"LS ID backfilled 2026-09-03 by colour+spec match to Lightspeed product ""(P) CANENG - Origins - Oak (Nashville) T&G | #CAN.E.O.Nas.6 |  - 6½"" x"". PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. Species printed only as 'Oak' (origin not stated) - stored verbatim. NOTE: the name 'Origins' is used by two different page-1/page-3 programmes with different specs; Collection kept as printed, distinguish by species/width/finish. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1/p3 6½""/7½"" x ¾"" x RL.",,,new
ENG-CANS-0004,"Canadian Standard Origins Oak 6.5"" — Quincy",Canadian Standard,Canadian Standard,,a9027bee-9ce8-43cd-bae6-d71832b4d3ee,CANSORIGINS65OAKQUINCY,Origins,Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,RL,19.05,,4,,,Sawn Cut / Smoked,T&G,Nail / staple,,,,,,,,,5.79,6.79,,,5.29,2026-10-31,,2026-08-31,Manual,20.25,,,,,TRUE,FALSE,,,,,,,"LS ID backfilled 2026-09-03 by colour+spec match to Lightspeed product ""(P) CANENG - Origins - Oak (Quincy) T&G | #CAN.E.O.Qui.6 |  - 6½"" x ¾"""". PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. Species printed only as 'Oak' (origin not stated) - stored verbatim. NOTE: the name 'Origins' is used by two different page-1/page-3 programmes with different specs; Collection kept as printed, distinguish by species/width/finish. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1/p3 6½""/7½"" x ¾"" x RL.",,,new
ENG-CANS-0005,"Canadian Standard Origins Oak 6.5"" — Wrenwood",Canadian Standard,Canadian Standard,,d16ab8a8-c4eb-4b21-b9f9-c81d0249433b,CANSORIGINS65OAKWRENWOOD,Origins,Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,RL,19.05,,4,,,Sawn Cut / Smoked,T&G,Nail / staple,,,,,,,,,5.79,6.79,,,5.29,2026-10-31,,2026-08-31,Manual,20.25,,,,,TRUE,FALSE,,,,,,,"LS ID backfilled 2026-09-03 by colour+spec match to Lightspeed product ""(P) CANENG - Origins - Oak (Wrenwood) T&G | #CAN.E.O.Wre.6 |  - 6½"" x "". PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. Species printed only as 'Oak' (origin not stated) - stored verbatim. NOTE: the name 'Origins' is used by two different page-1/page-3 programmes with different specs; Collection kept as printed, distinguish by species/width/finish. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1/p3 6½""/7½"" x ¾"" x RL.",,,new
LVP-CANS-0001,"Canadian Standard Evion 9 Waterproof Collection 9"" — Arno",Canadian Standard,Canadian Standard,EV411009,0e1ec851-25e9-497a-b27b-59cefb8bbe54,CANSEVION9WATERPROOFCOLLECTION9ARNO,Evion 9 Waterproof Collection,Flooring,LVP,SPC core,,,,,9,"60""",9,,,,,,,,,,,,,,,,3.49,4.49,,,2.99,2026-10-31,,2026-08-31,Manual,22.38,6,,,,TRUE,TRUE,,,,,,,"PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. 9""w x 60""l (228mm x 1520mm) x 9mm. ASSUMPTION: core printed only as '9mm Vinyl' - Material type set to SPC core as the schema's default for unlabelled rigid vinyl; WPC not named anywhere. Confirm with supplier. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1 9""w x 60""l. LS UUID assigned by Lightspeed on the 2026-09-03 POS upload; backfilled into Airtable the same day by SKU match against product-export_(8).xlsx.",,,new
LVP-CANS-0002,"Canadian Standard Evion 9 Waterproof Collection 9"" — Eska",Canadian Standard,Canadian Standard,EV411010,ecd1af4d-56ff-486f-a5dd-536c1d73efbc,CANSEVION9WATERPROOFCOLLECTION9ESKA,Evion 9 Waterproof Collection,Flooring,LVP,SPC core,,,,,9,"60""",9,,,,,,,,,,,,,,,,3.49,4.49,,,2.99,2026-10-31,,2026-08-31,Manual,22.38,6,,,,TRUE,TRUE,,,,,,,"PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. 9""w x 60""l (228mm x 1520mm) x 9mm. ASSUMPTION: core printed only as '9mm Vinyl' - Material type set to SPC core as the schema's default for unlabelled rigid vinyl; WPC not named anywhere. Confirm with supplier. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1 9""w x 60""l. LS UUID assigned by Lightspeed on the 2026-09-03 POS upload; backfilled into Airtable the same day by SKU match against product-export_(8).xlsx.",,,new
LVP-CANS-0003,"Canadian Standard Evion 9 Waterproof Collection 9"" — Lumi",Canadian Standard,Canadian Standard,EV411011,b7cb8949-dba1-4fd9-a0c3-392994d812e2,CANSEVION9WATERPROOFCOLLECTION9LUMI,Evion 9 Waterproof Collection,Flooring,LVP,SPC core,,,,,9,"60""",9,,,,,,,,,,,,,,,,3.49,4.49,,,2.99,2026-10-31,,2026-08-31,Manual,22.38,6,,,,TRUE,TRUE,,,,,,,"PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. 9""w x 60""l (228mm x 1520mm) x 9mm. ASSUMPTION: core printed only as '9mm Vinyl' - Material type set to SPC core as the schema's default for unlabelled rigid vinyl; WPC not named anywhere. Confirm with supplier. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1 9""w x 60""l. LS UUID assigned by Lightspeed on the 2026-09-03 POS upload; backfilled into Airtable the same day by SKU match against product-export_(8).xlsx.",,,new
LVP-CANS-0004,"Canadian Standard Evion 9 Waterproof Collection 9"" — Mizu",Canadian Standard,Canadian Standard,EV411012,4bf4bf2e-9ecb-4a22-9956-990123c1a1d6,CANSEVION9WATERPROOFCOLLECTION9MIZU,Evion 9 Waterproof Collection,Flooring,LVP,SPC core,,,,,9,"60""",9,,,,,,,,,,,,,,,,3.49,4.49,,,2.99,2026-10-31,,2026-08-31,Manual,22.38,6,,,,TRUE,TRUE,,,,,,,"PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. 9""w x 60""l (228mm x 1520mm) x 9mm. ASSUMPTION: core printed only as '9mm Vinyl' - Material type set to SPC core as the schema's default for unlabelled rigid vinyl; WPC not named anywhere. Confirm with supplier. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1 9""w x 60""l. LS UUID assigned by Lightspeed on the 2026-09-03 POS upload; backfilled into Airtable the same day by SKU match against product-export_(8).xlsx.",,,new
LVP-CANS-0005,"Canadian Standard Evion 9 Waterproof Collection 9"" — Noa",Canadian Standard,Canadian Standard,EV411013,c21c0714-b453-4244-bbc0-2d3f287b5bf4,CANSEVION9WATERPROOFCOLLECTION9NOA,Evion 9 Waterproof Collection,Flooring,LVP,SPC core,,,,,9,"60""",9,,,,,,,,,,,,,,,,3.49,4.49,,,2.99,2026-10-31,,2026-08-31,Manual,22.38,6,,,,TRUE,TRUE,,,,,,,"PROMO: sheet prints paired Promotion/Regular prices under 'Promotion Valid until October 31, 2026'. Cost = Regular, Promo cost = Promotion, Promo end date = 2026-10-31 (printed window). 'New Arrival'. 9""w x 60""l (228mm x 1520mm) x 9mm. ASSUMPTION: core printed only as '9mm Vinyl' - Material type set to SPC core as the schema's default for unlabelled rigid vinyl; WPC not named anywhere. Confirm with supplier. COST BASIS CONFIRMED (Albert, 2026-09-03): Canadian Standard prints Titan's cost per unit only - no MSRP, no multiplier. Printed price = Cost/unit as-is; Retail = Cost + $1.00 (schema default). NEW SUPPLIER - Canadian Standard has no subsection in bert-airtable-schema and no records/Supplier option in Airtable. Global rules only; supplier onboarding checklist still owed. SKU suffix 'CANS' and the LS handle scheme are unconfirmed (CANS implied by the skill's HWD-CANS-0001 format example). Length source: p1 9""w x 60""l. LS UUID assigned by Lightspeed on the 2026-09-03 POS upload; backfilled into Airtable the same day by SKU match against product-export_(8).xlsx.",,,new
