SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-GRAN-0004,"Grandeur 6.5"" EWO — Barbados (ABC)",Grandeur,Grandeur,,56647347-cc50-4eac-b402-4b7c4ac8a568,GRND65EWOBARBADOS,Scandinavia,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,6.5,19.05,,1.2,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,20.83,,,,,TRUE,FALSE,,,,,,,,,recobIv3JsQo55MFB,matched
ENG-GRAN-0001,"Grandeur 6.5"" EWO — Bora Bora (ABC)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b63420110,GRND65EWOBORABORA,Scandinavia,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,6.5,19.05,,1.2,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,20.83,,,,,TRUE,FALSE,,,,,,,,,recV4VUS7cqqTnyDJ,matched
ENG-GRAN-0002,"Grandeur 6.5"" EWO — Santorini (ABC)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6c33a689,GRND65EWOSANTORINI,Scandinavia,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,6.5,19.05,,1.2,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,20.83,,,,,TRUE,FALSE,,,,,,,,,rec3rf57zqs0qtgdX,matched
ENG-GRAN-0005,"Grandeur 6.5"" EWO — Sardinia (ABC)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6c4f4912,GRND65EWOSARDINIA,Scandinavia,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,6.5,19.05,,1.2,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,20.83,,,,,TRUE,FALSE,,,,,,,,,recjcchm9PeLYFCH5,matched
ENG-GRAN-0003,"Grandeur 6.5"" EWO — St. Lucia (ABC)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6c7dd82d,GRND65EWOSTLUCIA,Scandinavia,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,6.5,19.05,,1.2,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,20.83,,,,,TRUE,FALSE,,,,,,,,,recyY67qhu0dJtLpp,matched
ENG-GRAN-0006,"Grandeur 6.5"" EWO — Tahiti (ABC)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6ce6634b,GRND65EWOTAHITI,Scandinavia,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,6.5,19.05,,1.2,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,20.83,,,,,TRUE,FALSE,,,,,,,,,rec4CAulQKU11pPJU,matched
ENG-GRAN-0007,"Grandeur 6.5"" EWO — White Island (ABC)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6d4e7c57,GRND65EWOWHITEISLAND,Scandinavia,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,,6.5,19.05,,1.2,,,Light Wirebrushed UV Lacquered,T&G,,,,,,,,,,3.69,4.69,6.29,,,,,2026-09-01,Cowork,20.83,,,,,TRUE,FALSE,,,,,,,,,recLO6yHFPPYvyds0,matched
ENG-GRAN-0008,"Grandeur 6"" EWO — Laguna Beach (ABCD)",Grandeur,Grandeur,,c8645e67-b982-4d9f-a8a8-f90ea5da608a,GRND6EWOLAGUNABEACH,Paradise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,2,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.69,5.69,7.29,,,,,2026-09-01,Cowork,20.62,,,,,TRUE,FALSE,,,,,,,,,recpcAoksKZkaeoV7,matched
ENG-GRAN-0009,"Grandeur 6"" EWO — Santa Cruz (ABCD)",Grandeur,Grandeur,,06b7f4bc-c974-45cb-a8a5-82514af41d1e,GRND6EWOSANTACRUZ,Paradise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,2,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.69,5.69,7.29,,,,,2026-09-01,Cowork,20.62,,,,,TRUE,FALSE,,,,,,,,,rectMrUUZcGqaBwlJ,matched
ENG-GRAN-0012,"Grandeur 6.5"" HIC — Natural (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b61b6b476,GRND65NAHNATURAL,Artisan,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,6.5,19.05,,2,,,Wirebrushed,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,20.25,,,,,TRUE,FALSE,,,,,,,SALE item. No regular (non-SALE) equivalent found in this price list -> Cost/unit set equal to SALE price per Sale rule 3 (placeholder).,,reczStyLrlyhpScG1,matched
