SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-GRNT-0001,"GreenTouch Elegance WO 6"" — Lucca (Char)",GreenTouch,GreenTouch,WB1361,4e4d1f3d-97d4-40c0-bf4d-f4f752c8ce9d,GRNTELEG6WOLUCCA,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,29.71,,,,,,,,,,,,,Regular list effective 2026-09-01.,,recO1G6r8wV6zbkRo,matched
ENG-GRNT-0002,"GreenTouch Elegance WO 6"" — Lucca (Sel)",GreenTouch,GreenTouch,WB1381,bd77dafd-7822-4a47-b8f2-794db0959544,GRNTELEG6WOLUCCA,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,4.09,5.09,,,,,,2026-09-01,Cowork,29.71,,,,Low stock,,,,,,,,,Regular list effective 2026-09-01. Sheet marks 'Limited' -> Stock status Low stock.,,recqkbxtCJbzK4rCl,matched
ENG-GRNT-0003,"GreenTouch Elegance WO 6"" — Lecce (Char)",GreenTouch,GreenTouch,WB1362,ff0b9cd8-e5e9-4c56-8a7a-bd33212e9836,GRNTELEG6WOLECCE,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,29.71,,,,,,,,,,,,,Regular list effective 2026-09-01.,,recCd4Liziiy1kM8C,matched
ENG-GRNT-0010,"GreenTouch Elegance WO 6"" — Lecce (Sel)",GreenTouch,GreenTouch,WB1382,7e3cfbab-4b3d-4ef4-b59a-fc3b3bde0712,GRNTELEG6WOLECCE,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,4.09,5.09,,,,,,2026-09-01,Cowork,29.71,,,,Discontinued,,,,,,,,,Regular list effective 2026-09-01. Sheet marks 'Discontinued' -> Stock status Discontinued.,,recBpJFwImaKdfMS4,matched
ENG-GRNT-0004,"GreenTouch Elegance WO 6"" — Trani (Char)",GreenTouch,GreenTouch,WB1363,85cd6f01-fd31-4a86-9195-a8f69805720b,GRNTELEG6WOTRANI,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,29.71,,,,,,,,,,,,,Regular list effective 2026-09-01.,,recjFBz2ahpI0J9AU,matched
ENG-GRNT-0005,"GreenTouch Elegance WO 6"" — Monza (Char)",GreenTouch,GreenTouch,WB1364,6855c611-804e-4bb8-90ba-59a7ffcb6f59,GRNTELEG6WOMONZA,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,29.71,,,,,,,,,,,,,Regular list effective 2026-09-01.,,recgTEgguxQph4EsU,matched
ENG-GRNT-0006,"GreenTouch Elegance WO 6"" — Capri (Char)",GreenTouch,GreenTouch,WB1365,b4d22db0-134f-4e30-8de4-974926b7a46c,GRNTELEG6WOCAPRI,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Character,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,29.71,,,,,,,,,,,,,Regular list effective 2026-09-01.,,recV3HCw1ZyefaLqv,matched
ENG-GRNT-0011,"GreenTouch Elegance WO 6"" — Verona (Sel)",GreenTouch,GreenTouch,WB1383,1870a765-ed46-41fa-bd17-ba3611b59c39,GRNTELEG6WOVERONA,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,29.71,,,,Discontinued,,,,,,,,,Regular list effective 2026-09-01. Sheet marks 'Discontinued' -> Stock status Discontinued.,,recz8Pe20z8tF0BxK,matched
ENG-GRNT-0007,"GreenTouch Elegance WO 6"" — Prato (Sel)",GreenTouch,GreenTouch,WB1384,112d34b8-331b-463a-87d5-74c9fa118fa2,GRNTELEG6WOPRATO,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,29.71,,,,Discontinued,,,,,,,,,Regular list effective 2026-09-01. Sheet marks 'Discontinued' -> Stock status Discontinued.,,reczHKjhDqFbwlOlJ,matched
ENG-GRNT-0008,"GreenTouch Elegance WO 6"" — Siena (Sel)",GreenTouch,GreenTouch,WB1385,ef4575ec-74e8-485e-acff-923c1faa7a92,GRNTELEG6WOSIENA,Elegance,Flooring,Engineered hardwood,Hardwood plywood,White Oak,,Select,,6,"72""RL",19.05,,3,,,,T&G,,,,,,,,,,3.89,4.89,,,,,,2026-09-01,Cowork,28.42,,,,Discontinued,,,,,,,,,Regular list effective 2026-09-01. Sheet marks 'Discontinued' -> Stock status Discontinued.,,rec8IV8FJzvW3SVeq,matched
