SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-VIDR-0003,"Vidar 6"" AWO — Smoke Grey (Character)",Vidar,Vidar,,96ae1891-e8a3-47c7-92e5-16c620637bf6,VIDR6AWOSMOKEGREY,6 Collection,Flooring,Engineered hardwood,,American White Oak,Smoke Grey,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,3.79,,,,2.99,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,recttepYhaiaQfqC1,matched
ENG-VIDR-0002,"Vidar 6"" AWO — Silver Stone (Select)",Vidar,Vidar,,77f035b0-5607-412d-83a0-e3c88b2a0927,VIDR6AWOSILVERSTONE,6 Collection,Flooring,Engineered hardwood,,American White Oak,Silver Stone,Select,,6,RL,18,,2,,,,T&G,,,,,,,,,,4.09,,,,3.39,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,recLDbcpfYBcyZ3Hz,matched
ENG-VIDR-0001,"Vidar 6"" AWO — Silver Stone (Character)",Vidar,Vidar,,aaef880a-2344-4e60-9bea-789fe116aad6,VIDR6AWOSILVERSTONE,6 Collection,Flooring,Engineered hardwood,,American White Oak,Silver Stone,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,3.79,,,,2.99,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,recRugbXzK84mLRBI,matched
ENG-VIDR-0004,"Vidar 6"" AWO — Sky (Character)",Vidar,Vidar,,5318abfa-b2ac-4229-8b31-625e44c3be5b,VIDR6AWOSKY,6 Collection,Flooring,Engineered hardwood,,American White Oak,Sky,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,3.79,,,,2.99,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,reck3M5ubIct6f8hA,matched
ENG-VIDR-0005,"Vidar 6"" AWO — Black Brown (Character)",Vidar,Vidar,,29df811e-1ab4-420f-8972-08aeccfd1a98,VIDR6AWOBLACKBROWN,6 Collection,Flooring,Engineered hardwood,,American White Oak,Black Brown,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,3.79,,,,3.29,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,reciewNpglOxm5xTe,matched
ENG-VIDR-0006,"Vidar 6"" AWO — Camel (Character)",Vidar,Vidar,,d1b96772-5182-4660-b016-cca3a36b6ff1,VIDR6AWOCAMEL,6 Collection,Flooring,Engineered hardwood,,American White Oak,Camel,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,3.79,,,,3.29,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,recLwpOfJuLEOaaah,matched
ENG-VIDR-0007,"Vidar 6"" AWO — Coffee (Character)",Vidar,Vidar,,06564601-23d4-4f4a-819e-0f324430109a,VIDR6AWOCOFFEE,6 Collection,Flooring,Engineered hardwood,,American White Oak,Coffee,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,3.79,,,,3.29,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,rec5mATNJFqjl14lK,matched
ENG-VIDR-0018,"Vidar 6"" AWO — Toffee Crunch (Character)",Vidar,Vidar,,21f1945d-2cdd-4788-9d38-4fb9db63b8b3,VIDR6AWOTOFFEECRUNCH,6 Collection,Flooring,Engineered hardwood,,American White Oak,Toffee Crunch,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,4.29,,,,3.79,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,rec5Pu44jGFxqkzvB,matched
ENG-VIDR-0008,"Vidar 6"" AWO — Wheat Berry (Character)",Vidar,Vidar,,d1de09f5-abca-48ea-8254-876a09351e87,VIDR6AWOWHEATBERRY,6 Collection,Flooring,Engineered hardwood,,American White Oak,Wheat Berry,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,4.29,,,,3.79,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,recLR4ezRlKGbCp8y,matched
ENG-VIDR-0010,"Vidar 6"" AWO — Fortino (Character)",Vidar,Vidar,,687e2045-57e3-4e3b-9fc5-1e0b2dd6317e,VIDR6AWOFORTINO,6 Collection,Flooring,Engineered hardwood,,American White Oak,Fortino,Character,,6,RL,18,,2,,,,T&G,,,,,,,,,,4.29,,,,3.79,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,recdfBCAWOQ7MOofI,matched
ENG-VIDR-0193,"Vidar 6"" EWO — Toffee Crunch (Rustic)",Vidar,Vidar,,,VIDR6EWOTOFFEECRUNCH,,Flooring,Engineered hardwood,,European White Oak,Toffee Crunch,Rustic,,6,RL,,,,,,,T&G,,,,,,,,,,3.39,4.39,,,3.39,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,"NEW — promoted grade/spec has no catalogue record. Per 'Promo product not found in catalogue': Cost/unit = promo cost as a PLACEHOLDER (no regular cost known), Retail = Cost + $1.00 — both need correcting once Vidar confirms the regular cost. Specs copied from NO SIBLING FOUND — all specs unverified. September 2026 promo, valid to 2026-09-30.",,,new
ENG-VIDR-0033,"Vidar 7.5"" AWO — Coyote (Character)",Vidar,Vidar,,9f5b7ccb-f80a-4314-a035-125b488e8225,VIDR75AWOCOYOTE,7 Collection,Flooring,Engineered hardwood,,American White Oak,Coyote,Character,,7.5,RL,18,,3,,,,T&G,,,,,,,,,,4.19,,,,3.39,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,rec4xyLeDOX5fGbda,matched
ENG-VIDR-0034,"Vidar 7.5"" AWO — Sky (Character)",Vidar,Vidar,,64889ff2-ef1d-48e1-8c04-f9cfb2213135,VIDR75AWOSKY,7 Collection,Flooring,Engineered hardwood,,American White Oak,Sky,Character,,7.5,RL,18,,3,,,,T&G,,,,,,,,,,4.19,,,,3.39,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,rechrGv8ltbERjFVt,matched
ENG-VIDR-0035,"Vidar 7.5"" AWO — Charcoal (Character)",Vidar,Vidar,,6c4d2a7f-49b2-4005-ae73-378376d6d515,VIDR75AWOCHARCOAL,7 Collection,Flooring,Engineered hardwood,,American White Oak,Charcoal,Character,,7.5,RL,18,,3,,,,T&G,,,,,,,,,,4.39,,,,3.99,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,rec6PBV0oyCnGe2Gm,matched
ENG-VIDR-0046,"Vidar 7.5"" AWO — Naked Oak (Character)",Vidar,Vidar,,2efa1ef6-5474-49aa-855f-8abf938d4979,VIDR75AWONAKEDOAK,7 Collection,Flooring,Engineered hardwood,,American White Oak,Naked Oak,Character,,7.5,RL,18,,3,,,,T&G,,,,,,,,,,5.09,,,,4.79,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,rec0OkikDts7a4fJR,matched
ENG-VIDR-0043,"Vidar 7.5"" AWO — Macaroon (Character)",Vidar,Vidar,,bfb1c9f8-6003-4a93-acf3-3cab4f5cec01,VIDR75AWOMACAROON,7 Collection,Flooring,Engineered hardwood,,American White Oak,Macaroon,Character,,7.5,RL,18,,3,,,,T&G,,,,,,,,,,5.09,,,,4.79,2026-09-30,,2026-09-03,Cowork,,,,,,,,,,,,,,September 2026 promo (valid to 2026-09-30; COD Vidar Mississauga warehouse; not combinable with other discounts). Cost/unit unchanged — promo cost only.,,recG75fkkhBysp6AY,matched
