SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-EVGR-0001,"Evergreen Engineered Oak — Huskie Gray* (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKHUSKIEGRAY,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,2.79,3.79,,,2.79,2026-08-31,,2026-08-01,Manual,21.49,,,,Clearance,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank. CLEARANCE (marked * on the list). No unambiguous regular-price equivalent on this sheet — Cost/unit set to the clearance price per Sale item pricing rule 3, and Promo cost mirrors it. Promo end date = list end 2026-08-31 (already past at ingest — confirm with Evergreen whether the clearance is still running before importing).",,,new
ENG-EVGR-0002,"Evergreen Engineered Oak — Clay (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKCLAY,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,3.29,4.29,,,,,,2026-08-01,Manual,21.49,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",,,new
ENG-EVGR-0003,"Evergreen Engineered Oak — Silver Powder (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKSILVERPOWDER,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,3.29,4.29,,,,,,2026-08-01,Manual,21.49,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",,,new
ENG-EVGR-0004,"Evergreen Engineered Oak — Tan (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKTAN,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,3.29,4.29,,,,,,2026-08-01,Manual,21.49,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",,,new
ENG-EVGR-0005,"Evergreen Engineered Oak — Sicily (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKSICILY,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,3.29,4.29,,,,,,2026-08-01,Manual,21.49,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",,,new
ENG-EVGR-0006,"Evergreen Engineered Oak — Mocha (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKMOCHA,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,3.29,4.29,,,,,,2026-08-01,Manual,21.49,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",,,new
ENG-EVGR-0007,"Evergreen Engineered Oak — French Beige (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKFRENCHBEIGE,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,3.59,4.59,,,,,,2026-08-01,Manual,21.49,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",,,new
ENG-EVGR-0008,"Evergreen Engineered Oak — Natural (6-1/2"" x 3/4"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65OAKNATURAL,"Engineered 6-1/2"" x 3/4""",Flooring,Engineered hardwood,Hardwood plywood,Oak,,,,6.5,"48"" (RL)",19.05,,1.2,,,,,,,FALSE,,,,,,,3.59,4.59,,,,,,2026-08-01,Manual,21.49,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",,,new
ENG-EVGR-0009,"Evergreen Engineered Birch — Natural (6-1/2"" x 3/5"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65BIRCHNATURAL,"Engineered 6-1/2"" x 3/5""",Flooring,Engineered hardwood,Hardwood plywood,Birch,,,,6.5,"48"" (RL)",15.24,,1.2,,,,,,,FALSE,,,,,,,3.59,4.59,,,,,,2026-08-01,Manual,25.79,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank. Supplier states overall thickness as 3/5"" = 15.24mm.",,,new
ENG-EVGR-0010,"Evergreen Engineered Hickory — American (6-1/2"" x 3/5"", 1.2mm top)",Evergreen,Evergreen,,,EVGRENG65HICKORYAMERICAN,"Engineered 6-1/2"" x 3/5""",Flooring,Engineered hardwood,Hardwood plywood,Hickory,,,,6.5,"48"" (RL)",15.24,,1.2,,,,,,,FALSE,,,,,,,3.39,4.39,,,,,,2026-08-01,Manual,25.79,,,,,TRUE,FALSE,,,,,,,"First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank. Supplier states overall thickness as 3/5"" = 15.24mm.",,,new
