id,handle,sku,composite_1,composite_2,composite_3,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_2_name,variant_option_2_value,variant_option_3_name,variant_option_3_value,tags,supply_price,retail_price,loyalty_1,loyalty_2,account_1,account_2,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_TitanFlooring,inv_1,inv_2,inv_3
,EVGRENG65BIRCHNATURAL,ENG-EVGR-0009,,,,"EVGRENG - Engineered 6-1/2"" x 3/5"" Birch (Natural) | 6.5"" x 15.24mm x 48"" (RL) - 1.2mm top - 25.79sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 25.79 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank. Supplier states overall thickness as 3/5"" = 15.24mm.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.59,4.59,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65HICKORYAMERICAN,ENG-EVGR-0010,,,,"EVGRENG - Engineered 6-1/2"" x 3/5"" Hickory (American) | 6.5"" x 15.24mm x 48"" (RL) - 1.2mm top - 25.79sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 25.79 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank. Supplier states overall thickness as 3/5"" = 15.24mm.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.39,4.39,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65HICKORYNATURAL,ENG-EVGR-0011,,,,"EVGRENG - Engineered 6-1/2"" x 3/5"" Hickory (Natural) | 6.5"" x 15.24mm x 48"" (RL) - 1.2mm top - 25.79sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 25.79 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank. Supplier states overall thickness as 3/5"" = 15.24mm.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.59,4.59,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65OAKCLAY,ENG-EVGR-0002,,,,"EVGRENG - Engineered 6-1/2"" x 3/4"" Oak (Clay) | 6.5"" x 19.05mm x 48"" (RL) - 1.2mm top - 21.49sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 21.49 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.29,4.29,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65OAKFRENCHBEIGE,ENG-EVGR-0007,,,,"EVGRENG - Engineered 6-1/2"" x 3/4"" Oak (French Beige) | 6.5"" x 19.05mm x 48"" (RL) - 1.2mm top - 21.49sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 21.49 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.59,4.59,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65OAKHUSKIEGRAY,ENG-EVGR-0001,,,,"EVGRENG - Engineered 6-1/2"" x 3/4"" Oak (Huskie Gray*) | 6.5"" x 19.05mm x 48"" (RL) - 1.2mm top - 21.49sf/b","Promo cost ($/sf): 2.79 | Promo end date: 2026-08-31 | Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 21.49 | Stock status: Clearance | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank. CLEARANCE (marked * on the list). No unambiguous regular-price equivalent on this sheet — Cost/unit set to the clearance price per Sale item pricing rule 3, and Promo cost mirrors it. Promo end date = list end 2026-08-31 (already past at ingest — confirm with Evergreen whether the clearance is still running before importing).",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.79,3.79,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65OAKMOCHA,ENG-EVGR-0006,,,,"EVGRENG - Engineered 6-1/2"" x 3/4"" Oak (Mocha) | 6.5"" x 19.05mm x 48"" (RL) - 1.2mm top - 21.49sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 21.49 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.29,4.29,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65OAKNATURAL,ENG-EVGR-0008,,,,"EVGRENG - Engineered 6-1/2"" x 3/4"" Oak (Natural) | 6.5"" x 19.05mm x 48"" (RL) - 1.2mm top - 21.49sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 21.49 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.59,4.59,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65OAKSICILY,ENG-EVGR-0005,,,,"EVGRENG - Engineered 6-1/2"" x 3/4"" Oak (Sicily) | 6.5"" x 19.05mm x 48"" (RL) - 1.2mm top - 21.49sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 21.49 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.29,4.29,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
,EVGRENG65OAKSILVERPOWDER,ENG-EVGR-0003,,,,"EVGRENG - Engineered 6-1/2"" x 3/4"" Oak (Silver Powder) | 6.5"" x 19.05mm x 48"" (RL) - 1.2mm top - 21.49sf/b","Last price update: 2026-08-01 | Price last changed by: Manual | Box size (sf): 21.49 | Active: TRUE | Salesperson notes: First Evergreen engineered ingest (Aug 2026 list, effective 2026-08-01 to 2026-08-31). Evergreen publishes no product codes, install profile, locking system, finish type, certifications or warranty on this list — all left blank.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.29,4.29,,,,,Evergreen,Evergreen,,1,1,Default Tax,,,
