SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
HWD-DRAG-0001,"Dragona 3.25"" Summit II — Cappuccino (Select & Better)",Dragona,Dragona,,,DRAGHWD325SUMMITIIROCAPPUCCINO,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,3.25,,19.05,,,,,,,,,,,,,,,,5.30,6.30,,,,,,2026-08-01,Cowork,20.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0002,"Dragona 3.25"" Summit II — Copper (Select & Better)",Dragona,Dragona,,,DRAGHWD325SUMMITIIROCOPPER,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,3.25,,19.05,,,,,,,,,,,,,,,,5.30,6.30,,,,,,2026-08-01,Cowork,20.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0003,"Dragona 3.25"" Summit II — Golden (Select & Better)",Dragona,Dragona,,,DRAGHWD325SUMMITIIROGOLDEN,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,3.25,,19.05,,,,,,,,,,,,,,,,5.30,6.30,,,,,,2026-08-01,Cowork,20.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0004,"Dragona 3.25"" Summit II — Gunstock (Select & Better)",Dragona,Dragona,,,DRAGHWD325SUMMITIIROGUNSTOCK,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,3.25,,19.05,,,,,,,,,,,,,,,,5.30,6.30,,,,,,2026-08-01,Cowork,20.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0005,"Dragona 3.25"" Summit II — Natural (Select & Better)",Dragona,Dragona,,,DRAGHWD325SUMMITIIRONATURAL,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,3.25,,19.05,,,,,,,,,,,,,,,,5.30,6.30,,,,,,2026-08-01,Cowork,20.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0006,"Dragona 3.25"" Summit II — Praline (Select & Better)",Dragona,Dragona,,,DRAGHWD325SUMMITIIROPRALINE,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,3.25,,19.05,,,,,,,,,,,,,,,,5.30,6.30,,,,,,2026-08-01,Cowork,20.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0007,"Dragona 4.25"" Summit II — Almond (Select & Better)",Dragona,Dragona,,,DRAGHWD425SUMMITIIROALMOND,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,4.25,,19.05,,,,,,,,,,,,,,,,5.50,6.50,,,,,,2026-08-01,Cowork,19.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0008,"Dragona 4.25"" Summit II — Autumn (Select & Better)",Dragona,Dragona,,,DRAGHWD425SUMMITIIROAUTUMN,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,4.25,,19.05,,,,,,,,,,,,,,,,5.50,6.50,,,,,,2026-08-01,Cowork,19.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0009,"Dragona 4.25"" Summit II — Biscuit (Select & Better)",Dragona,Dragona,,,DRAGHWD425SUMMITIIROBISCUIT,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,4.25,,19.05,,,,,,,,,,,,,,,,5.50,6.50,,,,,,2026-08-01,Cowork,19.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
HWD-DRAG-0010,"Dragona 4.25"" Summit II — Cappuccino (Select & Better)",Dragona,Dragona,,,DRAGHWD425SUMMITIIROCAPPUCCINO,Summit II,Flooring,Solid hardwood,,Red Oak,,Select & Better,,4.25,,19.05,,,,,,,,,,,,,,,,5.50,6.50,,,,,,2026-08-01,Cowork,19.00,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the sheet's single 'STORE PRICING' column taken as Titan's dealer cost -- unconfirmed, pending Albert. Prefinished solid hardwood, ¾"" thickness read from the 'x ¾""' spec convention on the unfinished table; Dragona does not print thickness, length, finish or install method for the prefinished lines. Aug 1 2026 Store Program.",,,new
