id,handle,sku,composite_1,composite_2,composite_3,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_2_name,variant_option_2_value,variant_option_3_name,variant_option_3_value,tags,supply_price,retail_price,loyalty_1,loyalty_2,account_1,account_2,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_TitanFlooring,inv_1,inv_2,inv_3
,DRAGACCCARPETUNDERPAD10MMMAXIGOLD7LBS,ACC-DRAG-0015,,,,Dragona - Sundry | Carpet Underpad | 10mm Maxi Gold 7 lbs 30 SQYD Roll,"Sold per piece | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER 30 SQYD ROLL as printed. Retail = Cost + $20 per the cross-supplier underlayment markup. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,79,99,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCCARPETUNDERPAD12MMMAXIGOLD7LBS,ACC-DRAG-0016,,,,Dragona - Sundry | Carpet Underpad | 12mm Maxi Gold 7 lbs 30 SQYD Roll,"Sold per piece | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER 30 SQYD ROLL as printed. Retail = Cost + $20 per the cross-supplier underlayment markup. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,89,109,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCEXTRARISERSPC,ACC-DRAG-0002,,,,"Dragona - Stair | Riser | SPC | Extra riser, pattern matched","Material type: SPC core | Sold per piece | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Extra riser sold separately from the step + riser set. Retail = Cost + $20 per the FAW vinyl stair-step markup. Same six pattern-matched colours as the set. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,9,29,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCHWDOORSTOPOAK114X38XRL,ACC-DRAG-0018,,,,"Dragona - Sundry | Door Stop | 1 ¼"" x ⅜"" x RL Oak","Sold per linear foot | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER LINEAR FOOT as printed, on random-length stock. Retail LEFT BLANK — no markup rule covers this item type at this pricing unit (FAW precedent for stair treads: store cost, leave retail, flag). Albert to set it. The +$10 / +$15 accessory tiers are written against per-piece pricing and cannot be applied to a per-linear-foot cost. Unfinished — requires site finishing. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,1,,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCHWQUARTERROUNDOAK1116X1116XRL,ACC-DRAG-0017,,,,"Dragona - Transition | Quarter Round | Wood | ¹¹⁄₁₆"" x ¹¹⁄₁₆"" x RL Oak","Sold per linear foot | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER LINEAR FOOT as printed, on random-length stock. Retail LEFT BLANK — no markup rule covers this item type at this pricing unit (FAW precedent for stair treads: store cost, leave retail, flag). Albert to set it. The +$10 / +$15 accessory tiers are written against per-piece pricing and cannot be applied to a per-linear-foot cost. Unfinished — requires site finishing. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,1,,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCHWREDUCERMAPLE34TO0XRL,ACC-DRAG-0022,,,,"Dragona - Transition | Reducer | Wood | ¾"" TO 0"" x RL Maple","Sold per linear foot | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER LINEAR FOOT as printed, on random-length stock. Retail LEFT BLANK — no markup rule covers this item type at this pricing unit (FAW precedent for stair treads: store cost, leave retail, flag). Albert to set it. The +$10 / +$15 accessory tiers are written against per-piece pricing and cannot be applied to a per-linear-foot cost. Unfinished — requires site finishing. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,3.25,,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCHWREDUCEROAK34TO0XRL,ACC-DRAG-0021,,,,"Dragona - Transition | Reducer | Wood | ¾"" TO 0"" x RL Oak","Sold per linear foot | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER LINEAR FOOT as printed, on random-length stock. Retail LEFT BLANK — no markup rule covers this item type at this pricing unit (FAW precedent for stair treads: store cost, leave retail, flag). Albert to set it. The +$10 / +$15 accessory tiers are written against per-piece pricing and cannot be applied to a per-linear-foot cost. Unfinished — requires site finishing. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,2.75,,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCHWSTAIRNOSINGMAPLEROUNDEDGE314X34XRLOVERLAP,ACC-DRAG-0028,,,,"Dragona - Transition | Stair Nosing | Wood | Round edge 3 ¼"" x ¾"" x RL - Overlap Maple","Sold per linear foot | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER LINEAR FOOT as printed, on random-length stock. Retail LEFT BLANK — no markup rule covers this item type at this pricing unit (FAW precedent for stair treads: store cost, leave retail, flag). Albert to set it. The +$10 / +$15 accessory tiers are written against per-piece pricing and cannot be applied to a per-linear-foot cost. Unfinished — requires site finishing. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,5.5,,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCHWSTAIRNOSINGMAPLEROUNDEDGE314X34XRLTG,ACC-DRAG-0027,,,,"Dragona - Transition | Stair Nosing | Wood | Round edge 3 ¼"" x ¾"" x RL - T&G Maple","Sold per linear foot | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER LINEAR FOOT as printed, on random-length stock. Retail LEFT BLANK — no markup rule covers this item type at this pricing unit (FAW precedent for stair treads: store cost, leave retail, flag). Albert to set it. The +$10 / +$15 accessory tiers are written against per-piece pricing and cannot be applied to a per-linear-foot cost. Unfinished — requires site finishing. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,5.5,,,,,,Dragona,Dragona,,1,1,Default Tax,,,
,DRAGACCHWSTAIRNOSINGMAPLEROUNDEDGE414X34XRLOVERLAP,ACC-DRAG-0030,,,,"Dragona - Transition | Stair Nosing | Wood | Round edge 4 ¼"" x ¾"" x RL - Overlap Maple","Sold per linear foot | Salesperson notes: Cost basis CONFIRMED 2026-09-09 (Albert): STORE PRICING is our dealer cost, as printed, no multiplier. Cost/unit is PER LINEAR FOOT as printed, on random-length stock. Retail LEFT BLANK — no markup rule covers this item type at this pricing unit (FAW precedent for stair treads: store cost, leave retail, flag). Albert to set it. The +$10 / +$15 accessory tiers are written against per-piece pricing and cannot be applied to a per-linear-foot cost. Unfinished — requires site finishing. Aug 1 2026 Store Program.",ACCESSORIES,,,,,,,,6,,,,,,Dragona,Dragona,,1,1,Default Tax,,,
