SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-WEIS-0001,"Weiss 6.5"" Ash 1.2mm — Bistro (Character)",Weiss,Weiss,,,WEISENG65ASH12BISTRO,"6.5"" 1.2mm Ash Veneer",Flooring,Engineered hardwood,Hardwood plywood,Ash,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.89,3.89,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0002,"Weiss 6.5"" Ash 1.2mm — Oatmeal (Character)",Weiss,Weiss,,,WEISENG65ASH12OATMEAL,"6.5"" 1.2mm Ash Veneer",Flooring,Engineered hardwood,Hardwood plywood,Ash,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.89,3.89,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0003,"Weiss 6.5"" Ash 1.2mm — Terracotta (Character)",Weiss,Weiss,,,WEISENG65ASH12TERRACOTTA,"6.5"" 1.2mm Ash Veneer",Flooring,Engineered hardwood,Hardwood plywood,Ash,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.89,3.89,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0004,"Weiss 6.5"" Ash 1.2mm — Warwick (Character)",Weiss,Weiss,,,WEISENG65ASH12WARWICK,"6.5"" 1.2mm Ash Veneer",Flooring,Engineered hardwood,Hardwood plywood,Ash,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.89,3.89,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0005,"Weiss 6.5"" Oak 1.2mm — Fortino (Character)",Weiss,Weiss,,,WEISENG65OAK12FORTINO,"6.5"" 1.2mm Oak Veneer",Flooring,Engineered hardwood,Hardwood plywood,Oak,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.99,3.99,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0006,"Weiss 6.5"" Oak 1.2mm — Raw (Character)",Weiss,Weiss,,,WEISENG65OAK12RAW,"6.5"" 1.2mm Oak Veneer",Flooring,Engineered hardwood,Hardwood plywood,Oak,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.99,3.99,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0007,"Weiss 6.5"" Oak 1.2mm — Saffron (Character)",Weiss,Weiss,,,WEISENG65OAK12SAFFRON,"6.5"" 1.2mm Oak Veneer",Flooring,Engineered hardwood,Hardwood plywood,Oak,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.99,3.99,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0008,"Weiss 6.5"" Oak 1.2mm — Sandy Brown (Character)",Weiss,Weiss,,,WEISENG65OAK12SANDYBROWN,"6.5"" 1.2mm Oak Veneer",Flooring,Engineered hardwood,Hardwood plywood,Oak,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.99,3.99,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0009,"Weiss 6.5"" Oak 1.2mm — Seashell (Character)",Weiss,Weiss,,,WEISENG65OAK12SEASHELL,"6.5"" 1.2mm Oak Veneer",Flooring,Engineered hardwood,Hardwood plywood,Oak,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.99,3.99,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
ENG-WEIS-0010,"Weiss 6.5"" Oak 1.2mm — Silver Gray (Character)",Weiss,Weiss,,,WEISENG65OAK12SILVERGRAY,"6.5"" 1.2mm Oak Veneer",Flooring,Engineered hardwood,Hardwood plywood,Oak,,Character,,6.5,,19.05,,1.2,,,Wire brushed,T&G,,,FALSE,,,,,,,2.99,3.99,,,,,,2026-08-01,Cowork,26.49,,,,,TRUE,FALSE,,,,,,,"Cost basis ASSUMED: the list's single 'Price / SF' column taken as Titan's dealer cost, no multiplier -- unconfirmed, pending Albert. 62 lb/box printed on the list; the schema has no box-weight field (Weight per piece is tile/stone only), so it is recorded here. The list's legend marks low stock by printing a colour in RED; verified against the PDF's character colours that NO colour name on any page is red, so Stock status is blank throughout. Weiss price list valid from Aug 1 2026.",,,new
