SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,Match status,Match notes
TIL-GRAC-0001,Tiles — Amaretto Grey Matt — 12 x 24 (Matte),Gracious,Gracious,,,GRACTILESAMARETTOGREYMATTMATTE,Tiles,Flooring,Tile / Stone,,,Amaretto Grey Matt,,,12,"24""",,,,,,Matte,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0002,Tiles — Amaretto Grey Glossy — 12 x 24 (Glossy),Gracious,Gracious,,,GRACTILESAMARETTOGREYGLOSSYGLOSSY,Tiles,Flooring,Tile / Stone,,,Amaretto Grey Glossy,,,12,"24""",,,,,,Glossy,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0003,Tiles — Amaretto Silver Matt — 12 x 24 (Matte),Gracious,Gracious,,,GRACTILESAMARETTOSILVERMATTMATTE,Tiles,Flooring,Tile / Stone,,,Amaretto Silver Matt,,,12,"24""",,,,,,Matte,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0004,Tiles — Antractica Ice — 12 x 24,Gracious,Gracious,,0a6f6e36-8b89-11eb-f3d6-7e8a60a1697b,GRACTILESANTRACTICAICE,Tiles,Flooring,Tile / Stone,Porcelain,,Antractica Ice,,,12,"24""",,,,,,,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,OK,Matched LS sku 20026 (colour spelling drift (edit distance 2); verified: size 1224). Material type Porcelain taken from LS. WARNING: cost AT $1.29 vs LS $1.39
TIL-GRAC-0005,Tiles — Beige Chiaro Matt — 12 x 24 (Matte),Gracious,Gracious,,,GRACTILESBEIGECHIAROMATTMATTE,Tiles,Flooring,Tile / Stone,,,Beige Chiaro Matt,,,12,"24""",,,,,,Matte,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0006,Tiles — Cava Bianco — 12 x 24,Gracious,Gracious,,,GRACTILESCAVABIANCO,Tiles,Flooring,Tile / Stone,,,Cava Bianco,,,12,"24""",,,,,,,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0007,Tiles — Effco Satvario Matt — 12 x 24 (Matte),Gracious,Gracious,,,GRACTILESEFFCOSATVARIOMATTMATTE,Tiles,Flooring,Tile / Stone,,,Effco Satvario Matt,,,12,"24""",,,,,,Matte,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0008,Tiles — Grey Flurry High Gloss — 12 x 24 (Glossy),Gracious,Gracious,,,GRACTILESGREYFLURRYHIGHGLOSSGLOSSY,Tiles,Flooring,Tile / Stone,,,Grey Flurry High Gloss,,,12,"24""",,,,,,Glossy,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0009,Tiles — Grigio Medio Matt — 12 x 24 (Matte),Gracious,Gracious,,,GRACTILESGRIGIOMEDIOMATTMATTE,Tiles,Flooring,Tile / Stone,,,Grigio Medio Matt,,,12,"24""",,,,,,Matte,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
TIL-GRAC-0010,Tiles — Grigio Chiaro Matt — 12 x 24 (Matte),Gracious,Gracious,,,GRACTILESGRIGIOCHIAROMATTMATTE,Tiles,Flooring,Tile / Stone,,,Grigio Chiaro Matt,,,12,"24""",,,,,,Matte,,,,,,,,,,,1.29,2.29,,,,,,2026-06-30,Manual,,,,,,TRUE,,,,,,,,"NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES - 12*24"".",,,new,NOT_FOUND,No LS product with this colour at this size - new to Lightspeed. Lightspeed ID left blank so it imports as a CREATE.
