SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,LS Match status,LS Match notes
LAM-LEEF-T01,"Lee 72HR Water-Resistant Laminate 7.5"" — T01",Lee Flooring,Lee Flooring,T01,4444690d-ef9f-4bac-9ea3-1a84c52f0874,LEEFLAM72HRT01,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,20.8,,45,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,OK,"LS sku T01 (sku, 2 confirms) WARNING: cost $1.69 vs $1.39"
LAM-LEEF-T02,"Lee 72HR Water-Resistant Laminate 7.5"" — T02",Lee Flooring,Lee Flooring,T02,945fef64-5411-4c39-a0e7-385e1d25cdf9,LEEFLAM72HRT02,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,20.8,,45,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,OK,"LS sku T02 (sku, 1 confirms) WARNING: sf/b 15.6 vs 20.8; cost $1.49 vs $1.39"
LAM-LEEF-T03,"Lee 72HR Water-Resistant Laminate 7.5"" — T03",Lee Flooring,Lee Flooring,T03,d5aeebd2-043e-4281-9d0c-9190fc9ae11d,LEEFLAM72HRT03,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,20.8,,45,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,OK,"LS sku T03 (sku, 2 confirms) WARNING: cost $1.69 vs $1.39"
LAM-LEEF-T04,"Lee 72HR Water-Resistant Laminate 7.5"" — T04",Lee Flooring,Lee Flooring,T04,d103dd54-5c13-47f1-986d-bcd40c80198f,LEEFLAM72HRT04,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,20.8,,45,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,OK,"LS sku T04 (sku, 2 confirms) WARNING: cost $1.69 vs $1.39"
LAM-LEEF-T05,"Lee 72HR Water-Resistant Laminate 7.5"" — T05",Lee Flooring,Lee Flooring,T05,d1891e75-6453-43d3-be9b-ded22e5755dc,LEEFLAM72HRT05,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,20.8,,45,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,OK,"LS sku T05 (sku, 2 confirms) WARNING: cost $1.69 vs $1.39"
LAM-LEEF-T06,"Lee 72HR Water-Resistant Laminate 7.5"" — T06",Lee Flooring,Lee Flooring,T06,4c6d9f6e-eb3b-460c-a33f-0257b9cda1bc,LEEFLAM72HRT06,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,20.8,,40,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,OK,"LS sku T06 (sku, 2 confirms) WARNING: cost $1.69 vs $1.39"
LAM-LEEF-T07,"Lee 72HR Water-Resistant Laminate 7.5"" — T07",Lee Flooring,Lee Flooring,T07,,LEEFLAM72HRT07,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,21.42,,40,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,NOT_FOUND,No LS candidate — not yet in Lightspeed
LAM-LEEF-T08,"Lee 72HR Water-Resistant Laminate 7.5"" — T08",Lee Flooring,Lee Flooring,T08,,LEEFLAM72HRT08,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,21.42,,40,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,NOT_FOUND,No LS candidate — not yet in Lightspeed
LAM-LEEF-T09,"Lee 72HR Water-Resistant Laminate 7.5"" — T09",Lee Flooring,Lee Flooring,T09,,LEEFLAM72HRT09,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,21.42,,40,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,NOT_FOUND,No LS candidate — not yet in Lightspeed
LAM-LEEF-T10,"Lee 72HR Water-Resistant Laminate 7.5"" — T10",Lee Flooring,Lee Flooring,T10,1af9bc81-c2c7-4373-ad2c-8951c2272816,LEEFLAM72HRT10,72 Hours Water-Resistant Laminate,Flooring,Laminate,Water-Resistant Core,,,,,7.5,"48""",12.7,,,,,,Click,Float,,FALSE,,,,,,,1.39,2.39,,,1.39,2026-06-30,,2026-06-12,Manual,21.42,,40,,,TRUE,FALSE,,,,,,,"ON SALE $1.39/sf and no regular price is printed for these specs — Cost set to the SALE price as a placeholder (Sale rule 3). Cost = Promo cost signals the original cost was unavailable. Confirm regular cost with Lee. Promo end date not printed by Lee; set to 2026-06-30 (last day of the list's month) per the global month-end default. Install profile/method (Click/Float) assumed — Lee states neither. Locking system not stated. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",,,new,OK,"LS sku 11190 (code-in-name, 1 confirms) WARNING: width 2.0"" vs 7.5""; cost $1.79 vs $1.39"
