id,handle,sku,composite_1,composite_2,composite_3,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_2_name,variant_option_2_value,variant_option_3_name,variant_option_3_value,tags,supply_price,retail_price,loyalty_1,loyalty_2,account_1,account_2,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_TitanFlooring,inv_1,inv_2,inv_3
,LEEFACCREDUCER,ACC-LEEF-0002,,,,Lee Flooring - Transition | Reducer | Laminate | 8FT,"Sold per piece | Salesperson notes: Priced per piece (8FT). MATCHING (98001-98013), (T01-T10) & (R01-R10). Retail = Cost + $10 per the cross-supplier accessory markup standard. Lee gives no trim material or profile detail. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED — single unlabelled price column, awaiting Albert's confirmation before import.",ACCESSORIES,,,,,,,,15,25,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
,LEEFACCSTAIRNOSING,ACC-LEEF-0003,,,,Lee Flooring - Transition | Stair Nosing | Laminate | 8FT,"Sold per piece | Salesperson notes: Priced per piece (8FT). Matches T01-T10, R01-R11, 98001-98013. Retail = Cost + $15 per the cross-supplier accessory markup standard. Lee gives no trim material or profile detail. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED — single unlabelled price column, awaiting Albert's confirmation before import.",ACCESSORIES,,,,,,,,25,40,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
,LEEFACCTMOULD,ACC-LEEF-0001,,,,Lee Flooring - Transition | T-Moulding | Laminate | 8FT,"Sold per piece | Salesperson notes: Priced per piece (8FT). MATCHING (98001-98013), (T01-T10) & (R01-R10). Retail = Cost + $10 per the cross-supplier accessory markup standard. Lee gives no trim material or profile detail. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED — single unlabelled price column, awaiting Albert's confirmation before import.",ACCESSORIES,,,,,,,,15,25,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
,LEEFACCUNDERLAYEVARUBBER,ACC-LEEF-0005,,,,Lee Flooring - Sundry | Underlayment | 3mm EVA Rubber 100sf Roll,"Sold per piece | Salesperson notes: Sold per roll. 3MM EVA RUBBER UNDERPAD, 100 sf/roll. Retail = Cost + $20 per the cross-supplier underlayment markup standard. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED — single unlabelled price column, awaiting Albert's confirmation before import.",ACCESSORIES,,,,,,,,15,35,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
,LEEFACCUNDERLAYSILVERFOAM,ACC-LEEF-0004,,,,Lee Flooring - Sundry | Underlayment | 3mm Silver Foam 200sf Roll,"Sold per piece | Salesperson notes: Sold per roll. 3MM SILVER FOAM UNDERPAD, 200 sf/roll. Retail = Cost + $20 per the cross-supplier underlayment markup standard. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED — single unlabelled price column, awaiting Albert's confirmation before import.",ACCESSORIES,,,,,,,,15,35,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
,LEEFENGHERITAGEHILLSAUBRAE,ENG-LEEF-0006,,,,"LEEFENG - Heritage Hills American Oak (Aubrae) | 6.5"" x 19.05mm x RL (up to 6') - 1mm top - 26.49sf/b - Select & Better","Material type: Hardwood plywood | Boxes per skid: 39 | Active: TRUE | Box size (sf): 26.49 | Salesperson notes: Install profile, install method and locking system are not stated anywhere on the list — left blank. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.99,3.99,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
d89a4c76-b778-447a-a5ab-25ab22a9a96c,LEEFENGHERITAGEHILLSBRENTON,ENG-LEEF-0003,,,,"LEEFENG - Heritage Hills American Oak (Brenton) | 6.5"" x 19.05mm x RL (up to 6') - 1mm top - 26.49sf/b - Select & Better","Material type: Hardwood plywood | Boxes per skid: 39 | Active: TRUE | Box size (sf): 26.49 | Salesperson notes: Install profile, install method and locking system are not stated anywhere on the list — left blank. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.99,3.99,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
e71d5ee1-5e39-4792-9f28-31dc767d059b,LEEFENGHERITAGEHILLSCOVELLE,ENG-LEEF-0008,,,,"LEEFENG - Heritage Hills American Oak (Covelle) | 6.5"" x 19.05mm x RL (up to 6') - 1mm top - 26.49sf/b - Select & Better","Material type: Hardwood plywood | Boxes per skid: 39 | Active: TRUE | Box size (sf): 26.49 | Salesperson notes: Install profile, install method and locking system are not stated anywhere on the list — left blank. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.99,3.99,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
,LEEFENGHERITAGEHILLSELLASTON,ENG-LEEF-0007,,,,"LEEFENG - Heritage Hills American Oak (Ellaston) | 6.5"" x 19.05mm x RL (up to 6') - 1mm top - 26.49sf/b - Select & Better","Material type: Hardwood plywood | Boxes per skid: 39 | Active: TRUE | Box size (sf): 26.49 | Salesperson notes: Install profile, install method and locking system are not stated anywhere on the list — left blank. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.99,3.99,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
,LEEFENGHERITAGEHILLSKENSINGTON,ENG-LEEF-0009,,,,"LEEFENG - Heritage Hills American Oak (Kensington) | 6.5"" x 19.05mm x RL (up to 6') - 1mm top - 26.49sf/b - Select & Better","Material type: Hardwood plywood | Boxes per skid: 39 | Active: TRUE | Box size (sf): 26.49 | Salesperson notes: Install profile, install method and locking system are not stated anywhere on the list — left blank. Lee Flooring price list, list date 2026-06-12; extracted 2026-09-09. COST BASIS UNCONFIRMED: Lee prints one unlabelled price column (PRICE/SQ.FT) with no terms page, no stated discount and no MSRP column. Taken as dealer cost as-is, no multiplier — awaiting Albert's confirmation before import.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,2.99,3.99,,,,,Lee Flooring,Lee Flooring,,1,1,Default Tax,,,
