SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,LS match status,LS match notes
HWD-TOSC-0001,"Tosca Red Oak 4.25"" — Antwerp (Select & Better)",Tosca,Tosca,,c14dde56-f5e3-42fc-b4f4-f217b327bc58,TOSCHWD425REDOAKANTWERP,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.99,6.99,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.Ant.4.1 — colour 'antwerp'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.99)
HWD-TOSC-0002,"Tosca Red Oak 4.25"" — Natural (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bfbeae3d7,TOSCHWD425REDOAKNATURAL,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.99,6.99,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.Nat.4.1 — colour 'natural'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.99)
HWD-TOSC-0003,"Tosca Red Oak 4.25"" — Golden (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bfb74368a,TOSCHWD425REDOAKGOLDEN,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.99,6.99,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.Gol.4.1 — colour 'golden'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.99)
HWD-TOSC-0004,"Tosca Red Oak 4.25"" — Butterscotch (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bf3e2d61e,TOSCHWD425REDOAKBUTTERSCOTCH,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.99,6.99,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.But.4.1 — colour 'butterscotch'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.99)
HWD-TOSC-0005,"Tosca Red Oak 4.25"" — Sienna (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bfca64e84,TOSCHWD425REDOAKSIENNA,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.79,6.79,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.Sie.4.1 — colour 'siena'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.79)
HWD-TOSC-0006,"Tosca Red Oak 4.25"" — Crown Saddle (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bf464a8e7,TOSCHWD425REDOAKCROWNSADDLE,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.79,6.79,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.CroSad.4.1 — colour 'crownsaddle'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.79)
HWD-TOSC-0007,"Tosca Red Oak 4.25"" — Gunstock (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bfba8755f,TOSCHWD425REDOAKGUNSTOCK,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.79,6.79,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.Gun.4.1 — colour 'gunstock'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.79)
HWD-TOSC-0008,"Tosca Red Oak 4.25"" — Bari (Select & Better)",Tosca,Tosca,,af3608e1-8913-4f87-ab85-161a75b2f7bd,TOSCHWD425REDOAKBARI,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.79,6.79,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.Bar.4.1 — colour 'bari'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.79)
HWD-TOSC-0009,"Tosca Red Oak 4.25"" — Cherry Walnut (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bf40cf912,TOSCHWD425REDOAKCHERRYWALNUT,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.79,6.79,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.CheWal.4.1 — colour 'cherrywalnut'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.79)
HWD-TOSC-0010,"Tosca Red Oak 4.25"" — Praline (Select & Better)",Tosca,Tosca,,0a6f6e36-8b89-11eb-f3d6-7e8bfc2c5869,TOSCHWD425REDOAKPRALINE,Red Oak Solid,Flooring,Solid hardwood,,Northern Red Oak,,Select & Better,,4.25,"RL (12"" - 90"")",19.05,,,,,Semi-Gloss,T&G,Nail + glue assist,,,,,,,,,5.79,6.79,,,,,,2026-07-01,Manual,20,,,,,TRUE,FALSE,,,,,35,,"Northern Red Oak, water-base finish, flat sawn, 4-sided micro-bevelled edge. Select & Better: no open knots, heavy mineral/character marks, stains or checking. Random length 12""-90"". Nail down with glue assist recommended. Limited 35 yr finish warranty. Radiant heat compatibility NOT stated for solid wood (stated only for engineered) - verify with Tosca.",,,new,OK,Matched LS sku TOS.H.RO.Pra.4.1 — colour 'praline'; width; thickness; box; cost CHANGED (LS $6.59 -> list $5.79)
