id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,loyalty_value_default,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga_Outlet,inventory_Mississauga_Outlet,reorder_point_Mississauga_Outlet,reorder_quantity_Mississauga_Outlet,min_quantity_Mississauga_Outlet,max_quantity_Mississauga_Outlet
,TOSCACCNOSINGSPC,ACC-TOSC-0003,,,,"Tosca - Transition | Nosing | SPC | 4"" x 8ft","Sold per piece | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Salesperson notes: Printed on the list as 'Flush Nosing', 4"" x 8ft, $35/pc. Sold per piece. Available in every colour of the matching SPC flooring line - one SKU, not one per colour. Retail = cost + $15 (standard cross-supplier accessory markup).",ACCESSORIES,,,,,,,,35,50,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
ae6a844d-dcbc-46a6-b836-ebf777c8ef28,TOSCACCREDUCERLAMINATE,ACC-TOSC-0005,,,,Tosca - Transition | Reducer | Laminate | 8ft,"Sold per piece | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Salesperson notes: Printed on the list as 'MDF Reducer', 8ft, $10/pc. Sold per piece. Available in every colour of the matching Laminate flooring line - one SKU, not one per colour. Retail = cost + $10 (standard cross-supplier accessory markup).",ACCESSORIES,,,,,,,,10,20,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
94f6734b-7c53-4273-8a77-c6f63e1637fc,TOSCACCREDUCERSPC,ACC-TOSC-0002,,,,Tosca - Transition | Reducer | SPC | 8ft,"Sold per piece | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Salesperson notes: Printed on the list as 'SPC Reducer', 8ft, $15/pc. Sold per piece. Available in every colour of the matching SPC flooring line - one SKU, not one per colour. Retail = cost + $10 (standard cross-supplier accessory markup).",ACCESSORIES,,,,,,,,15,25,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
8c1203f9-9d1d-42c0-997b-a4611df00254,TOSCACCTMOULDINGLAMINATE,ACC-TOSC-0004,,,,Tosca - Transition | T-Moulding | Laminate | 8ft,"Sold per piece | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Salesperson notes: Printed on the list as 'MDF T-Moulding', 8ft, $10/pc. Sold per piece. Available in every colour of the matching Laminate flooring line - one SKU, not one per colour. Retail = cost + $10 (standard cross-supplier accessory markup).",ACCESSORIES,,,,,,,,10,20,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
8be1f89e-8e73-44cc-9a5a-2bf6e5cca74a,TOSCACCTMOULDINGSPC,ACC-TOSC-0001,,,,Tosca - Transition | T-Moulding | SPC | 8ft,"Sold per piece | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Salesperson notes: Printed on the list as 'SPC T-Moulding', 8ft, $15/pc. Sold per piece. Available in every colour of the matching SPC flooring line - one SKU, not one per colour. Retail = cost + $10 (standard cross-supplier accessory markup).",ACCESSORIES,,,,,,,,15,25,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
7a41c51e-e410-4fe8-9c0e-c299bf73868b,TOSCENG65COMPOSERCOLLECTIONBEETHOVEN,ENG-TOSC-0078,,,,"TOSCENG - Composer European White Oak (Beethoven) T&G | 6.5"" x 19.05mm x RL - 2mm top - 20.25sf/b - Character","Box size (sf): 20.25 | Length: RL | Finish type: Wire brushed | Install method: Nail + glue assist | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Radiant heat compatible: TRUE | Residential warranty (yrs): 35 | Salesperson notes: ABCD (Character) grade: may have open knots, character marks or stains. European White Oak, lightly wire brushed, water base finish. Up to 75"" length, 17-35% full planks. 4-sided micro-bevelled edge, T&G, nail down with glue assist. Radiant heat compatible. Limited 35 yr finish warranty. Finish printed 'W.B Low Sheen' = lightly wire brushed, low sheen, water base.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.99,4.99,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
336918d9-21f7-4a29-b959-a67f89596639,TOSCENG65COMPOSERCOLLECTIONMOZART,ENG-TOSC-0079,,,,"TOSCENG - Composer European White Oak (Mozart) T&G | 6.5"" x 19.05mm x RL - 2mm top - 20.25sf/b - Character","Box size (sf): 20.25 | Length: RL | Finish type: Wire brushed | Install method: Nail + glue assist | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Radiant heat compatible: TRUE | Residential warranty (yrs): 35 | Salesperson notes: ABCD (Character) grade: may have open knots, character marks or stains. European White Oak, lightly wire brushed, water base finish. Up to 75"" length, 17-35% full planks. 4-sided micro-bevelled edge, T&G, nail down with glue assist. Radiant heat compatible. Limited 35 yr finish warranty. Finish printed 'W.B Low Sheen' = lightly wire brushed, low sheen, water base.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.99,4.99,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
d323764e-6694-4f15-bb87-f29ddb748607,TOSCENG65COMPOSERCOLLECTIONSCHUMANN,ENG-TOSC-0080,,,,"TOSCENG - Composer European White Oak (Schumann) T&G | 6.5"" x 19.05mm x RL - 2mm top - 20.25sf/b - Character","Box size (sf): 20.25 | Length: RL | Finish type: Wire brushed | Install method: Nail + glue assist | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Radiant heat compatible: TRUE | Residential warranty (yrs): 35 | Salesperson notes: ABCD (Character) grade: may have open knots, character marks or stains. European White Oak, lightly wire brushed, water base finish. Up to 75"" length, 17-35% full planks. 4-sided micro-bevelled edge, T&G, nail down with glue assist. Radiant heat compatible. Limited 35 yr finish warranty. Finish printed 'W.B Low Sheen' = lightly wire brushed, low sheen, water base.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.99,4.99,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
1e81e59e-370a-4a00-846b-93f4f7cf2c4f,TOSCENG65COMPOSERCOLLECTIONSTRAUSS,ENG-TOSC-0081,,,,"TOSCENG - Composer European White Oak (Strauss) T&G | 6.5"" x 19.05mm x RL - 2mm top - 20.25sf/b - Character","Box size (sf): 20.25 | Length: RL | Finish type: Wire brushed | Install method: Nail + glue assist | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Radiant heat compatible: TRUE | Residential warranty (yrs): 35 | Salesperson notes: ABCD (Character) grade: may have open knots, character marks or stains. European White Oak, lightly wire brushed, water base finish. Up to 75"" length, 17-35% full planks. 4-sided micro-bevelled edge, T&G, nail down with glue assist. Radiant heat compatible. Limited 35 yr finish warranty. Finish printed 'W.B Low Sheen' = lightly wire brushed, low sheen, water base.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.99,4.99,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
3b7144b1-a574-4503-afa4-b0e53afaadcc,TOSCENG65LEGENDCOLLECTIONAURORA,ENG-TOSC-0072,,,,"TOSCENG - Legend European White Oak (Aurora) T&G | 6.5"" x 19.05mm x RL - 2mm top - 20.25sf/b - Character","Box size (sf): 20.25 | Length: RL | Finish type: Wire brushed | Install method: Nail + glue assist | Last price update: 2026-07-01 | Price last changed by: Manual | Active: TRUE | Radiant heat compatible: TRUE | Residential warranty (yrs): 35 | Salesperson notes: ABCD (Character) grade: may have open knots, character marks or stains. European White Oak, lightly wire brushed, water base finish. Up to 75"" length, 17-35% full planks. 4-sided micro-bevelled edge, T&G, nail down with glue assist. Radiant heat compatible. Limited 35 yr finish warranty. Finish printed 'W.B Low Sheen' = lightly wire brushed, low sheen, water base.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,Tosca,Tosca,,1,1,Default Tax,,,,,
