SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,LS Match status,LS Match notes
ENG-GLDC-0001,Golden Choice Engineered White Oak 6.5 — Gray Owl,Golden Choice,Golden Choice,,a244e429-77eb-44ba-9818-e4e5a332ae0a,55546959,Engineered White Oak 6.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Gray Owl,,,6.5,RL,19,,,,,Distressed,,,,,,,,,,,3.59,4.59,,,,,"Net Box Price $3.59/sf vs Net Skid Price $3.49/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,20.55,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.GraOwl.6
ENG-GLDC-0002,Golden Choice Engineered White Oak 6.5 — Stable Edge,Golden Choice,Golden Choice,,e37510f1-9de4-49c9-9dea-8c6e1a045b26,55546948,Engineered White Oak 6.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Stable Edge,,,6.5,RL,19,,,,,Distressed,,,,,,,,,,,3.59,4.59,,,,,"Net Box Price $3.59/sf vs Net Skid Price $3.49/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,20.55,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.StaEdg.6
ENG-GLDC-0003,Golden Choice Engineered White Oak 6.5 — Dove Tail,Golden Choice,Golden Choice,,bdd18fb0-fe15-4e89-bd02-f8a231247c64,55546965,Engineered White Oak 6.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Dove Tail,,,6.5,RL,19,,,,,Distressed,,,,,,,,,,,3.59,4.59,,,,,"Net Box Price $3.59/sf vs Net Skid Price $3.49/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,20.55,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.DovTai.6
ENG-GLDC-0004,Golden Choice Engineered White Oak 6.5 — Ginger Bread,Golden Choice,Golden Choice,,4e7f8e37-cbea-429a-b011-78befc3302ab,55546961,Engineered White Oak 6.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Ginger Bread,,,6.5,RL,19,,,,,Distressed,,,,,,,,,,,3.59,4.59,,,,,"Net Box Price $3.59/sf vs Net Skid Price $3.49/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,20.55,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.GinBre.6
ENG-GLDC-0005,Golden Choice Engineered White Oak 6.5 — Spirit Gray,Golden Choice,Golden Choice,,a7eed9bc-810b-4f23-ac6e-ebfac8a55cb4,55546949,Engineered White Oak 6.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Spirit Gray,,,6.5,RL,19,,,,,Distressed,,,,,,,,,,,3.59,4.59,,,,,"Net Box Price $3.59/sf vs Net Skid Price $3.49/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,20.55,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.SpiGra.6
ENG-GLDC-0006,Golden Choice Engineered White Oak 6.5 — Natural,Golden Choice,Golden Choice,,43374c15-1370-4c69-9ecb-df021a29f94d,55546954,Engineered White Oak 6.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Natural,,,6.5,RL,19,,,,,Distressed,,,,,,,,,,,3.59,4.59,,,,,"Net Box Price $3.59/sf vs Net Skid Price $3.49/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,20.55,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.Nat.6.1
ENG-GLDC-0007,Golden Choice Engineered White Oak 7.5 — Skyline,Golden Choice,Golden Choice,,3c57fb8e-40ae-49a6-b299-fe6249c39c28,55546950,Engineered White Oak 7.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Skyline,,,7.5,RL,18,,,,,Distressed,,,,,,,,,,,3.79,4.79,,,,,"Net Box Price $3.79/sf vs Net Skid Price $3.69/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,19.73,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.Sky.7
ENG-GLDC-0008,Golden Choice Engineered White Oak 7.5 — Grandview,Golden Choice,Golden Choice,,4d8cfc19-0faa-41c6-bc65-a134c87a4658,55546960,Engineered White Oak 7.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Grandview,,,7.5,RL,18,,,,,Distressed,,,,,,,,,,,3.79,4.79,,,,,"Net Box Price $3.79/sf vs Net Skid Price $3.69/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,19.73,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.Gra.7
ENG-GLDC-0009,Golden Choice Engineered White Oak 7.5 — Cliffside,Golden Choice,Golden Choice,,c431adb3-b350-4687-8d4f-e2dd6e7f599a,55546967,Engineered White Oak 7.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Cliffside,,,7.5,RL,18,,,,,Distressed,,,,,,,,,,,3.79,4.79,,,,,"Net Box Price $3.79/sf vs Net Skid Price $3.69/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,19.73,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.Cli.7
ENG-GLDC-0010,Golden Choice Engineered White Oak 7.5 — Montana,Golden Choice,Golden Choice,,0fa41da1-b7a1-4483-bf72-e6cb894dc734,55546955,Engineered White Oak 7.5,Flooring,Engineered hardwood,Hardwood plywood,White Oak,Montana,,,7.5,RL,18,,,,,Distressed,,,,,,,,,,,3.79,4.79,,,,,"Net Box Price $3.79/sf vs Net Skid Price $3.69/sf -- Box taken as cost, see escalation note.",2025-05-01,Manual,19.73,,,,,TRUE,,,,,,,,"Cost basis UNCONFIRMED -- Golden Choice is a new supplier. Every price group on this sheet prints BOTH a Net Box Price and a Net Skid Price (both '+Tax', both under 'Note: For Dealer') -- Net Box Price taken as cost per default (smaller unit = higher price = dealer cost), Albert to confirm which column is the true dealer cost (see escalation).",,,new,OK,Matched LS sku GOL.E.WO.Mon.7
