SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
TIL-NORT-AON081,"Artisan Origins — Antique Pearl — 2.5"" x 9.5"" (Glossy)",Northway,Northway,AON081,,,Artisan Origins,Flooring,Tile / Stone,Porcelain,,Antique Pearl,,,2.5,,,,,,,Glossy,,,,,,,,Wall,,,3.99,5.99,,3.19,,,Northway tiered pricing: 1 Box $3.99/sf / 1/2 Pallet $3.49/sf / 1 Pallet $3.19/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,10.55,68,72,4896,,TRUE,,,,,,,,Tone bucket per supplier sheet: White. Edge profile: Wavy (zellige-look). Marked NEW ARRIVAL on the May 4 2026 list.,,,new
TIL-NORT-AON761,"Artisan Origins — Forest Moss — 2.5"" x 9.5"" (Glossy)",Northway,Northway,AON761,,,Artisan Origins,Flooring,Tile / Stone,Porcelain,,Forest Moss,,,2.5,,,,,,,Glossy,,,,,,,,Wall,,,3.99,5.99,,3.19,,,Northway tiered pricing: 1 Box $3.99/sf / 1/2 Pallet $3.49/sf / 1 Pallet $3.19/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,10.55,68,72,4896,,TRUE,,,,,,,,Tone bucket per supplier sheet: Green. Edge profile: Wavy (zellige-look). Marked NEW ARRIVAL on the May 4 2026 list.,,,new
TIL-NORT-AON078,"Artisan Origins — Deep Ocean — 2.5"" x 9.5"" (Glossy)",Northway,Northway,AON078,,,Artisan Origins,Flooring,Tile / Stone,Porcelain,,Deep Ocean,,,2.5,,,,,,,Glossy,,,,,,,,Wall,,,3.99,5.99,,3.19,,,Northway tiered pricing: 1 Box $3.99/sf / 1/2 Pallet $3.49/sf / 1 Pallet $3.19/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,10.55,68,72,4896,,TRUE,,,,,,,,Tone bucket per supplier sheet: Blue. Edge profile: Wavy (zellige-look). Marked NEW ARRIVAL on the May 4 2026 list.,,,new
TIL-NORT-AON079,"Artisan Origins — Ash Stone — 2.5"" x 9.5"" (Glossy)",Northway,Northway,AON079,,,Artisan Origins,Flooring,Tile / Stone,Porcelain,,Ash Stone,,,2.5,,,,,,,Glossy,,,,,,,,Wall,,,3.99,5.99,,3.19,,,Northway tiered pricing: 1 Box $3.99/sf / 1/2 Pallet $3.49/sf / 1 Pallet $3.19/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,10.55,68,72,4896,,TRUE,,,,,,,,Tone bucket per supplier sheet: Grey. Edge profile: Wavy (zellige-look). Marked NEW ARRIVAL on the May 4 2026 list.,,,new
TIL-NORT-AON080,"Artisan Origins — Tuscan Sand — 2.5"" x 9.5"" (Glossy)",Northway,Northway,AON080,,,Artisan Origins,Flooring,Tile / Stone,Porcelain,,Tuscan Sand,,,2.5,,,,,,,Glossy,,,,,,,,Wall,,,3.99,5.99,,3.19,,,Northway tiered pricing: 1 Box $3.99/sf / 1/2 Pallet $3.49/sf / 1 Pallet $3.19/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,10.55,68,72,4896,,TRUE,,,,,,,,Tone bucket per supplier sheet: Beige. Edge profile: Wavy (zellige-look). Marked NEW ARRIVAL on the May 4 2026 list.,,,new
TIL-NORT-AON147,"Artisan Origins — Amber Gold — 2.5"" x 9.5"" (Glossy)",Northway,Northway,AON147,,,Artisan Origins,Flooring,Tile / Stone,Porcelain,,Amber Gold,,,2.5,,,,,,,Glossy,,,,,,,,Wall,,,4.49,6.49,,3.59,,,Northway tiered pricing: 1 Box $4.49/sf / 1/2 Pallet $3.99/sf / 1 Pallet $3.59/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,10.55,68,72,4896,,TRUE,,,,,,,,Tone bucket per supplier sheet: Yellow. Edge profile: Wavy (zellige-look). Marked NEW ARRIVAL on the May 4 2026 list.,,,new
TIL-NORT-VSW-312-1001,"Vista — Vista Pure White — 3""x12"" (Glossy)",Northway,Northway,VSW-312-1001,,,Vista,Flooring,Tile / Stone,Ceramic,,Vista Pure White,,,3,,,,,,,Glossy,,,,,,,,Wall,,,2.39,4.39,,1.99,,,Northway tiered pricing: 1 Box $2.39/sf / 1/2 Pallet $2.19/sf / 1 Pallet $1.99/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,9.71,40,69,2760,,TRUE,,,,,,,,Edge profile: Wavy.,,,new
TIL-NORT-VSW-312-1002,"Vista — Vista Silky White — 3""x12"" (Matte)",Northway,Northway,VSW-312-1002,,,Vista,Flooring,Tile / Stone,Ceramic,,Vista Silky White,,,3,,,,,,,Matte,,,,,,,,Wall,,,2.39,4.39,,1.99,,,Northway tiered pricing: 1 Box $2.39/sf / 1/2 Pallet $2.19/sf / 1 Pallet $1.99/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,9.71,40,69,2760,,TRUE,,,,,,,,,,,new
TIL-NORT-VSW-312-1011,"Vista — Vista Fog — 3""x12"" (Glossy)",Northway,Northway,VSW-312-1011,,,Vista,Flooring,Tile / Stone,Ceramic,,Vista Fog,,,3,,,,,,,Glossy,,,,,,,,Wall,,,2.39,4.39,,1.99,,,Northway tiered pricing: 1 Box $2.39/sf / 1/2 Pallet $2.19/sf / 1 Pallet $1.99/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,9.71,40,69,2760,,TRUE,,,,,,,,Edge profile: Wavy. Marked NEW ARRIVAL on the May 4 2026 list.,,,new
TIL-NORT-3x12Subway,"Carrara — Carrara Subway — 3""x12"" (Glossy)",Northway,Northway,3x12 Subway,,,Carrara,Flooring,Tile / Stone,Ceramic,,Carrara Subway,,,3,,,,,,,Glossy,,,,,,,,Wall,,,2.39,4.39,,1.99,,,Northway tiered pricing: 1 Box $2.39/sf / 1/2 Pallet $2.19/sf / 1 Pallet $1.99/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,12.37,51,80,4080,,TRUE,,,,,,,, Supplier sheet prints a size-description string ('3x12 Subway') in the SKU column instead of a real product code -- confirm the actual Northway SKU with the rep before this becomes load-bearing.,,,new
TIL-NORT-4x12Subway,"Carrara — Carrara Subway — 4""x12"" (Glossy)",Northway,Northway,4x12 Subway,,,Carrara,Flooring,Tile / Stone,Ceramic,,Carrara Subway,,,4,,,,,,,Glossy,,,,,,,,Wall,,,2.39,4.39,,1.99,,,Northway tiered pricing: 1 Box $2.39/sf / 1/2 Pallet $2.19/sf / 1 Pallet $1.99/sf. Cost/unit set to the 1 Box tier -- UNCONFIRMED which tier Titan actually orders at (Albert to confirm).,2026-05-04,Manual,18.13,56,64,3584,,TRUE,,,,,,,, Supplier sheet prints a size-description string ('4x12 Subway') in the SKU column instead of a real product code -- confirm the actual Northway SKU with the rep before this becomes load-bearing.,,,new
