sku,handle,name,supply_price,retail_price,description,product_category,brand_name,supplier_name,variant_option_one_name,variant_option_one_value
TIL-NORT-AON081,NORTARTISANORIGINSANTIQUEPEARLGLOSSY25X95,"NORTTIL - Artisan Origins - Antique Pearl - 2.5"" x 9.5"" (Glossy) - 10.55sf/b",3.99,5.99,"Artisan Origins — Antique Pearl — 2.5"" x 9.5"" (Glossy). Box size: 10.55 sf. Pieces per box: 68.",TILE,,Northway Building Supplies,Colour,Antique Pearl
TIL-NORT-AON761,NORTARTISANORIGINSFORESTMOSSGLOSSY25X95,"NORTTIL - Artisan Origins - Forest Moss - 2.5"" x 9.5"" (Glossy) - 10.55sf/b",3.99,5.99,"Artisan Origins — Forest Moss — 2.5"" x 9.5"" (Glossy). Box size: 10.55 sf. Pieces per box: 68.",TILE,,Northway Building Supplies,Colour,Forest Moss
TIL-NORT-AON078,NORTARTISANORIGINSDEEPOCEANGLOSSY25X95,"NORTTIL - Artisan Origins - Deep Ocean - 2.5"" x 9.5"" (Glossy) - 10.55sf/b",3.99,5.99,"Artisan Origins — Deep Ocean — 2.5"" x 9.5"" (Glossy). Box size: 10.55 sf. Pieces per box: 68.",TILE,,Northway Building Supplies,Colour,Deep Ocean
TIL-NORT-AON079,NORTARTISANORIGINSASHSTONEGLOSSY25X95,"NORTTIL - Artisan Origins - Ash Stone - 2.5"" x 9.5"" (Glossy) - 10.55sf/b",3.99,5.99,"Artisan Origins — Ash Stone — 2.5"" x 9.5"" (Glossy). Box size: 10.55 sf. Pieces per box: 68.",TILE,,Northway Building Supplies,Colour,Ash Stone
TIL-NORT-AON080,NORTARTISANORIGINSTUSCANSANDGLOSSY25X95,"NORTTIL - Artisan Origins - Tuscan Sand - 2.5"" x 9.5"" (Glossy) - 10.55sf/b",3.99,5.99,"Artisan Origins — Tuscan Sand — 2.5"" x 9.5"" (Glossy). Box size: 10.55 sf. Pieces per box: 68.",TILE,,Northway Building Supplies,Colour,Tuscan Sand
TIL-NORT-AON147,NORTARTISANORIGINSAMBERGOLDGLOSSY25X95,"NORTTIL - Artisan Origins - Amber Gold - 2.5"" x 9.5"" (Glossy) - 10.55sf/b",4.49,6.49,"Artisan Origins — Amber Gold — 2.5"" x 9.5"" (Glossy). Box size: 10.55 sf. Pieces per box: 68.",TILE,,Northway Building Supplies,Colour,Amber Gold
TIL-NORT-VSW-312-1001,NORTVISTAVISTAPUREWHITEGLOSSY3X12,"NORTTIL - Vista - Vista Pure White - 3""x12"" (Glossy) - 9.71sf/b",2.39,4.39,"Vista — Vista Pure White — 3""x12"" (Glossy). Box size: 9.71 sf. Pieces per box: 40.",TILE,,Northway Building Supplies,Colour,Vista Pure White
TIL-NORT-VSW-312-1002,NORTVISTAVISTASILKYWHITEMATTE3X12,"NORTTIL - Vista - Vista Silky White - 3""x12"" (Matte) - 9.71sf/b",2.39,4.39,"Vista — Vista Silky White — 3""x12"" (Matte). Box size: 9.71 sf. Pieces per box: 40.",TILE,,Northway Building Supplies,Colour,Vista Silky White
TIL-NORT-VSW-312-1011,NORTVISTAVISTAFOGGLOSSY3X12,"NORTTIL - Vista - Vista Fog - 3""x12"" (Glossy) - 9.71sf/b",2.39,4.39,"Vista — Vista Fog — 3""x12"" (Glossy). Box size: 9.71 sf. Pieces per box: 40.",TILE,,Northway Building Supplies,Colour,Vista Fog
TIL-NORT-3x12Subway,NORTCARRARACARRARASUBWAYGLOSSY3X12,"NORTTIL - Carrara - Carrara Subway - 3""x12"" (Glossy) - 12.37sf/b",2.39,4.39,"Carrara — Carrara Subway — 3""x12"" (Glossy). Box size: 12.37 sf. Pieces per box: 51.",TILE,,Northway Building Supplies,Colour,Carrara Subway
TIL-NORT-4x12Subway,NORTCARRARACARRARASUBWAYGLOSSY4X12,"NORTTIL - Carrara - Carrara Subway - 4""x12"" (Glossy) - 18.13sf/b",2.39,4.39,"Carrara — Carrara Subway — 4""x12"" (Glossy). Box size: 18.13 sf. Pieces per box: 56.",TILE,,Northway Building Supplies,Colour,Carrara Subway
TIL-NORT-RSW-412-FLGWH,NORTCLASSICWHITESUBWAYGLOSSY4X12,"NORTTIL - Classic - White Subway - 4""x12"" (Glossy) - 18.75sf/b",1.79,3.79,"Classic — White Subway — 4""x12"" (Glossy). Box size: 18.75 sf. Pieces per box: 58.",TILE,,Northway Building Supplies,Colour,White Subway
TIL-NORT-RSW-416-FLGWH,NORTCLASSICWHITESUBWAYGLOSSY4X16,"NORTTIL - Classic - White Subway - 4""x16"" (Glossy) - 16.37sf/b",1.79,3.79,"Classic — White Subway — 4""x16"" (Glossy). Box size: 16.37 sf. Pieces per box: 38.",TILE,,Northway Building Supplies,Colour,White Subway
TIL-NORT-KL1001,NORT1HEXWHITEGLOSSY1,"NORTMOS - 1"" Hex - White - 1"" (Glossy) - 18.50sf/b",3.39,8.39,"1"" Hex — White — 1"" (Glossy). Sold per piece (mosaic sheet). Sheet coverage 0.84 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-KL4810,NORT1HEXBLACKMATTE1,"NORTMOS - 1"" Hex - Black - 1"" (Matte) - 18.50sf/b",3.79,8.79,"1"" Hex — Black — 1"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.84 sf.",MOSAIC,,Northway Building Supplies,Colour,Black
TIL-NORT-KL62299,NORT1HEXWHITEBLACKMATTE1,"NORTMOS - 1"" Hex - White & Black - 1"" (Matte) - 18.50sf/b",3.59,8.59,"1"" Hex — White & Black — 1"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.84 sf.",MOSAIC,,Northway Building Supplies,Colour,White & Black
TIL-NORT-TBM2142,NORTWHITEOCTAGONWITHBLACKDOTMATTEWHITEBLACKMATTEWHITEBLACK,NORTMOS - White Octagon with Black Dot Matte - White & Black - White & Black (Matte) - 20.70sf/b,3.49,8.49,White Octagon with Black Dot Matte — White & Black (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.94 sf.,MOSAIC,,Northway Building Supplies,Colour,White & Black
TIL-NORT-IDL1005,NORT2HEXWHITEMATTE2,"NORTMOS - 2"" Hex - White - 2"" (Matte) - 18.20sf/b",3.29,8.29,"2"" Hex — White — 2"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.83 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-IDL4810,NORT2HEXBLACKMATTE2,"NORTMOS - 2"" Hex - Black - 2"" (Matte) - 18.20sf/b",3.49,8.49,"2"" Hex — Black — 2"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.83 sf.",MOSAIC,,Northway Building Supplies,Colour,Black
TIL-NORT-IDLB0011,NORT2HEXCHARCOALUNGLAZED2,"NORTMOS - 2"" Hex - Charcoal - 2"" (Unglazed) - 18.20sf/b",3.39,8.39,"2"" Hex — Charcoal — 2"" (Unglazed). Sold per piece (mosaic sheet). Sheet coverage 0.83 sf.",MOSAIC,,Northway Building Supplies,Colour,Charcoal
TIL-NORT-IDLB0020,NORT2HEXSUPERWHITEUNGLAZED2,"NORTMOS - 2"" Hex - Super White - 2"" (Unglazed) - 18.20sf/b",3.49,8.49,"2"" Hex — Super White — 2"" (Unglazed). Sold per piece (mosaic sheet). Sheet coverage 0.83 sf.",MOSAIC,,Northway Building Supplies,Colour,Super White
TIL-NORT-RIT51CARARA,NORT2HEXCARRARAMATTE2,"NORTMOS - 2"" Hex - Carrara - 2"" (Matte) - 18.20sf/b",4.19,9.19,"2"" Hex — Carrara — 2"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.83 sf.",MOSAIC,,Northway Building Supplies,Colour,Carrara
TIL-NORT-CL1005,NORT4HEXWHITEMATTE4,"NORTMOS - 4"" Hex - White - 4"" (Matte) - 17.90sf/b",3.79,8.79,"4"" Hex — White — 4"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.81 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-CL4810,NORT4HEXBLACKMATTE4,"NORTMOS - 4"" Hex - Black - 4"" (Matte) - 17.90sf/b",3.99,8.99,"4"" Hex — Black — 4"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.81 sf.",MOSAIC,,Northway Building Supplies,Colour,Black
TIL-NORT-RIT95CARARA,NORT4HEXCARRARAMATTE4,"NORTMOS - 4"" Hex - Carrara - 4"" (Matte) - 17.90sf/b",4.29,9.29,"4"" Hex — Carrara — 4"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.81 sf.",MOSAIC,,Northway Building Supplies,Colour,Carrara
TIL-NORT-YK31000,NORT1X3HERRINGBONEWHITEMATTE1X3,"NORTMOS - 1""x3"" Herringbone - White - 1""x3"" (Matte) - 20.70sf/b",3.09,8.09,"1""x3"" Herringbone — White — 1""x3"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.94 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-N73000,NORT2X8HERRINGBONEBLACKMATTE2X8,"NORTMOS - 2""x8"" Herringbone - Black - 2""x8"" (Matte) - 13.52sf/b",2.49,7.49,"2""x8"" Herringbone — Black — 2""x8"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.614 sf.",MOSAIC,,Northway Building Supplies,Colour,Black
TIL-NORT-KW1001,NORTPENNYROUNDWHITEGLOSSY34,"NORTMOS - Penny Round - White - 3/4"" (Glossy) - 11.00sf/b",4.69,9.69,"Penny Round — White — 3/4"" (Glossy). Sold per piece (mosaic sheet). Sheet coverage 1.0 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-KW1005,NORTPENNYROUNDWHITEMATTE34,"NORTMOS - Penny Round - White - 3/4"" (Matte) - 11.00sf/b",4.69,9.69,"Penny Round — White — 3/4"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 1.0 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-KW4810,NORTPENNYROUNDBLACKMATTE34,"NORTMOS - Penny Round - Black - 3/4"" (Matte) - 11.00sf/b",4.89,9.89,"Penny Round — Black — 3/4"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 1.0 sf.",MOSAIC,,Northway Building Supplies,Colour,Black
TIL-NORT-KW0120,NORTPENNYROUNDWHITEUNGLAZED34,"NORTMOS - Penny Round - White - 3/4"" (Unglazed) - 11.00sf/b",5.49,10.49,"Penny Round — White — 3/4"" (Unglazed). Sold per piece (mosaic sheet). Sheet coverage 1.0 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-KW0129,NORTPENNYROUNDCHARCOALUNGLAZED34,"NORTMOS - Penny Round - Charcoal - 3/4"" (Unglazed) - 11.00sf/b",5.29,10.29,"Penny Round — Charcoal — 3/4"" (Unglazed). Sold per piece (mosaic sheet). Sheet coverage 1.0 sf.",MOSAIC,,Northway Building Supplies,Colour,Charcoal
TIL-NORT-KWLR1005,NORT2ROUNDWHITEMATTE2,"NORTMOS - 2"" Round - White - 2"" (Matte) - 19.04sf/b",3.49,8.49,"2"" Round — White — 2"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.865 sf.",MOSAIC,,Northway Building Supplies,Colour,White
TIL-NORT-KWLR4810,NORT2ROUNDBLACKMATTE2,"NORTMOS - 2"" Round - Black - 2"" (Matte) - 19.04sf/b",3.79,8.79,"2"" Round — Black — 2"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 0.865 sf.",MOSAIC,,Northway Building Supplies,Colour,Black
TIL-NORT-ID4810,NORT2SQUAREBLACKMATTE2,"NORTMOS - 2"" Square - Black - 2"" (Matte) - 22.20sf/b",2.89,7.89,"2"" Square — Black — 2"" (Matte). Sold per piece (mosaic sheet). Sheet coverage 1.01 sf.",MOSAIC,,Northway Building Supplies,Colour,Black
TIL-NORT-ID48M01,NORT2SQUAREBEIGEUNGLAZED2,"NORTMOS - 2"" Square - Beige - 2"" (Unglazed) - 22.20sf/b",3.79,8.79,"2"" Square — Beige — 2"" (Unglazed). Sold per piece (mosaic sheet). Sheet coverage 1.01 sf.",MOSAIC,,Northway Building Supplies,Colour,Beige
TIL-NORT-NTL12501,NORTCARRARAESSENCECARRARAESSENCEPOLISHED12X24,"NORTTIL - Carrara Essence - Carrara Essence - 12"" x 24"" (Polished) - 15.50sf/b",1.99,3.99,"Carrara Essence — Carrara Essence — 12"" x 24"" (Polished). Box size: 15.50 sf. Pieces per box: 8.",TILE,,Northway Building Supplies,Colour,Carrara Essence
