SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,LS Match status,LS Match notes
ENG-OAKL-0001,European Oak 3-Ply 7 Series — Camel (Select),Oakel,Oakel,,,,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Camel,Select,,7.48,RL,18,,3,,,,,,,,,,,,,,3.29,4.29,,,,,Oakel single printed price $3.29/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,NOT_FOUND,
ENG-OAKL-0002,European Oak 3-Ply 7 Series — Erin Oak (Select),Oakel,Oakel,,f56aac7a-502c-41e0-ae64-afe1e7b1d334,oakeng---7-series---collection-a---european-oak-erin-oak---oakeeoerioak14--abc---183mm-x190xrl---2332sfb,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Erin Oak,Select,,7.48,RL,18,,3,,,,,,,,,,,,,,4.69,5.69,,,,,Oakel single printed price $4.69/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,OK,Matched LS sku OAK.E.EO.EriOak.1.4
ENG-OAKL-0003,European Oak 3-Ply 7 Series — Erin Oak (Character),Oakel,Oakel,,0d668142-4856-4555-969a-b6bb624aebc2,oakeng---7-series---collection-a---european-oak-erin-oak---oakeeoerioak15--abcd---183mm-x190xrl---2332sfb,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Erin Oak,Character,,7.48,RL,18,,3,,,,,,,,,,,,,,3.49,4.49,,,,,Oakel single printed price $3.49/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,OK,Matched LS sku OAK.E.EO.EriOak.1.5
ENG-OAKL-0004,European Oak 3-Ply 7 Series — Essence (Select),Oakel,Oakel,,447c74e8-c80d-46b1-93b6-620d08a14ac8,oakeng---7-series---collection-a---european-oak-essence---oakeeoess15--abc---183mm-x190xrl---2332sfb,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Essence,Select,,7.48,RL,18,,3,,,,,,,,,,,,,,4.69,5.69,,,,,Oakel single printed price $4.69/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,OK,Matched LS sku OAK.E.EO.Ess.1.5
ENG-OAKL-0005,European Oak 3-Ply 7 Series — Fiorano (Select & Better),Oakel,Oakel,,,,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Fiorano,Select & Better,,7.48,RL,18,,3,,,,,,,,,,,,,,4.99,5.99,,,,,Oakel single printed price $4.99/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,NOT_FOUND,
ENG-OAKL-0006,European Oak 3-Ply 7 Series — Fiorano (Select),Oakel,Oakel,,1ca5a16a-1919-49b5-a277-e1cf758593e5,oakeng---7-series---collection-a---european-oak-fiorano---oakeeofio1--abc---183mm-x190xrl---2332sfb,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Fiorano,Select,,7.48,RL,18,,3,,,,,,,,,,,,,,4.69,5.69,,,,,Oakel single printed price $4.69/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,OK,Matched LS sku OAK.E.EO.Fio.1
ENG-OAKL-0007,European Oak 3-Ply 7 Series — Fortino (Select & Better),Oakel,Oakel,,9d6f654a-f022-4dac-931f-bfd2a17fde29,oakeng---7-series---collection-b---european-oak-fortino---oakeeofor14--ab---183mm-x190xrl---2332sfb,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Fortino,Select & Better,,7.48,RL,18,,3,,,,,,,,,,,,,,4.59,5.59,,,,,Oakel single printed price $4.59/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,OK,Matched LS sku OAK.E.EO.For.1.4
ENG-OAKL-0008,European Oak 3-Ply 7 Series — Fortino (Select),Oakel,Oakel,,6c9f91a2-92c6-42b9-a34a-e03c0ef581e9,oakeng---7-series---collection-b---european-oak-fortino---oakeeofor13--abc---183mm-x190xrl---2332sfb,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Fortino,Select,,7.48,RL,18,,3,,,,,,,,,,,,,,4.19,5.19,,,,,Oakel single printed price $4.19/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,OK,Matched LS sku OAK.E.EO.For.1.3
ENG-OAKL-0009,European Oak 3-Ply 7 Series — Harrison (Select),Oakel,Oakel,,9ab205bb-d60d-49fd-bc37-13a6a3d80fcd,oakeng---7-series---collection-a---european-oak-harrison---oakeeohar15--abc---183mm-x190xrl---2332sfb,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Harrison,Select,,7.48,RL,18,,3,,,,,,,,,,,,,,4.69,5.69,,,,,Oakel single printed price $4.69/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,OK,Matched LS sku OAK.E.EO.Har.1.5
ENG-OAKL-0010,European Oak 3-Ply 7 Series — Imola (Select & Better),Oakel,Oakel,,,,European Oak 3-Ply 7 Series,Flooring,Engineered hardwood,Hardwood plywood,European Oak,Imola,Select & Better,,7.48,RL,18,,3,,,,,,,,,,,,,,4.09,5.09,,,,,Oakel single printed price $4.09/sf -- no volume tiers on this sheet.,2026-04-01,Manual,23.32,,,,,TRUE,,,,,,,,"Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",,,new,NOT_FOUND,
