id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,loyalty_value_default,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga_Outlet,inventory_Mississauga_Outlet,reorder_point_Mississauga_Outlet,reorder_quantity_Mississauga_Outlet,min_quantity_Mississauga_Outlet,max_quantity_Mississauga_Outlet
,OAKENG748CAMELSELECT1,ENG-OAKL-0001,,,,"OAKENG - European Oak 3-Ply 7 Series (Camel) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Camel | Volume pricing notes: Oakel single printed price $3.29/sf -- no volume tiers on this sheet. | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.29,4.29,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
f56aac7a-502c-41e0-ae64-afe1e7b1d334,oakeng---7-series---collection-a---european-oak-erin-oak---oakeeoerioak14--abc---183mm-x190xrl---2332sfb,ENG-OAKL-0002,,,,"OAKENG - European Oak 3-Ply 7 Series (Erin Oak) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Erin Oak | Volume pricing notes: Oakel single printed price $4.69/sf -- no volume tiers on this sheet. | LS Match notes: Matched LS sku OAK.E.EO.EriOak.1.4 | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy). | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.69,5.69,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
0d668142-4856-4555-969a-b6bb624aebc2,oakeng---7-series---collection-a---european-oak-erin-oak---oakeeoerioak15--abcd---183mm-x190xrl---2332sfb,ENG-OAKL-0003,,,,"OAKENG - European Oak 3-Ply 7 Series (Erin Oak) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Character","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Erin Oak | Volume pricing notes: Oakel single printed price $3.49/sf -- no volume tiers on this sheet. | LS Match notes: Matched LS sku OAK.E.EO.EriOak.1.5 | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy). | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.49,4.49,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
447c74e8-c80d-46b1-93b6-620d08a14ac8,oakeng---7-series---collection-a---european-oak-essence---oakeeoess15--abc---183mm-x190xrl---2332sfb,ENG-OAKL-0004,,,,"OAKENG - European Oak 3-Ply 7 Series (Essence) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Essence | Volume pricing notes: Oakel single printed price $4.69/sf -- no volume tiers on this sheet. | LS Match notes: Matched LS sku OAK.E.EO.Ess.1.5 | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy). | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.69,5.69,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
,OAKENG748FIORANOSELECTBETTER2,ENG-OAKL-0005,,,,"OAKENG - European Oak 3-Ply 7 Series (Fiorano) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select & Better","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Fiorano | Volume pricing notes: Oakel single printed price $4.99/sf -- no volume tiers on this sheet. | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.99,5.99,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
1ca5a16a-1919-49b5-a277-e1cf758593e5,oakeng---7-series---collection-a---european-oak-fiorano---oakeeofio1--abc---183mm-x190xrl---2332sfb,ENG-OAKL-0006,,,,"OAKENG - European Oak 3-Ply 7 Series (Fiorano) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Fiorano | Volume pricing notes: Oakel single printed price $4.69/sf -- no volume tiers on this sheet. | LS Match notes: Matched LS sku OAK.E.EO.Fio.1 | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy). | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.69,5.69,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
9d6f654a-f022-4dac-931f-bfd2a17fde29,oakeng---7-series---collection-b---european-oak-fortino---oakeeofor14--ab---183mm-x190xrl---2332sfb,ENG-OAKL-0007,,,,"OAKENG - European Oak 3-Ply 7 Series (Fortino) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select & Better","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Fortino | Volume pricing notes: Oakel single printed price $4.59/sf -- no volume tiers on this sheet. | LS Match notes: Matched LS sku OAK.E.EO.For.1.4 | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy). | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.59,5.59,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
6c9f91a2-92c6-42b9-a34a-e03c0ef581e9,oakeng---7-series---collection-b---european-oak-fortino---oakeeofor13--abc---183mm-x190xrl---2332sfb,ENG-OAKL-0008,,,,"OAKENG - European Oak 3-Ply 7 Series (Fortino) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Fortino | Volume pricing notes: Oakel single printed price $4.19/sf -- no volume tiers on this sheet. | LS Match notes: Matched LS sku OAK.E.EO.For.1.3 | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy). | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.19,5.19,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
9ab205bb-d60d-49fd-bc37-13a6a3d80fcd,oakeng---7-series---collection-a---european-oak-harrison---oakeeohar15--abc---183mm-x190xrl---2332sfb,ENG-OAKL-0009,,,,"OAKENG - European Oak 3-Ply 7 Series (Harrison) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Harrison | Volume pricing notes: Oakel single printed price $4.69/sf -- no volume tiers on this sheet. | LS Match notes: Matched LS sku OAK.E.EO.Har.1.5 | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy). | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.69,5.69,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
,OAKENG748IMOLASELECTBETTER3,ENG-OAKL-0010,,,,"OAKENG - European Oak 3-Ply 7 Series (Imola) | 7.48"" x 18mm x RL - 3mm top - 23.32sf/b - Select & Better","Material type: Hardwood plywood | Species: European Oak | Colour / tone: Imola | Volume pricing notes: Oakel single printed price $4.09/sf -- no volume tiers on this sheet. | Box size (sf): 23.32 | Salesperson notes: Oakel is a new supplier; printed price/sf taken as cost per the flooring pricing default (single obvious $/sf column, no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy).",FLOORING / ENGINEERED HARDWOOD,,,,,,,,4.09,5.09,,,,,Oakel,Oakel,,1,1,Default Tax,,,,,
