SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,LS Match status,LS Match notes
LVP-HMSP-0001,HomesPro SPC Vinyl 5.5mm — Milan,HomesPro,HomesPro,,,HMSP55MILAN,Milan,Flooring,LVP,SPC core,,,,,,,5.5,12,,,,,Click,Float,,TRUE,IXPE,,,,,,1.45,2.45,,,,,HomesPro single printed price $1.45/sf -- no volume tiers on this sheet.,2026-03-02,Manual,23.90,,,,,TRUE,TRUE,FALSE,,,,,,"Install profile (Click) assumed -- SPC vinyl is virtually always click-lock; not explicitly printed on this sheet. Genuinely new supplier and new to Lightspeed (checked supplier_name 'HOMESPRO' in live LS catalogue, 73 products, no 'Milan' collection). Cost/unit is the sheet's single obvious $/sf column -- no MSRP or second price printed -- no confirmation needed per 2026-09-11 policy.",,,new,NOT_FOUND,No 'Milan' collection in live LS HOMESPRO catalogue (73 products checked).
LVP-HMSP-0002,HomesPro SPC Vinyl 6.5mm — Venice,HomesPro,HomesPro,,,,Venice,Flooring,LVP,SPC core,,,,,,,6.5,20,,,,,Click,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,HomesPro single printed price $1.68/sf -- no volume tiers on this sheet.,2026-03-02,Manual,19.12,,,,,TRUE,TRUE,TRUE,,,,,,"MATCHES existing Lightspeed 'VENICE' collection on spec (6.5mm, 5mm+1.5mm IXPE core, 19.12sf/b) but that collection has 11 live colour SKUs (Baku, Cody, Dover, Gabon, Havana, Hawaii, Luka, Maine, Malta, Texas (x2), Troy) and this price list gives no colour breakdown -- cannot resolve 1:1. Do NOT backfill a Lightspeed ID; excluded from the LS upload file. See the Gracious SPC-colour-range precedent (bert-airtable-schema) -- likely needs per-colour records once HomesPro's colour list is known.",,,new,AMBIGUOUS_TIE,11 candidate SKUs share identical spec (thickness+box size); no colour data on this price list to disambiguate.
LVP-HMSP-0003,HomesPro SPC Vinyl 7mm — Moscow,HomesPro,HomesPro,,,,Moscow,Flooring,LVP,SPC core,,,,,,,7,20,,,,,Click,Float,,TRUE,IXPE,,,,,,1.88,2.88,,,,,HomesPro single printed price $1.88/sf -- no volume tiers on this sheet.,2026-03-02,Manual,19.12,,,,,TRUE,TRUE,TRUE,,,,,,"MATCHES existing Lightspeed 'MOSCOW' collection on spec (7mm, 5.5mm+1.5mm IXPE core, 19.12sf/b) but that collection has 6 live colour SKUs (Bonjour, Hola, Marhaba, Namaste, Salve, Shalom) and this price list gives no colour breakdown -- cannot resolve 1:1. Do NOT backfill a Lightspeed ID; excluded from the LS upload file. See the Gracious SPC-colour-range precedent (bert-airtable-schema) -- likely needs per-colour records once HomesPro's colour list is known.",,,new,AMBIGUOUS_TIE,6 candidate SKUs share identical spec (thickness+box size); no colour data on this price list to disambiguate.
LVP-HMSP-0004,HomesPro SPC Vinyl 8mm — Vancouver (Long Plank),HomesPro,HomesPro,,,HMSP8VANCOUVER,Vancouver,Flooring,LVP,SPC core,,,,,,,8,22,,,,,Click,Float,,TRUE,IXPE,,,,,,1.98,2.98,,,,,HomesPro single printed price $1.98/sf -- no volume tiers on this sheet.,2026-03-02,Manual,17.92,,,,,TRUE,TRUE,TRUE,,,,,,"Marketed as 'LONG PLANK' on the price list -- no Layout pattern enum value fits this (Standard/Herringbone/Chevron/Versailles/Mosaic); left Layout pattern blank and recorded the format here rather than inventing a new enum option. No dimension given, so Length stays blank. Genuinely new supplier and new to Lightspeed (no 'Vancouver' collection in the live HOMESPRO catalogue, 73 products checked).",,,new,NOT_FOUND,No 'Vancouver' collection in live LS HOMESPRO catalogue.
LVP-HMSP-0005,HomesPro SPC Vinyl 6mm — Sydney (Herringbone),HomesPro,HomesPro,,,,Sydney,Flooring,LVP,SPC core,,,,Herringbone,,,6,20,,,,,Click,Float,,TRUE,Cork,,,,,,1.98,2.98,,,,,HomesPro single printed price $1.98/sf -- no volume tiers on this sheet.,2026-03-02,Manual,19.38,,,,,TRUE,TRUE,TRUE,,,,,,"MATCHES existing Lightspeed 'SYDNEY' collection on spec (6mm Herringbone, 4.5mm+1.5mm Cork core, 19.38sf/b) but that collection has 4 live colour SKUs (Birch Hills, Castletown, Divibeach, Sunderland) and this price list gives no colour breakdown -- cannot resolve 1:1. Do NOT backfill a Lightspeed ID; excluded from the LS upload file. See the Gracious SPC-colour-range precedent (bert-airtable-schema) -- likely needs per-colour records once HomesPro's colour list is known.",,,new,AMBIGUOUS_TIE,4 candidate SKUs share identical spec (thickness+layout+box size); no colour data on this price list to disambiguate.
LVP-HMSP-0006,HomesPro Glue Down Vinyl 3mm — Holland,HomesPro,HomesPro,,,HMSP3HOLLAND,Holland,Flooring,LVP,Dry-back vinyl,,,,,,,3,20,,,,,Glue down,Glue down,,FALSE,,,,,,,1.25,2.25,,,,,HomesPro single printed price $1.25/sf -- no volume tiers on this sheet.,2026-03-02,Manual,34.58,,,,,TRUE,TRUE,TRUE,,,,,,Marked 'NEW' on the 2026-03-02 HomesPro list. No matching product found in the live Lightspeed HOMESPRO catalogue (73 products checked) -- genuinely new to both systems. No T-Moulding/Stair Nose/Reducer listed for this line (sheet shows '-').,,,new,NOT_FOUND,No 'Holland' product in live LS HOMESPRO catalogue.
LVP-HMSP-0007,HomesPro Glue Down Vinyl 5mm — Seoul,HomesPro,HomesPro,,,,Seoul,Flooring,LVP,Dry-back vinyl,,,,,,,5,20,,,,,Glue down,Glue down,,FALSE,,,,,,,1.78,2.78,,,,,HomesPro single printed price $1.78/sf -- no volume tiers on this sheet.,2026-03-02,Manual,19.76,,,,,TRUE,TRUE,TRUE,,,,,,"MATCHES existing Lightspeed 'SEOUL' collection exactly on thickness (5mm) and box size (19.76sf/b), but LS records that line as LOOSELAY install (5 colour SKUs: Arish, Bursa, Pune, Seto, Tours) while this price list lists Seoul under 'GLUE DOWN VINYL'. Kept the printed 'Glue down' install method rather than silently correcting to Looselay -- install-method conflict AND an unresolved 1:1 colour tie. Do NOT backfill a Lightspeed ID; excluded from the LS upload file. Confirm the correct install method and colour with HomesPro before importing.",,,new,AMBIGUOUS_TIE,"5 candidate SKUs match on thickness+box size but LS labels the line Looselay, not Glue Down -- install-method conflict plus unresolved colour tie."
LAM-HMSP-0008,HomesPro Waterproof Laminate 12mm (AC4) — Tuscany,HomesPro,HomesPro,,,HMSP12TUSCANY,Tuscany,Flooring,Laminate,Water-Resistant Core,,,,,,,12,,,,AC4,,Click,Float,,,,,,,,,1.65,2.65,,,,,HomesPro single printed price $1.65/sf -- no volume tiers on this sheet.,2026-03-02,Manual,19.20,,,,,TRUE,TRUE,FALSE,,,,,,"Marked 'NEW' on the 2026-03-02 HomesPro list. Labelled '72-HOUR WATERPROOF LAMINATE' on the sheet -- Waterproof set TRUE per the Triforest/Vizion precedent for hour-rated waterproof laminate (Water-Resistant Core material type, not plain HDF core). No Lightspeed match: the only existing HomesPro laminate collection (MADRID) differs in box size (20.4 vs 19.20sf/b) and is a distinct product.",,,new,NOT_FOUND,No 'Tuscany' collection; MADRID is the only HomesPro laminate in LS and has a different box size (20.4sf/b).
ACC-HMSP-0009,"HomesPro - Sundry | Underlay | 3mm IXPE, STC76/IIC77, 100sf Roll",HomesPro,HomesPro,,,HMSPACCIXPEUNDERLAY,Accessories,Underpad,,,,,,,,,,,,,,,,,,,,77,76,,,,13.00,33.00,,,,,HomesPro single printed price $13/roll -- no volume tiers on this sheet.,2026-03-02,Manual,,,,,,TRUE,,,,,,,,"IXPE underlay roll, 3mm, STC76/IIC77, covers 100 sq ft/roll (priced and sold per roll, not per sf -- Box size (sf) left blank, coverage recorded here instead). Markup applied is the cross-supplier Underlayment tier (Cost + $20/roll, per Woden precedent). No Lightspeed match found.",,,new,NOT_FOUND,No matching underlay product in live LS HOMESPRO catalogue.
ACC-HMSP-0010,"HomesPro - Sundry | Floor Protector | 3.28' x 49', 161sf Roll",HomesPro,HomesPro,,,HMSPACCMULTISURFACEPROTECTOR,Accessories,Accessory,,,,,,,,,,,,,,,,,,,,,,,,,17.50,37.50,,,,,HomesPro single printed price $17.50/roll -- no volume tiers on this sheet.,2026-03-02,Manual,,,,,,TRUE,,,,,,,,"Multi-surface floor protector roll, 3.28' x 49', covers 161 sq ft/roll (priced and sold per roll -- Box size (sf) left blank, coverage recorded here instead). Marked 'NEW' on the 2026-03-02 list. Applied the cross-supplier Underlayment markup (+$20/roll) as the closest analogous rule since this is not itself underlay -- flag to Albert if a different accessory markup should apply. No Lightspeed match found.",,,new,NOT_FOUND,No matching product in live LS HOMESPRO catalogue.
