SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LVP-IMPR-4100,"Impressive 5.5 mm Essex 7"" — Umber",Impressive,Impressive,4100,d9456941-c28e-48f5-8b74-942a34b6232c,impvin---essex-collection---55-mm-spc-viinyl-umber---4100-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4101,"Impressive 5.5 mm Essex 7"" — Squash",Impressive,Impressive,4101,36b3173b-b09e-4824-afec-109facd70dcb,impvin---essex-collection---55-mm-spc-viinyl-squash---4101-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4102,"Impressive 5.5 mm Essex 7"" — Boardwalk",Impressive,Impressive,4102,7a6a5058-805d-4c70-8e0a-60e85999807f,impvin---essex-collection---55-mm-spc-viinyl-boardwalk---4102-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4103,"Impressive 5.5 mm Essex 7"" — Poppy",Impressive,Impressive,4103,0297353d-2237-48b0-b02a-8dea854bdc8a,impvin---essex-collection---55-mm-spc-viinyl-poppy---4103-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4104,"Impressive 5.5 mm Essex 7"" — Berry",Impressive,Impressive,4104,94b54ace-fe4a-4eb4-9c95-7406859b865d,impvin---essex-collection---55-mm-spc-viinyl-berry---4104-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4105,"Impressive 5.5 mm Essex 7"" — Eden",Impressive,Impressive,4105,6664e534-1f33-4cf2-b168-385db3570680,impvin---essex-collection---55-mm-spc-viinyl-eden---4105-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4106,"Impressive 5.5 mm Essex 7"" — Delight",Impressive,Impressive,4106,680f3abf-1249-4940-8331-5c204b9aa710,impvin---essex-collection---55-mm-spc-viinyl-delight---4106-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4107,"Impressive 5.5 mm Essex 7"" — Seawater",Impressive,Impressive,4107,874f6b58-3268-4494-98cb-5419e075742a,impvin---essex-collection---55-mm-spc-viinyl-seawater---4107-----7-x-60--15-eva---245sfb,Essex,Flooring,LVP,SPC core,,,,,7,"60""",5.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,EVA,,,,,,1.18,2.18,,,,,"Impressive: Open Skid $1.28 / Skid $1.23 / Above 3 Skids $1.18 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4200,"Impressive 6.5 mm Eterna 7"" — Grape",Impressive,Impressive,4200,8f435f82-6065-4604-b5aa-ed485bcaa194,impvin---eterna-collection---65-mm-spc-viinyl-grape---4200-----7-x-60--15-ixpe---245sfb,Eterna,Flooring,LVP,SPC core,,,,,7,"60""",6.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,IXPE,72,73,,,,1.39,2.39,,,,,"Impressive: Open Skid $1.49 / Skid $1.45 / Above 3 Skids $1.39 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
LVP-IMPR-4201,"Impressive 6.5 mm Eterna 7"" — Flower",Impressive,Impressive,4201,86aaab9b-183b-4d5d-bb5b-9e5f1926c774,impvin---eterna-collection---65-mm-spc-viinyl-flower---4201-----7-x-60--15-ixpe---245sfb,Eterna,Flooring,LVP,SPC core,,,,,7,"60""",6.5,12,,,,EIR,Click,Float,Drop Lock,TRUE,IXPE,72,73,,,,1.39,2.39,,,,,"Impressive: Open Skid $1.49 / Skid $1.45 / Above 3 Skids $1.39 (used as Cost/unit -- the best/bulk tier is already the cost, so there is no further pallet-level discount to record separately)",2026-09-11,Cowork,24.5,,50,,,TRUE,TRUE,FALSE,,,,,,,,,new
