SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,LS Match status,LS Match notes
TIL-JLTL-DN36331,Essential Collection — Dino Light — 12x24 (Polished),JL Tile,JL Tile,DN36331,b73c3bd7-482e-4860-bd45-ab8f07d70835,jlttil---porcelain-dino-light---dn36331-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Dino Light,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku DN36331
TIL-JLTL-DN60331,Essential Collection — Dino Light — 24x24 (Polished),JL Tile,JL Tile,DN60331,a439da51-a5cf-4f7d-8eea-b8df570f9958,jlttil---porcelain-dino-light---dn60331-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Dino Light,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku DN60331
TIL-JLTL-DM36341,Essential Collection — Dream White — 12x24 (Polished),JL Tile,JL Tile,DM36341,0444fa1f-7441-4177-a0d5-0196746bd410,jlttil---porcelain-dream-white---dm36341-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Dream White,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2"" Square and Hex | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku DM36341
TIL-JLTL-DM60341,Essential Collection — Dream White — 24x24 (Polished),JL Tile,JL Tile,DM60341,23147bde-35c3-409c-94fa-3e404671ad77,jlttil---porcelain-dream-white---dm60341-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Dream White,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2"" Square and Hex | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku DM60341
TIL-JLTL-AM36325,Essential Collection — Essence Grey — 12x24 (Polished),JL Tile,JL Tile,AM36325,09e85f67-f07f-49e5-a40b-166978983913,jlttil---porcelain-essence-grey---am36325-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Essence Grey,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2X2 Square and Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku AM36325
TIL-JLTL-AM60325,Essential Collection — Essence Grey — 24x24 (Polished),JL Tile,JL Tile,AM60325,b80a1829-eaa3-4bf6-addb-3209cc24ae7a,jlttil---porcelain-essence-grey---am60325-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Essence Grey,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2X2 Square and Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku AM60325
TIL-JLTL-AM48325,Essential Collection — Essence Grey — 16x32 (Polished),JL Tile,JL Tile,AM48325,3b2350eb-4442-4a60-af02-63af20c3b70f,jlttil---porcelain-essence-grey---am48325-----1632---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Essence Grey,,,16,"32""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,14.24,4,45,180,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2X2 Square and Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku AM48325
TIL-JLTL-PJQ36706,Essential Collection — Midnight Charcoal — 12x24 (Polished),JL Tile,JL Tile,PJQ36706,46601cf1-cbbd-488b-b6a9-9cef96506584,jlttil---porcelain-midnight-charcoal---pjq36706-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Midnight Charcoal,,,12,"24""",,,,,,Polished,,,,,,,,,,,3.69,5.69,,2.84,,,Your cut order price: $3.32/sf | Skid price: $2.84/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku PJQ36706
TIL-JLTL-PJQ6706,Essential Collection — Midnight Charcoal — 24x24 (Polished),JL Tile,JL Tile,PJQ6706,38d5e3d1-d83d-4f60-a5ac-c23153b65f1f,jlttil---porcelain-midnight-charcoal---pjq6706-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Midnight Charcoal,,,24,"24""",,,,,,Polished,,,,,,,,,,,3.69,5.69,,2.84,,,Your cut order price: $3.32/sf | Skid price: $2.84/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku PJQ6706
TIL-JLTL-BPCK36007,Essential Collection — Rodas Bianco — 12x24 (Polished),JL Tile,JL Tile,BPCK36007,fcb4f065-0aa8-4964-8a1c-32ffc40bdfc7,jlttil---porcelain-rodas-bianco---bpck36007-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Rodas Bianco,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,5,40,200,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | 24x24 (BPCK6007) discontinued | Matching mosaic pattern available: 2X2 Square | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK36007
