SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with
LVP-HMPR-0001,Home's Pro Milan 5.5mm SPC,Home's Pro,Home's Pro,,,,Milan,Flooring,LVP,SPC core,,,,,,,5.5,12,,,,,,Click,,TRUE,IXPE,,,,,,1.45,2.45,,,,,,2026-09-13,Cowork,23.90,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. LS: new product.,
LVP-HMPR-0002,Home's Pro Venice 6.5mm SPC,Home's Pro,Home's Pro,,,,Venice,Flooring,LVP,SPC core,,,,,,,6.5,20,,,,,,Click,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-09-13,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. Ambiguous Naming: 12 live Lightspeed SKUs share this collection name at the colour level (this sheet prices per collection). No Lightspeed ID assigned — do not auto-create in LS.,
LVP-HMPR-0003,Home's Pro Moscow 7mm SPC,Home's Pro,Home's Pro,,,,Moscow,Flooring,LVP,SPC core,,,,,,,7,20,,,,,,Click,,TRUE,IXPE,,,,,,1.88,2.88,,,,,,2026-09-13,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. Ambiguous Naming: 6 live Lightspeed SKUs share this collection name at the colour level. No Lightspeed ID assigned.,
LVP-HMPR-0004,Home's Pro Vancouver 8mm SPC,Home's Pro,Home's Pro,,,,Vancouver,Flooring,LVP,SPC core,,,,,,,8,22,,,,,,Click,,TRUE,IXPE,,,,,,1.98,2.98,,,,,,2026-09-13,Cowork,17.92,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. Sheet labels this 'LONG PLANK' format (not a Layout pattern enum value). No live Lightspeed match found under this name.,
LVP-HMPR-0005,Home's Pro Sydney 6mm SPC,Home's Pro,Home's Pro,,,,Sydney,Flooring,LVP,SPC core,,,,Herringbone,,,6,20,,,,,,Click,,TRUE,CORK,,,,,,1.98,2.98,,,,,,2026-09-13,Cowork,19.38,,,,,TRUE,TRUE,,,,,,,"No width/length dimensions printed on supplier sheet. Ambiguous Naming: 4 live Lightspeed SKUs share this collection name, and their own costs disagree with each other ($2.66/$2.76) — not internally consistent. No Lightspeed ID assigned.",
LVT-HMPR-0001,Home's Pro Holland 3mm LVT,Home's Pro,Home's Pro,,,,Holland,Flooring,LVT,SPC core,,,,,,,3,20,,,,,,Glue down,,,,,,,,,1.25,2.25,,,,,,2026-09-13,Cowork,34.58,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. LS: new product.,
LVT-HMPR-0002,Home's Pro Seoul 5mm LVT,Home's Pro,Home's Pro,,,,Seoul,Flooring,LVT,SPC core,,,,,,,5,20,,,,,,Glue down,,,,,,,,,1.78,2.78,,,,,,2026-09-13,Cowork,19.76,,,,,TRUE,TRUE,,,,,,,"No width/length dimensions printed on supplier sheet. Ambiguous Naming: a live Lightspeed 'Seoul' product exists under Home's Pro, but its install method is Looselay, conflicting with this sheet's Glue Down. Not the same product as the live SKU — do not match. No Lightspeed ID assigned.",
LAM-HMPR-0001,Home's Pro Tuscany 12mm Laminate,Home's Pro,Home's Pro,,,,Tuscany,Flooring,Laminate,,,,,,,,12,,,,AC4,,,Click,,,,,,,,,1.65,2.65,,,,,,2026-09-13,Cowork,19.20,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. Sheet markets this as '72-Hour Waterproof' AC4 laminate. LS: new product.,
ACC-HMPR-0001,Home's Pro - Sundry | Underlay | 3mm STC76 IIC77,Home's Pro,Home's Pro,,,,Accessories,Underpad,,,,,,,,,3,,,,,,,,,,,77,76,,,,13.0,14.0,,,,,,2026-09-13,Cowork,100,,,,,TRUE,,,,,,,,"Sold by the roll (100 sq ft/roll) — Cost/unit and Retail price/unit are per-roll, not per-sf; Box size (sf) reflects roll coverage. LS: new product.",
ACC-HMPR-0002,Home's Pro - Sundry | Floor Protection | 3.28ft x 49ft,Home's Pro,Home's Pro,,,,Accessories,Underpad,,,,,,,,,,,,,,,,,,,,,,,,,17.5,18.5,,,,,,2026-09-13,Cowork,161,,,,,TRUE,,,,,,,,"Sold by the roll (161 sq ft/roll) — Cost/unit and Retail price/unit are per-roll, not per-sf; Box size (sf) reflects roll coverage. LS: new product.",
ACC-HMPR-0003,Home's Pro - Transition | T-Moulding | SPC,Home's Pro,Home's Pro,,,,Accessories,Moulding,LVP,,,,,,,,,,,,,,,,,,,,,,,,19.5,20.5,,,,,,2026-09-13,Cowork,,,,,,TRUE,,,,,,,,"Priced per piece. No dimensions printed on supplier sheet. Sold universally across Home's Pro's SPC and laminate lines (identical price on both sections of the sheet) — Category 'LVP' assigned as the majority case, flagged rather than silently decided (Unmapped Category). Not offered with the glue-down vinyl lines. LS: new product.",
ACC-HMPR-0004,Home's Pro - Transition | Stair Nosing | SPC,Home's Pro,Home's Pro,,,,Accessories,Moulding,LVP,,,,,,,,,,,,,,,,,,,,,,,,24.5,25.5,,,,,,2026-09-13,Cowork,,,,,,TRUE,,,,,,,,"Priced per piece. No dimensions printed on supplier sheet. Sold universally across Home's Pro's SPC and laminate lines (identical price on both sections of the sheet) — Category 'LVP' assigned as the majority case, flagged rather than silently decided (Unmapped Category). Not offered with the glue-down vinyl lines. LS: new product.",
ACC-HMPR-0005,Home's Pro - Transition | Reducer | SPC,Home's Pro,Home's Pro,,,,Accessories,Moulding,LVP,,,,,,,,,,,,,,,,,,,,,,,,19.5,20.5,,,,,,2026-09-13,Cowork,,,,,,TRUE,,,,,,,,"Priced per piece. No dimensions printed on supplier sheet. Sold universally across Home's Pro's SPC and laminate lines (identical price on both sections of the sheet) — Category 'LVP' assigned as the majority case, flagged rather than silently decided (Unmapped Category). Not offered with the glue-down vinyl lines. LS: new product.",
