supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used
IMPRESSIVE,,(entire file — 220 rows),extract,new_supplier,wrote_flagged,"Zero existing Airtable rows for IMPRESSIVE before this run. Every detail on every row is unreconciled against a live record — spec confidence is unearned even though 156 of 220 rows matched an existing live Lightspeed SKU (169 live IMPRESSIVE products observed) and carry that product's real ID/handle verbatim. Cost basis is CONFIRMED (bert-airtable-schema, 2026-09-12): 'Above 3 Skids' bulk tier throughout the volume-tiered vinyl sections, the single printed PRICE where no tier exists (laminate, engineered hardwood, solid hardwood), 'Above 2 Skids' on the page-8 promo section (treated as an ordinary 2-tier cost sheet per that subsection, not a Promo — no separate regular price or expiry printed). The one thing NOT yet confirmed by Albert: the internal SKU/handle prefix, proposed here as 'IMPR' (same 4-letter-supplier-code pattern as HMPR/JLTI) and Airtable Supplier value 'Impressive' (mixed case, following the supplier_aliases convention) — neither has a live precedent to confirm against since Airtable has zero rows for this supplier. 64 rows are new to Lightspeed too: 8.5mm SPC vinyl, both gluedown vinyl lines, the Platinum 7.5""/9"" laminate line, the 6"" Hickory engineered line, the Engineered Prefinished promo line, and 3 hardwood transition trims (no live LS code for those — sequential ACC-IMPR-0001..0003 minted, unlike the vinyl/laminate trims which reused their real live LS codes IMP.V.*/IMP.LM.*).",,1,,
IMPRESSIVE,ACC-IMPR-0001,IMPR - Hardwood trims — Nosing,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-8f4fd194d01b,,,
IMPRESSIVE,ACC-IMPR-0002,IMPR - Hardwood trims — Reducer,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-14a5ec9f7619,,,
IMPRESSIVE,ACC-IMPR-0003,IMPR - Hardwood trims — T Mold,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-fc4d1451e5d7,,,
IMPRESSIVE,ENG-IMPR-4800,IMPR - Oriental Collection — Glamour - 20.00sf/b,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-86cccfcee8d2,,,
IMPRESSIVE,ENG-IMPR-4801,IMPR - Oriental Collection — Bonoco - 20.00sf/b,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-6a7cf9be371e,,,
IMPRESSIVE,ENG-IMPR-4802,IMPR - Oriental Collection — Brook Lynn - 20.00sf/b,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-dc87a4319217,,,
IMPRESSIVE,ENG-IMPR-4803,IMPR - Oriental Collection — Cactus - 20.00sf/b,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-b26260ce6a27,,,
IMPRESSIVE,ENG-IMPR-4804,IMPR - Oriental Collection — Ashbrook - 20.00sf/b,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-c304c1e95d84,,,
IMPRESSIVE,ENG-IMPR-4805,IMPR - Oriental Collection — Stanbrook - 20.00sf/b,sync,brand_missing,held,"Lightspeed create needs Brand 'Impressive', which has no live Lightspeed brand entity (confirmed via the live /api/2.0/brands list during this run). lightspeed_push.py refused rather than create one -- brand creation is a person's decision. This also holds the row's Airtable side: forced_downstream_order means Airtable cannot backfill a Lightspeed ID that was never minted.",cat-e872f17461c0,,,
