page_id,content_name,status_before,link_to_files_before
2d3596a4-505f-80e0-b8bd-e53c0614dce6,1060 Britannia,Filming,https://drive.google.com/folder/d/1JlDMujVWF8YnY5jmyaEjO7PFnMDJ65Gj
3a5596a4-505f-8097-9801-dc838232950d,Coffee Table,Filming,https://drive.google.com/folder/d/1hlPUmdI2OTyW7x8lNjQT1XQ4s2JlK3TJ
396596a4-505f-8035-a4ed-df8e9df526b4,Cyril Milton (Before After),Filming,https://drive.google.com/folder/d/1nvfpNk1oAh8wMoKJj_nIa5ESZKFCTH6d
396596a4-505f-804d-8d7c-d083dd92b046,Cyril Oakville,Filming,https://drive.google.com/folder/d/1a1n1nXms8MouxIk-yo4BsD-I6IKskLjo
396596a4-505f-800e-8643-c89933e45cc2,Deanna Draffin,Filming,https://drive.google.com/folder/d/1TiWAEDcAO_sJ719EfKQLWr7Y7nLDmASz
3a5596a4-505f-8098-969c-cc2bd24104b2,Front Desk Sign,Filming,https://drive.google.com/folder/d/1UeH_4B3UOOXvYISq_KYEtGlyDMOtRC-R
393596a4-505f-80fe-8518-dd99da8d7b45,Helen Artiga,Filming,https://drive.google.com/folder/d/1BsqHWYaPxNEQ27w6_j6rMLJvhzIIqBOq
38c596a4-505f-80d4-8220-c4b6446f420f,International Home Show,Filming,https://drive.google.com/folder/d/10rd_xy7uWpVYqLsQd7FlY3p1ZgrmOUCz
38c596a4-505f-8024-8590-fa29a87e9179,Interview,Filming,https://drive.google.com/folder/d/1CvFCXmcWpTEsdhfbiKQah1JvluBuXYGT
396596a4-505f-80a1-af96-f84dc999150f,Interview with Anna,Filming,https://drive.google.com/folder/d/10sIrYVfIrzihhg-4SWpuTIjsgU4eLw47
35b596a4-505f-80f6-b7d8-df1c03f082db,Interview with Ararat,Planning,https://drive.google.com/folder/d/15N-EXP0VHnq9Kog9b7mGOLH51S9pddUH
396596a4-505f-800d-8fc0-fa10b8a62d73,Interview with Gus,Filming,https://drive.google.com/folder/d/1iq2BEC8_yY-i-T9ttHTxuXJUS9bt0XN7
396596a4-505f-80e9-a0b5-ee356b9fc2d3,Interview with Jason Wong,Filming,https://drive.google.com/folder/d/1oEXgs_tJsGqPHPUlbBTDeoIy1Ko3f0Me
396596a4-505f-80ae-aa2e-e5f16996e7cf,Interview with Julien,Filming,https://drive.google.com/folder/d/1MJ__0srV8BH7snIjtf6gT5MkBGNbvF42
396596a4-505f-8002-a7fa-ee0d91f89ec0,Interview with Mario,Filming,https://drive.google.com/folder/d/1US_4LhHoDbmVCPardvxKDpuM6Yh5S0Bw
396596a4-505f-8099-9170-ed23fee3ea65,Interview with Nicholas,Filming,https://drive.google.com/folder/d/1P7o-AbPjrLxVCstWDdOwRW5BaWPm7Cq5
396596a4-505f-8096-9485-cf35253a886d,Interview with Nigel,Filming,https://drive.google.com/folder/d/1C55TZoLJCdpOYycjgiTnTUTeehmpNDuI
396596a4-505f-8043-90d4-c881744c4910,Interview with Sharron,Filming,https://drive.google.com/folder/d/10Iz2th5Nc3ZoRzY1aDszyb6fjeKqlDrz
