SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LAM-FAWK-0004,"NAF 12mm Handscraped Laminate 7.71"" — Aphrodite",NAF,Floors At Work,,6da0ce1d-77e7-4dee-9166-dbc9c46b9635,LAM771LAMAPHRODITE,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,1.09,2026-09-30,,,,20.5,,,,,,,,,,,,,,,recqyWZjYW78GDJUo,matched
LAM-FAWK-0005,"NAF 12mm Handscraped Laminate 7.71"" — Apollo",NAF,Floors At Work,,9c2c5430-342a-48e5-adda-c21ec3baa8bd,LAM771LAMAPOLLO,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,1.09,2026-09-30,,,,20.5,,,,,,,,,,,,,,,recdoaQEcy3OzmdFv,matched
LAM-FAWK-0006,"NAF 12mm Handscraped Laminate 7.71"" — Artemis",NAF,Floors At Work,,deb9a104-c0be-45ad-9e4b-40d7a7d518cc,LAM771LAMARTEMIS,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,1.09,2026-09-30,,,,20.5,,,,,,,,,,,,,,,recdqlFgakMIQ55Wr,matched
LAM-FAWK-0007,"NAF 12mm Handscraped Laminate 7.71"" — Poseidon",NAF,Floors At Work,,cf9732f5-7ab2-434c-9489-613ad460bb1e,LAM771LAMPOSEIDON,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,1.09,2026-09-30,,,,20.5,,,,,,,,,,,,,,,recuZ6OofVooraky2,matched
LAM-FAWK-0008,"NAF 12mm Handscraped Laminate 7.71"" — Zeus",NAF,Floors At Work,,5d524d7f-7373-4225-a01f-6ff72a36e2a7,LAM771LAMZEUS,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,1.09,2026-09-30,,,,20.5,,,,,,,,,,,,,,,recPVqfcVAebsn6gk,matched
LAM-FAWK-0017,"NAF 12mm Waterproof Laminate Plus 9.29"" — Aurora",NAF,Floors At Work,,122c73c0-d58d-41f7-a8ae-5f0c2a621117,LAM929LAMAURORA,Waterproof Laminate Plus,,,,,,,,9.29,,12,,,,,,,,,,,,,,,,1.89,2.89,,,1.59,2026-09-30,,,,19.27,,,,,,,,,,,,,,,rec4JCtFOiAWFfKqW,matched
LAM-FAWK-0020,"NAF 12mm Waterproof Laminate Plus 9.29"" — Equinox",NAF,Floors At Work,,0c3cd13c-9ad9-4f7a-b691-4350508dfb25,LAM929LAMEQUINOX,Waterproof Laminate Plus,,,,,,,,9.29,,12,,,,,,,,,,,,,,,,1.89,2.89,,,1.59,2026-09-30,,,,19.27,,,,,,,,,,,,,,,recLMn68ujdDAB31u,matched
LAM-FAWK-0022,"NAF 12mm Waterproof Laminate Plus 9.29"" — Halo",NAF,Floors At Work,,108e2627-f1a6-48a8-a20c-d2a739a7a0c4,LAM929LAMHALO,Waterproof Laminate Plus,,,,,,,,9.29,,12,,,,,,,,,,,,,,,,1.89,2.89,,,1.59,2026-09-30,,,,19.27,,,,,,,,,,,,,,,recQn1bXhRL9gANaO,matched
LVP-FAWK-0073,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Ellisdon",NAF,Floors At Work,,fbdabe02-fc6a-41bd-9850-b2490822a706,LVP736VNYELLISDON,Aqua Commercial,,,,,,,,7.36,,3,,,,,,,,,,,,,,,,1.49,2.49,,,0.99,2026-09-30,,,,34.58,,,,,,,,,,,,,,,reckFJHStVtZBMoLs,matched
LVP-FAWK-0071,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Landmark",NAF,Floors At Work,,ef8f9235-703a-4c05-8996-f22fe41dc66d,LVP736VNYLANDMARK,Aqua Commercial,,,,,,,,7.36,,3,,,,,,,,,,,,,,,,1.49,2.49,,,1.29,2026-09-30,,,,34.58,,,,,,,,,,,,,,,recUJhDj4YoFdfi6V,matched
