SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LAM-FAWK-0004,"NAF 12mm Handscraped Laminate 7.71"" — Aphrodite",NAF,Floors At Work,,6da0ce1d-77e7-4dee-9166-dbc9c46b9635,LAM771LAMAPHRODITE,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,,,,,,20.5,,,,,,,,,,,,,,,recqyWZjYW78GDJUo,matched
LAM-FAWK-0005,"NAF 12mm Handscraped Laminate 7.71"" — Apollo",NAF,Floors At Work,,9c2c5430-342a-48e5-adda-c21ec3baa8bd,LAM771LAMAPOLLO,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,,,,,,20.5,,,,,,,,,,,,,,,recdoaQEcy3OzmdFv,matched
LAM-FAWK-0006,"NAF 12mm Handscraped Laminate 7.71"" — Artemis",NAF,Floors At Work,,deb9a104-c0be-45ad-9e4b-40d7a7d518cc,LAM771LAMARTEMIS,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,,,,,,20.5,,,,,,,,,,,,,,,recdqlFgakMIQ55Wr,matched
LAM-FAWK-0007,"NAF 12mm Handscraped Laminate 7.71"" — Poseidon",NAF,Floors At Work,,cf9732f5-7ab2-434c-9489-613ad460bb1e,LAM771LAMPOSEIDON,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,,,,,,20.5,,,,,,,,,,,,,,,recuZ6OofVooraky2,matched
LAM-FAWK-0008,"NAF 12mm Handscraped Laminate 7.71"" — Zeus",NAF,Floors At Work,,5d524d7f-7373-4225-a01f-6ff72a36e2a7,LAM771LAMZEUS,Handscraped Laminates (Drop Clic),,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.39,2.39,,,,,,,,20.5,,,,,,,,,,,,,,,recPVqfcVAebsn6gk,matched
LAM-FAWK-0009,"NAF 12mm Waterproof Laminate 7.71"" — Harrison",NAF,Floors At Work,,63df450f-cd09-426f-abc3-9fd72c84319e,LAM771LAMHARRISON,Waterproof Laminate,,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.59,2.59,,,,,,,,20.5,,,,,,,,,,,,,,,recVIPL7ZeDJ7hTJ3,matched
LAM-FAWK-0010,"NAF 12mm Waterproof Laminate 7.71"" — Molson",NAF,Floors At Work,,59979897-2f3d-40d5-83b2-1d15720a97dc,LAM771LAMMOLSON,Waterproof Laminate,,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.59,2.59,,,,,,,,20.5,,,,,,,,,,,,,,,recy4SIRS4ShjCZ6S,matched
LAM-FAWK-0011,"NAF 12mm Waterproof Laminate 7.71"" — Ontario",NAF,Floors At Work,,fa9d78bb-86ed-4338-beb1-5795f0cce8e7,LAM771LAMONTARIO,Waterproof Laminate,,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.59,2.59,,,,,,,,20.5,,,,,,,,,,,,,,,recGUyA4IU23MXD9V,matched
LAM-FAWK-0012,"NAF 12mm Waterproof Laminate 7.71"" — Rainbow",NAF,Floors At Work,,9b7813f4-7983-48ac-9259-24d8f84e2588,LAM771LAMRAINBOW,Waterproof Laminate,,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.59,2.59,,,,,,,,20.5,,,,,,,,,,,,,,,recuYtv3IUYfP9eoG,matched
LAM-FAWK-0014,"NAF 12mm Waterproof Laminate 7.71"" — Superior",NAF,Floors At Work,,292abe1e-fa8a-4e41-8c73-44f1dc7e1cab,LAM771LAMSUPERIOR,Waterproof Laminate,,,,,,,,7.71,,12,,,,,,,,,,,,,,,,1.59,2.59,,,,,,,,20.5,,,,,,,,,,,,,,,rec9X7KXV8COFN1Lt,matched
LAM-FAWK-0015,"NAF 12mm Waterproof Laminate Plus 9.29"" — Ariel",NAF,Floors At Work,,a322c558-dd9f-459d-becc-4fec62ee1185,LAM929LAMARIEL,Waterproof Laminate Plus,,,,,,,,9.29,,12,,,,,,,,,,,,,,,,1.99,2.99,,,,,,,,19.27,,,,,,,,,,,,,,,rec93ElKF9mXZGSoB,matched
