id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,loyalty_value_default,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga_Outlet,inventory_Mississauga_Outlet,reorder_point_Mississauga_Outlet,reorder_quantity_Mississauga_Outlet,min_quantity_Mississauga_Outlet,max_quantity_Mississauga_Outlet
6da0ce1d-77e7-4dee-9166-dbc9c46b9635,LAM771LAMAPHRODITE,LAM-FAWK-0004,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Aphrodite) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.39,2.39,,,,,NAF,FAW,,1,1,Default Tax,,,,,
9c2c5430-342a-48e5-adda-c21ec3baa8bd,LAM771LAMAPOLLO,LAM-FAWK-0005,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Apollo) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.39,2.39,,,,,NAF,FAW,,1,1,Default Tax,,,,,
deb9a104-c0be-45ad-9e4b-40d7a7d518cc,LAM771LAMARTEMIS,LAM-FAWK-0006,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Artemis) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.39,2.39,,,,,NAF,FAW,,1,1,Default Tax,,,,,
cf9732f5-7ab2-434c-9489-613ad460bb1e,LAM771LAMPOSEIDON,LAM-FAWK-0007,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Poseidon) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.39,2.39,,,,,NAF,FAW,,1,1,Default Tax,,,,,
5d524d7f-7373-4225-a01f-6ff72a36e2a7,LAM771LAMZEUS,LAM-FAWK-0008,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Zeus) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.39,2.39,,,,,NAF,FAW,,1,1,Default Tax,,,,,
63df450f-cd09-426f-abc3-9fd72c84319e,LAM771LAMHARRISON,LAM-FAWK-0009,,,,"NAFLAM - Waterproof Laminate (Harrison) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.59,2.59,,,,,NAF,FAW,,1,1,Default Tax,,,,,
59979897-2f3d-40d5-83b2-1d15720a97dc,LAM771LAMMOLSON,LAM-FAWK-0010,,,,"NAFLAM - Waterproof Laminate (Molson) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.59,2.59,,,,,NAF,FAW,,1,1,Default Tax,,,,,
fa9d78bb-86ed-4338-beb1-5795f0cce8e7,LAM771LAMONTARIO,LAM-FAWK-0011,,,,"NAFLAM - Waterproof Laminate (Ontario) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.59,2.59,,,,,NAF,FAW,,1,1,Default Tax,,,,,
9b7813f4-7983-48ac-9259-24d8f84e2588,LAM771LAMRAINBOW,LAM-FAWK-0012,,,,"NAFLAM - Waterproof Laminate (Rainbow) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.59,2.59,,,,,NAF,FAW,,1,1,Default Tax,,,,,
292abe1e-fa8a-4e41-8c73-44f1dc7e1cab,LAM771LAMSUPERIOR,LAM-FAWK-0014,,,,"NAFLAM - Waterproof Laminate (Superior) | 7.71"" x 12mm x RL - 20.50sf/b",Box size (sf): 20.50,FLOORING / LAMINATE,,,,,,,,1.59,2.59,,,,,NAF,FAW,,1,1,Default Tax,,,,,
a322c558-dd9f-459d-becc-4fec62ee1185,LAM929LAMARIEL,LAM-FAWK-0015,,,,"NAFLAM - Waterproof Laminate Plus (Ariel) | 9.29"" x 12mm x RL - 19.27sf/b",Box size (sf): 19.27,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,NAF,FAW,,1,1,Default Tax,,,,,
a5b0ffb5-050a-4a85-a1ea-989d45484ea2,LAM929LAMASTRA,LAM-FAWK-0016,,,,"NAFLAM - Waterproof Laminate Plus (Astra) | 9.29"" x 12mm x RL - 19.27sf/b",Box size (sf): 19.27,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,NAF,FAW,,1,1,Default Tax,,,,,
122c73c0-d58d-41f7-a8ae-5f0c2a621117,LAM929LAMAURORA,LAM-FAWK-0017,,,,"NAFLAM - Waterproof Laminate Plus (Aurora) | 9.29"" x 12mm x RL - 19.27sf/b",Box size (sf): 19.27,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,NAF,FAW,,1,1,Default Tax,,,,,
029d5aa7-0a01-46d6-8abb-70c0269f3cb6,LAM929LAMBIANCA,LAM-FAWK-0018,,,,"NAFLAM - Waterproof Laminate Plus (Bianca) | 9.29"" x 12mm x RL - 19.27sf/b",Box size (sf): 19.27,FLOORING / LAMINATE,,,,,,,,1.99,2.99,,,,,NAF,FAW,,1,1,Default Tax,,,,,
