supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used
Floors At Work,,Aqua Commercial 3mm dry-back group,extract,ambiguous_naming,held,"PL-317 carries a dry-back row priced $1.49 pallet / $1.69 box whose description cell came back EMPTY from the table parse, so its colour list could not be attributed. 12 Aqua Commercial records (LVP-FAWK-0071, LVP-FAWK-0072, LVP-FAWK-0073, LVP-FAWK-0074, LVP-FAWK-0075, LVP-FAWK-0076...) are therefore NOT covered by this upload. Their stored Cost/unit is already 1.49, matching that pallet price, so no row is believed wrong — but the group was not verified line by line.",,,Pallet Price / sf,1.49
Floors At Work,ACC-FAWK-0010,"NAF Oak Riser 8"" x 48""",extract,spec_gap,wrote_flagged,"Cost/unit written as 3.99 per-piece from PL-317 (first time this record has had a cost). Retail left BLANK: stored cost and retail were both empty so there is no existing markup to preserve, and the FAW subsection leaves hardwood-stair retail markup unset.",,197,Price/ PC,3.99
Floors At Work,LVP-FAWK-0084,NAF 10mm Aquawood WPC — Danube,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,178,,
Floors At Work,LVP-FAWK-0085,NAF 10mm Aquawood WPC — Hudson,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,179,,
Floors At Work,LVP-FAWK-0086,NAF 5mm Aqualuuuz 187 — Amsterdam,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,180,,
Floors At Work,LVP-FAWK-0087,NAF 5mm Aqualuuuz 187 — Batavia,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,181,,
Floors At Work,LVP-FAWK-0088,NAF 5mm Aqualuuuz 187 — Catalan,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,182,,
Floors At Work,LVP-FAWK-0089,NAF 5mm Aqualuuuz 187 — NYC,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,183,,
Floors At Work,LVP-FAWK-0090,NAF 5mm Aqualuuuz 187 — Paris,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,184,,
Floors At Work,LVP-FAWK-0091,NAF 5mm Aqualuuuz 187 — Peking,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width.",,185,,
Floors At Work,LVP-FAWK-0092,NAF 5mm Aqualuuuz coming soon — Athens,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width. Listed as 'Coming Soon'; record created Active per the FAW rule.",,186,,
Floors At Work,LVP-FAWK-0093,NAF 5mm Aqualuuuz coming soon — Izmir,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width. Listed as 'Coming Soon'; record created Active per the FAW rule.",,188,,
Floors At Work,LVP-FAWK-0094,NAF 5mm Aqualuuuz coming soon — Lucerne,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width. Listed as 'Coming Soon'; record created Active per the FAW rule.",,189,,
Floors At Work,LVP-FAWK-0095,NAF 5mm Aqualuuuz coming soon — Saigon,extract,spec_gap,wrote_flagged,"New colourway. PL-317 states no S.F. per box for this group, so Box size (sf) is blank. Not inferred from the 7.25"" Aqualuuuz siblings (19.32) — different width. Listed as 'Coming Soon'; record created Active per the FAW rule.",,187,,
