supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used
Floors At Work,ENG-FAWK-0001,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Bronze",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0002,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Coffee",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0003,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Grey Stone",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0004,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Pure Natural",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0005,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Cafehouse",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0006,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Downtown Grey",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0007,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Meyerside",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0008,"NAF Engineered Hickory 6.5"" (Wirebrushed & Distressed) — Millstone",extract,ambiguous_naming,wrote_flagged,"Matched by spec (width 6.5"", box 19.18 sf, 48 boxes/skid) to the Hickory 6.5"" Distressed Grade sub-group. Source PDF row shows a blank colour cell for this whole sub-group (extraction quirk, cross-checked figures only) -- applied to all 8 colours sharing this exact spec. Confirm colour-level pricing with FAW rep if any single colour should differ.",,5,,
Floors At Work,ENG-FAWK-0010,"NAF Engineered Hickory 7.5"" (Wirebrushed) — Aged Barrel",extract,ambiguous_naming,wrote_flagged,"Source row labelled 'NEW! ... T&G (2mm Veneer)' at the same box/pallet spec (23.31 sf / 40) as the existing 10-SKU Hickory 7.5"" Wirebrushed group. Treated as a price update + veneer-spec enrichment to that group rather than a new product, since box/pallet match exactly. Veneer / top layer (mm) populated (previously blank). Confirm this is not actually a distinct new line before relying on it.",,7,,
Floors At Work,ENG-FAWK-0011,"NAF Engineered Hickory 7.5"" (Wirebrushed) — Cacao",extract,ambiguous_naming,wrote_flagged,"Source row labelled 'NEW! ... T&G (2mm Veneer)' at the same box/pallet spec (23.31 sf / 40) as the existing 10-SKU Hickory 7.5"" Wirebrushed group. Treated as a price update + veneer-spec enrichment to that group rather than a new product, since box/pallet match exactly. Veneer / top layer (mm) populated (previously blank). Confirm this is not actually a distinct new line before relying on it.",,7,,
