SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
TIL-JLTI-DN36331,Essential Collection — Dino Light — 12 x 24 (Polished),JL Tile,JL TILE,DN36331,b73c3bd7-482e-4860-bd45-ab8f07d70835,jlttil---porcelain-dino-light---dn36331-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,8,,,,TRUE,,,,,,,,Strips,,recAegIhyWGApWeet,matched
TIL-JLTI-DN60331,Essential Collection — Dino Light — 24 x 24 (Polished),JL Tile,JL TILE,DN60331,a439da51-a5cf-4f7d-8eea-b8df570f9958,jlttil---porcelain-dino-light---dn60331-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,4,,,,TRUE,,,,,,,,,,recQ0qGaZee9QXiUD,matched
TIL-JLTI-DM36341,Essential Collection — Dream White — 12 x 24 (Polished),JL Tile,JL TILE,DM36341,0444fa1f-7441-4177-a0d5-0196746bd410,jlttil---porcelain-dream-white---dm36341-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,8,,,,TRUE,,,,,,,,"2"" Square and Hex",,reccMhhTzKv0HSidl,matched
TIL-JLTI-DM60341,Essential Collection — Dream White — 24 x 24 (Polished),JL Tile,JL TILE,DM60341,23147bde-35c3-409c-94fa-3e404671ad77,jlttil---porcelain-dream-white---dm60341-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,4,,,,TRUE,,,,,,,,,,rec48fjmnK8NXgSMd,matched
TIL-JLTI-AM36325,Essential Collection — Essence Grey — 12 x 24 (Polished),JL Tile,JL TILE,AM36325,09e85f67-f07f-49e5-a40b-166978983913,jlttil---porcelain-essence-grey---am36325-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,8,,,,TRUE,,,,,,,,2X2 Square and Strips,,recd7uHBGpQREc0fU,matched
TIL-JLTI-AM60325,Essential Collection — Essence Grey — 24 x 24 (Polished),JL Tile,JL TILE,AM60325,b80a1829-eaa3-4bf6-addb-3209cc24ae7a,jlttil---porcelain-essence-grey---am60325-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,4,,,,TRUE,,,,,,,,,,recygCjVnQZkaUcbL,matched
TIL-JLTI-AM48325,Essential Collection — Essence Grey — 16 x 32 (Polished),JL Tile,JL TILE,AM48325,3b2350eb-4442-4a60-af02-63af20c3b70f,jlttil---porcelain-essence-grey---am48325-----1632---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,16,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,14.24,4,,,,TRUE,,,,,,,,,,recZAHEWj2SCEo1Os,matched
TIL-JLTI-PJQ36706,Essential Collection — Midnight Charcoal — 12 x 24 (Polished),JL Tile,JL TILE,PJQ36706,46601cf1-cbbd-488b-b6a9-9cef96506584,jlttil---porcelain-midnight-charcoal---pjq36706-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,3.50,5.50,,,,,Regular dealer Price (reference tier): $3.89/sf,2026-09-11,Cowork,16,8,,,,TRUE,,,,,,,,,,recPKJcgnosCns2UN,matched
TIL-JLTI-PJQ6706,Essential Collection — Midnight Charcoal — 24 x 24 (Polished),JL Tile,JL TILE,PJQ6706,38d5e3d1-d83d-4f60-a5ac-c23153b65f1f,jlttil---porcelain-midnight-charcoal---pjq6706-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,3.50,5.50,,,,,Regular dealer Price (reference tier): $3.89/sf,2026-09-11,Cowork,16,4,,,,TRUE,,,,,,,,,,recUGvYteMCcxdhKx,matched
TIL-JLTI-BPCK36007,Essential Collection — Rodas Bianco — 12 x 24 (Polished),JL Tile,JL TILE,BPCK36007,fcb4f065-0aa8-4964-8a1c-32ffc40bdfc7,jlttil---porcelain-rodas-bianco---bpck36007-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,5,,,,TRUE,,,,,,,,2X2 Square,,recCpHuVsPTkWGzqm,matched
TIL-JLTI-BPCK6007,Essential Collection — Rodas Bianco — 24 x 24 (Polished),JL Tile,JL TILE,BPCK6007,d7c90763-0343-4a6c-846f-4f2852e369b8,jlttil---porcelain-rodas-bianco---bpck6007-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,,,,,,,,2026-09-11,Cowork,16,4,,,Discontinued,,,,,,,,,DISCONTINUED — no price printed.,,recicuVEL6CkBQQhW,matched
TIL-JLTI-BPCK36008,Essential Collection — Utica Snow — 12 x 24 (Polished),JL Tile,JL TILE,BPCK36008,b5e3b47d-5591-469a-8837-623aa57bc913,jlttil---porcelain-utica-snow---bpck36008-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,8,,,,TRUE,,,,,,,,2X2 Square and Strips,,recuL2iE84xWWm5Ol,matched
TIL-JLTI-BPCK6008,Essential Collection — Utica Snow — 24 x 24 (Polished),JL Tile,JL TILE,BPCK6008,69d50929-06d5-472a-99f2-c59fed7b581b,jlttil---porcelain-utica-snow---bpck6008-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,4,,,,TRUE,,,,,,,,,,recTKnkanKTBcrMQH,matched
TIL-JLTI-RD36320,Essential Collection — Royal Dianna Silver — 12 x 24 (Polished),JL Tile,JL TILE,RD36320,4352ba55-fe86-4ee1-abcf-6f924639e389,jlttil---porcelain-royal-dianna-silver---rd36320-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,8,,,,TRUE,,,,,,,,,,rec9hrFob3HyNiPfY,matched
TIL-JLTI-RD60320,Essential Collection — Royal Dianna Silver — 24 x 24 (Polished),JL Tile,JL TILE,RD60320,1d46e1ab-0e26-43c4-80e3-5580c25660ac,jlttil---porcelain-royal-dianna-silver---rd60320-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,2.18,4.18,,,,,Regular dealer Price (reference tier): $2.42/sf,2026-09-11,Cowork,16,4,,,,TRUE,,,,,,,,,,reczZXCwGN94IHl4D,matched
TIL-JLTI-36P00B,Essential Collection — Super Pure White (full body) — 12 x 24 (Polished),JL Tile,JL TILE,36P00B,ff5f351a-95b6-4212-8719-c09c05481cbd,jlttil---porcelain-super-pure-white---36p00b-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12,,,,,,,Polished,,,,,,,,,,,,,,,,,,2026-09-11,Cowork,16,8,,,Discontinued,,,,,,,,,N/A; DISCONTINUED — no price printed.,,recfIxm4WozMYHPXj,matched
TIL-JLTI-60P00B,Essential Collection — Super Pure White (full body) — 24 x 24 (Polished),JL Tile,JL TILE,60P00B,6c2c713d-3b46-4d57-a93e-38ccdb7834d5,jlttil---porcelain-super-pure-white---60p00b-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,24,,,,,,,Polished,,,,,,,,,,,,,,,,,,2026-09-11,Cowork,16,4,,,Discontinued,,,,,,,,,DISCONTINUED — no price printed.,,recKExbwid4e2ffqY,matched
TIL-JLTI-SP36P00T,Essential Collection — Pure White — 12 x 24 (Polished),JL Tile,JL TILE,SP36P00T,561771fe-a260-44ce-8e49-8dc85b5ef030,jlttil---essential---porcelain-pure-white---sp36poot-----12-x-24---8pcb---16sfb,Essential Collection,Flooring,Tile / Stone,Porcelain,,,,,12.0,,,,,,,Polished,,,,FALSE,,,,,,,2.70,4.70,,,,,Regular dealer Price (reference tier): $3.00/sf,2026-09-11,Cowork,16,8,,,,TRUE,,,,,,,,N/A,,,new
