SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
HD-001,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Timeless Manor Oak",,BALTIC HOMES,HD-001,3c02ac11-85de-4c61-b120-276806d42310,nature-eng-hardwood-timelesss-manor-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-001, 18/2 mm x190mm x1900mm'.",,rec9fLXFsZI9tZInu,matched
HD-002,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Rustic Charm Oak",,BALTIC HOMES,HD-002,dbb71ffb-0898-413f-8d5b-6566d995854b,nature-eng-hardwood-rustic-charm-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-002, 18/2 mm x190mm x1900mm'.",,recRI1PAjITA67MGS,matched
HD-003,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Amber Grain Oak",,BALTIC HOMES,HD-003,7d5da25a-10af-437e-887f-438eb39f0e02,nature-eng-hardwood-amber-grain-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-003, 18/2 mm x190mm x1900mm'.",,recs917hSGREqqz8g,matched
HD-004,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Nordic Serenity Oak",,BALTIC HOMES,HD-004,b670aed2-0214-4476-aace-5daeebbfe3f2,nature-eng-hardwood-nordic-serenity-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-004, 18/2 mm x190mm x1900mm'.",,recbyWVXcUkh57zI7,matched
HD-005,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Elysian Oak",,BALTIC HOMES,HD-005,edb7f910-72da-4936-a7fd-86899390dca4,nature-eng-hardwood-elysian-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.92,4.92,,,,,"Tier 1 Price $3.49/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-005, 18/2 mm x190mm x1900mm'.",,,new
HD-006,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Harbor Breeze Oak",,BALTIC HOMES,HD-006,b0253535-7653-4660-a34b-f5f4003290ec,nature-eng-hardwood-harbor-breeze-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-006, 18/2 mm x190mm x1900mm'.",,recODPKjJQznPke5K,matched
HD-007,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Nature's Essence Oak",,BALTIC HOMES,HD-007,3669d2e3-2fed-4133-a734-2b660c6bd698,nature-eng-hardwood-natures-essence-oak--7-12-x-34-x-75nature-eng-hardwood-elysian-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfboxg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-007, 18/2 mm x190mm x1900mm'.",,rec0A29apm7eRziG7,matched
HD-008,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Sun Kissed Oak",,BALTIC HOMES,HD-008,8621c5f8-d83c-4a71-9567-721fce08dfe3,nature-eng-hardwood-sun-kissed-oak-7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-008, 18/2 mm x190mm x1900mm'.",,recLQLkyee1AWVozZ,matched
EHDP-001,"Baltic Homes Engineered Oak 7.5"" (3mm top) — Heritage Oak",,BALTIC HOMES,EHDP-001,4577d99e-d248-4350-9ada-a2ce493b38b5,nature-eng-hardwood-heritage-oak--7-12-x-34-x-75-tg-3mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.5,"75""",18,,3,,,,,,,,,,,,,,4.02,5.02,,,,,"Tier 1 Price $3.57/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): '18/3 mm x190mm x1900mm (75""x7-1/2""x3/4"")'.",,recwyuGCjB4voGUQJ,matched
EHDP-002,"Baltic Homes Engineered Oak 7.5"" (3mm top) — Golden Harvest Oak",,BALTIC HOMES,EHDP-002,0992b1a2-2204-4cae-9d16-c5ec0a8f0935,nature-eng-hardwood-golden-harvest-oak--7-12-x-34-x-75-tg-3mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.5,"75""",18,,3,,,,,,,,,,,,,,4.02,5.02,,,,,"Tier 1 Price $3.57/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): '18/3 mm x190mm x1900mm (75""x7-1/2""x3/4"")'.",,recvxRHTouQ7KPG8T,matched
EHDP-003,"Baltic Homes Engineered Oak 7.5"" (3mm top) — Wildwood Oak",,BALTIC HOMES,EHDP-003,0f4e98b6-2a86-4d82-b20d-119f24a94d80,nature-eng-hardwood-wildwood-oak--7-12-x-34-x-75-tg-3mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.5,"75""",18,,3,,,,,,,,,,,,,,4.03,5.03,,,,,"Tier 1 Price $3.58/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): '18/3 mm x190mm x1900mm (75""x7-1/2""x3/4"")'.",,,new
