SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
TIL-FLDC-0001,Floor & Decor Porcelain — Noor Statuario — 12 x 24 (Polished),,FLOOR & DECOR,,,FLDCTILTILFLDC0001,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,12,"24""",,,,,,Polished,,,,,,,,,,,1.69,3.69,,1.59,,,"Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.3: 'NOOR STATUARIO POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0002,Floor & Decor Porcelain — Noor Statuario — 12 x 24 (Matte),,FLOOR & DECOR,,,FLDCTILTILFLDC0002,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,12,"24""",,,,,,Matte,,,,,,,,,,,1.69,3.69,,1.59,,,"Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.3: 'NOOR STATUARIO POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0003,Floor & Decor Porcelain — Noor Statuario — 24 x 24 (Polished),,FLOOR & DECOR,,,FLDCTILTILFLDC0003,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,24,"24""",,,,,,Polished,,,,,,,,,,,1.69,3.69,,1.59,,,"Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0004,Floor & Decor Porcelain — Noor Statuario — 24 x 24 (Matte),,FLOOR & DECOR,,,FLDCTILTILFLDC0004,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,24,"24""",,,,,,Matte,,,,,,,,,,,1.69,3.69,,1.59,,,"Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0005,Floor & Decor Porcelain — Noor Statuario — 24 x 48 (Polished),,FLOOR & DECOR,,,FLDCTILTILFLDC0005,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,24,"48""",,,,,,Polished,,,,,,,,,,,1.99,3.99,,1.89,,,"Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0006,Floor & Decor Porcelain — Noor Statuario — 24 x 48 (Matte),,FLOOR & DECOR,,,FLDCTILTILFLDC0006,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,24,"48""",,,,,,Matte,,,,,,,,,,,1.99,3.99,,1.89,,,"Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.3: 'NOOR STATUARIO POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0007,Floor & Decor Porcelain — Belinda Gold — 12 x 24 (Polished),,FLOOR & DECOR,,,FLDCTILTILFLDC0007,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,12,"24""",,,,,,Polished,,,,,,,,,,,1.69,3.69,,1.59,,,"Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.4: 'BELINDA GOLD POLISHED', 12 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0008,Floor & Decor Porcelain — Belinda Gold — 24 x 24 (Polished),,FLOOR & DECOR,,,FLDCTILTILFLDC0008,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,24,"24""",,,,,,Polished,,,,,,,,,,,1.69,3.69,,1.59,,,"Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.4: 'BELINDA GOLD POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0009,Floor & Decor Porcelain — Belinda Gold — 24 x 24 (Matte),,FLOOR & DECOR,,,FLDCTILTILFLDC0009,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,24,"24""",,,,,,Matte,,,,,,,,,,,1.69,3.69,,1.59,,,"Loose $1.69/sf, Skid $1.59/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.4: 'BELINDA GOLD POLISHED', 24 x 24. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
TIL-FLDC-0010,Floor & Decor Porcelain — Belinda Gold — 24 x 48 (Polished),,FLOOR & DECOR,,,FLDCTILTILFLDC0010,Porcelain Tile Collection,Flooring,Tile / Stone,Porcelain,,,,,24,"48""",,,,,,Polished,,,,,,,,,,,1.99,3.99,,1.89,,,"Loose $1.99/sf, Skid $1.89/sf, plus HST (PL-47, effective 2025-01-03)",2026-09-24,Cowork,16,,,,,TRUE,,,,,,,,"Brochure p.4: 'BELINDA GOLD POLISHED', 24 x 48. Box size 16 sf/b per Albert 2026-09-24 (not printed).",,,new
