SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LVP-HMPR-0004,Home's Pro Vancouver 8mm SPC,Home's Pro,HOMESPRO,,00ebd990-3fef-4320-a536-c9943eac848c,HMPR8VANCOUVER,Vancouver,Flooring,LVP,SPC core,,,,,,,8,22,,,,,,Float,,TRUE,IXPE,,,,,,1.98,2.98,,,,,,2026-09-13,Cowork,17.92,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. Sheet labels this 'LONG PLANK' format (not a Layout pattern enum value). No live Lightspeed match found under this name.,,rec68HbbUcx4wLOBB,matched
ACC-HMPR-0001,Home's Pro - Sundry | Underlay | 3mm STC76 IIC77,Home's Pro,HOMESPRO,,1f2e1557-8176-4466-92f6-c5bda26f7ac8,HMPRIXPEUNDERLAY,Accessories,Underpad,,,,,,,,,3,,,,,,,,,,,77,76,,,,13.00,33.00,,,,,,2026-09-13,Cowork,100,,,,,TRUE,,,,,,,,"Sold by the roll (100 sq ft/roll) — Cost/unit and Retail price/unit are per-roll, not per-sf; Box size (sf) reflects roll coverage. LS: new product.",,rec7EV2tt1nemroZl,matched
ACC-HMPR-0003,Home's Pro - Transition | T-Moulding | SPC,Home's Pro,HOMESPRO,,5a2636c1-13f8-4b78-8da8-8f849270b3bd,HMPRTMOULDING,Accessories,Moulding,LVP,,,,,,,,,,,,,,,,,,,,,,,,19.50,29.50,,,,,,2026-09-13,Cowork,,,,,,TRUE,,,,,,,,"Priced per piece. No dimensions printed on supplier sheet. Sold universally across Home's Pro's SPC and laminate lines (identical price on both sections of the sheet) — Category 'LVP' assigned as the majority case, flagged rather than silently decided (Unmapped Category). Not offered with the glue-down vinyl lines. LS: new product.",,recBb6jw7znUaGBRw,matched
LVP-HMPR-0001,Home's Pro Milan 5.5mm SPC,Home's Pro,HOMESPRO,,825dc1f1-af7c-4a6e-a431-2d6de924bcb5,HMPR55MILAN,Milan,Flooring,LVP,SPC core,,,,,,,5.5,12,,,,,,Float,,TRUE,IXPE,,,,,,1.45,2.45,,,,,,2026-09-13,Cowork,23.9,,,,,TRUE,TRUE,,,,,,,No width/length dimensions printed on supplier sheet. LS: new product.,,recBoxwaR2hKom0Zt,matched
ACC-HMPR-0002,Home's Pro - Sundry | Floor Protection | 3.28ft x 49ft,Home's Pro,HOMESPRO,,c51589a9-4f1c-4622-8248-0279d31593a9,HMPRMULTISURFACEPROTECTOR,Accessories,Underpad,,,,,,,,,,,,,,,,,,,,,,,,,17.50,18.50,,,,,,2026-09-13,Cowork,161,,,,,TRUE,,,,,,,,"Sold by the roll (161 sq ft/roll) — Cost/unit and Retail price/unit are per-roll, not per-sf; Box size (sf) reflects roll coverage. LS: new product.",,recJ6Cg1D4b1ZkOo0,matched
ACC-HMPR-0005,Home's Pro - Transition | Reducer | SPC,Home's Pro,HOMESPRO,,e14cb675-52a0-461f-a9c7-4a5d380f79a1,HMPRREDUCER,Accessories,Moulding,LVP,,,,,,,,,,,,,,,,,,,,,,,,19.50,29.50,,,,,,2026-09-13,Cowork,,,,,,TRUE,,,,,,,,"Priced per piece. No dimensions printed on supplier sheet. Sold universally across Home's Pro's SPC and laminate lines (identical price on both sections of the sheet) — Category 'LVP' assigned as the majority case, flagged rather than silently decided (Unmapped Category). Not offered with the glue-down vinyl lines. LS: new product.",,recVRD6AFLCC3quFn,matched
LVT-HMPR-0001,Home's Pro Holland 3mm LVT,Home's Pro,HOMESPRO,,e9b2c0b6-7ccb-4b23-981c-1c6870a5dd05,HMPR3HOLLAND,Holland,Flooring,LVT,SPC core,,,,,,,3,20,,,,,,Glue down,,TRUE,,,,,,,1.25,2.25,,,,,,2026-09-13,Cowork,34.58,,,,,TRUE,,,,,,,,No width/length dimensions printed on supplier sheet. LS: new product.,,recfcTjBcSHNLkN5k,matched
LAM-HMPR-0001,Home's Pro Tuscany 12mm Laminate,Home's Pro,HOMESPRO,,3e0d6e61-dea4-4f3e-ab33-a0e3e067cfb3,HMPR12TUSCANY,Tuscany,Flooring,Laminate,,,,,,,,12,,,,AC4,,,Float,,TRUE,,,,,,,1.65,2.65,,,,,,2026-09-13,Cowork,19.2,,,,,TRUE,,,,,,,,No width/length dimensions printed on supplier sheet. Sheet markets this as '72-Hour Waterproof' AC4 laminate. LS: new product.,,reckz1nX1PivHSpCs,matched
ACC-HMPR-0004,Home's Pro - Transition | Stair Nosing | SPC,Home's Pro,HOMESPRO,,89152277-ae1b-4b75-b80a-b94816683827,HMPRSTAIRNOSING,Accessories,Moulding,LVP,,,,,,,,,,,,,,,,,,,,,,,,24.50,39.50,,,,,,2026-09-13,Cowork,,,,,,TRUE,,,,,,,,"Priced per piece. No dimensions printed on supplier sheet. Sold universally across Home's Pro's SPC and laminate lines (identical price on both sections of the sheet) — Category 'LVP' assigned as the majority case, flagged rather than silently decided (Unmapped Category). Not offered with the glue-down vinyl lines. LS: new product.",,recoMh07yd47s2N3K,matched
LVP-HMPR-0006,Home's Pro Venice 6.5mm SPC — Baku,Home's Pro,HOMESPRO,HOM.662,7788160a-38c1-4ddc-b93e-9eaf252c0dce,p-homvin---spc-baku-click--hom662-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Baku) Click | #HOM.662 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,rec8ij2UgeTxtPS7k,matched
