SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LVP-VIZN-V7001,"Vizion 7mm Marvelous 7.2"" — Acadia",Vizion,VIZION,V7001,5858788e-15fa-4749-a9ca-b9520ac0eea6,VIZNLVP7ACADIA,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,recRhuC0dHOndvGxd,matched
LVP-VIZN-V7002,"Vizion 7mm Marvelous 7.2"" — Arches",Vizion,VIZION,V7002,f51bee12-5fdd-47bb-9e75-368556b0aa0d,VIZNLVP7ARCHES,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,recSMR62eLoSmzd3e,matched
LVP-VIZN-V7003,"Vizion 7mm Marvelous 7.2"" — Denali",Vizion,VIZION,V7003,3c8ab5f8-faeb-4d71-9e50-8148e7f88998,VIZNLVP7DENALI,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,reccUuZVidt1eYwaA,matched
LVP-VIZN-V7004,"Vizion 7mm Marvelous 7.2"" — Everglades",Vizion,VIZION,V7004,ccfaf7cc-4305-4780-a780-3b55015921b8,VIZNLVP7EVERGLADES,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,recAboAlgiA6K0v93,matched
LVP-VIZN-V7005,"Vizion 7mm Marvelous 7.2"" — Yosemite",Vizion,VIZION,V7005,56e7f078-7d53-4fb6-b348-431c5a3c76f4,VIZNLVP7YOSEMITE,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,recJAl8UhijxcEOil,matched
LVP-VIZN-V7006,"Vizion 7mm Marvelous 7.2"" — Joshua",Vizion,VIZION,V7006,7c32a72b-42dc-44e1-bd09-ed4370cda4b2,VIZNLVP7JOSHUA,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,reclltEoNHvtKduE8,matched
LVP-VIZN-V7007,"Vizion 7mm Marvelous 7.2"" — Saguaro",Vizion,VIZION,V7007,1132974d-ec2f-4c1d-b17a-5ed2fa54c875,VIZNLVP7SAGUARO,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,recOJJKu6q25wfQ7j,matched
LVP-VIZN-V7008,"Vizion 7mm Marvelous 7.2"" — Zion",Vizion,VIZION,V7008,68dea42e-ab5f-46bc-961b-ef49e9915eab,VIZNLVP7ZION,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,receaUPPtwIQYC6ZM,matched
LVP-VIZN-V7009,"Vizion 7mm Marvelous 7.2"" — Grand Teton",Vizion,VIZION,V7009,1c432efb-1318-43df-ada7-d26e944525ea,VIZNLVP7GRANDTETON,Marvelous 7MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",7,,,,,,,,,,,,,,,,1.69,2.69,,,,,,2026-07-01,Manual,24.35,,50,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,recXi3ttmBh0cpNvS,matched
LVP-VIZN-V8001,"Vizion 8mm Marvelous 7.2"" — Banff",Vizion,VIZION,V8001,51237a3f-4722-48c9-9cc7-20743ae3d2fb,VIZNLVP8BANFF,Marvelous 8MM Luxury Vinyl,Flooring,LVP,SPC core,,,,,7.2,"60.8""",8,,,,,,,,,,,,,,,,1.89,2.89,,,,,,2026-07-01,Manual,21.31,,45,,,TRUE,TRUE,,,,,,,"COST BASIS CONFIRMED 2026-09-10 by Albert — the printed '> PRICE' column is Titan's dealer cost, as-is (no multiplier); Retail = Cost + $1.00. Core not stated on the price list — SPC core assumed per the global rule for unlabelled rigid vinyl. Wear layer, install profile and locking system are not published by Vizion.",,recMQWGLoV7g46fHx,matched
