id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,loyalty_value_default,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga_Outlet,inventory_Mississauga_Outlet,reorder_point_Mississauga_Outlet,reorder_quantity_Mississauga_Outlet,min_quantity_Mississauga_Outlet,max_quantity_Mississauga_Outlet
5858788e-15fa-4749-a9ca-b9520ac0eea6,VIZNLVP7ACADIA,LVP-VIZN-V7001,,,,"VIZNLVP-SPC - Marvelous 7MM Luxury Vinyl (Acadia) | 7.2"" x 7mm x 60.8"" - 24.35sf/b",,SPC,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
f51bee12-5fdd-47bb-9e75-368556b0aa0d,vizvin---7mm-arches-72-x-608-2435sfb,LVP-VIZN-V7002,,,,"VIZVIN - 7mm Arches 7.2"" x 60.8"" 24.35sf/b",,SPC,,,,,,,,0.00,2.69,,,,,,VIZION,,1,,,,,,,
3c8ab5f8-faeb-4d71-9e50-8148e7f88998,vizvin---7mm-denali-72-x-608-2131sfb,LVP-VIZN-V7003,,,,"VIZVIN - 7mm Denali 7.2"" x 60.8"" 24.35sf/b",,SPC,,,,,,,,0.00,2.69,,,,,,VIZION,,1,,,,,,,
ccfaf7cc-4305-4780-a780-3b55015921b8,vizvin---7mm-everglades-72-x-608-2435sfb,LVP-VIZN-V7004,,,,"VIZVIN - 7mm Everglades 7.2"" x 60.8"" 24.35sf/b",,,,,,,,,,0.00,2.69,,,,,,VIZION,,1,,,,,,,
56e7f078-7d53-4fb6-b348-431c5a3c76f4,VIZNLVP7YOSEMITE,LVP-VIZN-V7005,,,,"VIZNLVP-SPC - Marvelous 7MM Luxury Vinyl (Yosemite) | 7.2"" x 7mm x 60.8"" - 24.35sf/b",,SPC,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
7c32a72b-42dc-44e1-bd09-ed4370cda4b2,VIZNLVP7JOSHUA,LVP-VIZN-V7006,,,,"VIZNLVP-SPC - Marvelous 7MM Luxury Vinyl (Joshua) | 7.2"" x 7mm x 60.8"" - 24.35sf/b",,SPC,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
1132974d-ec2f-4c1d-b17a-5ed2fa54c875,VIZNLVP7SAGUARO,LVP-VIZN-V7007,,,,"VIZNLVP-SPC - Marvelous 7MM Luxury Vinyl (Saguaro) | 7.2"" x 7mm x 60.8"" - 24.35sf/b",,SPC,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
68dea42e-ab5f-46bc-961b-ef49e9915eab,vizvin---7mm-zion-72-x-608-2435sfb,LVP-VIZN-V7008,,,,"VIZVIN - 7mm Zion 7.2"" x 60.8"" 24.35sf/b",,,,,,,,,,0.00,2.69,,,,,,VIZION,,1,,,,,,,
1c432efb-1318-43df-ada7-d26e944525ea,VIZNLVP7GRANDTETON,LVP-VIZN-V7009,,,,"VIZNLVP-SPC - Marvelous 7MM Luxury Vinyl (Grand Teton) | 7.2"" x 7mm x 60.8"" - 24.35sf/b",,SPC,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
51237a3f-4722-48c9-9cc7-20743ae3d2fb,vizvin---8mm-banff-72-x-608-2131sfb,LVP-VIZN-V8001,,,,"VIZVIN - 8mm Banff 7.2"" x 60.8"" 21.31sf/b",,,,,,,,,,0.00,2.89,,,,,,VIZION,,1,,,,,,,
e14fadfa-c0aa-442b-aa10-a936f281497f,VIZNLVP8GRASSLAND,LVP-VIZN-V8002,,,,"VIZNLVP-SPC - Marvelous 8MM Luxury Vinyl (Grassland) | 7.2"" x 8mm x 60.8"" - 21.31sf/b",,SPC,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
c90f41aa-0ea5-4b70-b42f-5d150eaddc3a,VIZNLVP8YOHO,LVP-VIZN-V8003,,,,"VIZNLVP-SPC - Marvelous 8MM Luxury Vinyl (YOHO) | 7.2"" x 8mm x 60.8"" - 21.31sf/b",,SPC,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
81e185ca-7a16-4d8b-a3e1-c81efb9c8688,vizvin---8mm-wapusk-72-x-608-2131sfb,LVP-VIZN-V8004,,,,"VIZVIN - 8mm Wapusk 7.2"" x 60.8"" 21.31sf/b",,,,,,,,,,0.00,2.89,,,,,,VIZION,,1,,,,,,,
1d7eba18-7a6a-4639-a3db-456fa9f99262,VIZNLVP8THOUSANDISLAND,LVP-VIZN-V8005,,,,"VIZNLVP-SPC - Marvelous 8MM Luxury Vinyl (Thousand Island) | 7.2"" x 8mm x 60.8"" - 21.31sf/b",,SPC,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
670e9c37-9973-415a-8ff3-e3ad8ef4aaf1,vizvin---8mm-forillon-72-x-608-2131sfb,LVP-VIZN-V8006,,,,"VIZVIN - 8mm Forillon 7.2"" x 60.8"" 21.31sf/b",,,,,,,,,,0.00,2.89,,,,,,VIZION,,1,,,,,,,
5c878ee6-6eff-4a24-a414-3b1dc186025f,VIZNLVP8TERRANOVA,LVP-VIZN-V8007,,,,"VIZNLVP-SPC - Marvelous 8MM Luxury Vinyl (Terra Nova) | 7.2"" x 8mm x 60.8"" - 21.31sf/b",,SPC,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
afe8d967-3c15-4f30-b53d-ecb66a3111f8,VIZNLVP8FUNDY,LVP-VIZN-V8008,,,,"VIZNLVP-SPC - Marvelous 8MM Luxury Vinyl (Fundy) | 7.2"" x 8mm x 60.8"" - 21.31sf/b",,SPC,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
7ff921f8-7144-4315-973e-3b8074267bbc,VIZNLVPLL5REVELSTOKE,LVP-VIZN-VL501,,,,"VIZNLVP-LL - Marvelous 5MM Loose Lay (Revelstoke) | 9.14"" x 5mm x 60.32"" - 30.61sf/b",,LOOSE LAY,,,,,,,,2.39,3.39,,,,,,VIZION,,1,,,,,,,
4a972b11-252b-4bb2-9a40-a43b696d0b4b,VIZNLVPLL5POINTGREY,LVP-VIZN-VL502,,,,"VIZNLVP-LL - Marvelous 5MM Loose Lay (Point Grey) | 9.14"" x 5mm x 60.32"" - 30.61sf/b",,LOOSE LAY,,,,,,,,2.39,3.39,,,,,,VIZION,,1,,,,,,,
bb06d495-922f-4c44-8e92-fd231e849564,VIZNLVPLL5ROBSON,LVP-VIZN-VL503,,,,"VIZNLVP-LL - Marvelous 5MM Loose Lay (Robson) | 9.14"" x 5mm x 60.32"" - 30.61sf/b",,LOOSE LAY,,,,,,,,2.39,3.39,,,,,,VIZION,,1,,,,,,,
a3ad0ed3-4ce7-4568-bbbf-abc2089a91e6,VIZNLVPLL5DUNBAR,LVP-VIZN-VL504,,,,"VIZNLVP-LL - Marvelous 5MM Loose Lay (Dunbar) | 9.14"" x 5mm x 60.32"" - 30.61sf/b",,LOOSE LAY,,,,,,,,2.39,3.39,,,,,,VIZION,,1,,,,,,,
236eebf6-7638-493a-8c0d-1477f27d868e,VIZNLAM123NILE,LAM-VIZN-LV221,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Nile) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
7ef0ff05-c22b-4d9d-a035-36dfa083c877,VIZNLAM123YANGTZE,LAM-VIZN-LV222,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Yangtze) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
68a0eeb8-7334-4be5-bab2-6eea51058e83,VIZNLAM123VOLGA,LAM-VIZN-LV223,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Volga) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
63c23093-9e12-49a7-89b4-96eac78eabd7,VIZNLAM123RHEIN,LAM-VIZN-LV224,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Rhein) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
f72e0a71-67cf-423d-8396-a2436794588e,VIZNLAM123AMAZON,LAM-VIZN-LV225,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Amazon) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
c7c68a6e-8fc9-4856-ae37-a9cf21da55a1,VIZNLAM123MEKONG,LAM-VIZN-LV226,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Mekong) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
d84b2d53-b601-4879-a123-45de87e29bf7,VIZNLAM123CONGO,LAM-VIZN-LV227,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Congo) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
0da744f0-490a-47b5-be09-8e776a71d814,VIZNLAM123SEINE,LAM-VIZN-LV228,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Seine) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
898bf105-3acb-4f3f-ba24-c6a35370542d,VIZNLAM123MURRAY,LAM-VIZN-LV229,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Murray) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
1760c202-941c-4dbc-9870-a68bd2a0d22f,VIZNLAM123FRASER,LAM-VIZN-LV230,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (12.3mm) (Fraser) | 7.7"" x 12.3mm x 48"" - 20.48sf/b",,LAMINATE,,,,,,,,1.69,2.69,,,,,,VIZION,,1,,,,,,,
579371b1-052d-4d91-9d9e-cb2c898ae663,VIZNLAM143WHISTLER,LAM-VIZN-LV321,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (14.3mm) (Whistler) | 7.7"" x 14.3mm x 60.8"" - 19.28sf/b",,LAMINATE,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
cf391484-9028-46d7-a4d4-d63507db76de,VIZNLAM143ASPEN,LAM-VIZN-LV322,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (14.3mm) (Aspen) | 7.7"" x 14.3mm x 60.8"" - 19.28sf/b",,LAMINATE,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
0f01867f-14cf-4595-b394-0b9aa7cb8bbd,VIZNLAM143TREMBLANT,LAM-VIZN-LV323,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (14.3mm) (Tremblant) | 7.7"" x 14.3mm x 60.8"" - 19.28sf/b",,LAMINATE,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
58cb2127-7c84-448c-8145-2951e8aaf96e,VIZNLAM143NISEKO,LAM-VIZN-LV324,,,,"VIZNLAM - Epic 120 HR Water Resistant Laminate With Underlayment (14.3mm) (Niseko) | 7.7"" x 14.3mm x 60.8"" - 19.28sf/b",,LAMINATE,,,,,,,,1.89,2.89,,,,,,VIZION,,1,,,,,,,
