supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
VIZION,LVP-VIZN-V7002,"Vizion 7mm Marvelous 7.2"" — Arches",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Albert: 'Use the SKU in Airtable'): Lightspeed product f51bee12-5fdd-47bb-9e75-368556b0aa0d carried legacy sku 11476 at supply 0.0 / retail 2.39; corrected to LVP-VIZN-V7002 at 1.69 / 2.69 (verified). FYI: Lightspeed's 2.0 list still reports supply_price 0.0 for it (stale projection; the supplier row holds the correct cost), so a re-plan re-proposes this cost write until the pull reads cost from the supplier row.",cat-f2d999e65ace,2,,,
VIZION,LVP-VIZN-V7003,"Vizion 7mm Marvelous 7.2"" — Denali",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Albert: 'Use the SKU in Airtable'): Lightspeed product 3c8ab5f8-faeb-4d71-9e50-8148e7f88998 carried legacy sku 11445 at supply 0.0 / retail 2.39; corrected to LVP-VIZN-V7003 at 1.69 / 2.69 (verified). FYI: Lightspeed's 2.0 list still reports supply_price 0.0 for it (stale projection; the supplier row holds the correct cost), so a re-plan re-proposes this cost write until the pull reads cost from the supplier row.",cat-29ae99acce0b,3,,,
VIZION,LVP-VIZN-V7004,"Vizion 7mm Marvelous 7.2"" — Everglades",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Albert: 'Use the SKU in Airtable'): Lightspeed product ccfaf7cc-4305-4780-a780-3b55015921b8 carried legacy sku 11449 at supply 0.0 / retail 1.89; corrected to LVP-VIZN-V7004 at 1.69 / 2.69 (verified). FYI: Lightspeed's 2.0 list still reports supply_price 0.0 for it (stale projection; the supplier row holds the correct cost), so a re-plan re-proposes this cost write until the pull reads cost from the supplier row.",cat-2da6818c37a5,4,,,
VIZION,LVP-VIZN-V7008,"Vizion 7mm Marvelous 7.2"" — Zion",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Albert: 'Use the SKU in Airtable'): Lightspeed product 68dea42e-ab5f-46bc-961b-ef49e9915eab carried legacy sku V-SPC-V7008 at supply 0.0 / retail 1.99; corrected to LVP-VIZN-V7008 at 1.69 / 2.69 (verified). FYI: Lightspeed's 2.0 list still reports supply_price 0.0 for it (stale projection; the supplier row holds the correct cost), so a re-plan re-proposes this cost write until the pull reads cost from the supplier row.",cat-418b6c16d60d,8,,,
VIZION,LVP-VIZN-V8001,"Vizion 8mm Marvelous 7.2"" — Banff",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Albert: 'Use the SKU in Airtable'): Lightspeed product 51237a3f-4722-48c9-9cc7-20743ae3d2fb carried legacy sku 11414 at supply 0.0 / retail 0.0; corrected to LVP-VIZN-V8001 at 1.89 / 2.89 (verified). FYI: Lightspeed's 2.0 list still reports supply_price 0.0 for it (stale projection; the supplier row holds the correct cost), so a re-plan re-proposes this cost write until the pull reads cost from the supplier row.",cat-686f61797b2b,10,,,
VIZION,LVP-VIZN-V8004,"Vizion 8mm Marvelous 7.2"" — Wapusk",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Albert: 'Use the SKU in Airtable'): Lightspeed product 81e185ca-7a16-4d8b-a3e1-c81efb9c8688 carried legacy sku 11440 at supply 0.0 / retail 0.0; corrected to LVP-VIZN-V8004 at 1.89 / 2.89 (verified). FYI: Lightspeed's 2.0 list still reports supply_price 0.0 for it (stale projection; the supplier row holds the correct cost), so a re-plan re-proposes this cost write until the pull reads cost from the supplier row.",cat-aa921a101e01,13,,,
VIZION,LVP-VIZN-V8006,"Vizion 8mm Marvelous 7.2"" — Forillon",sync,uuid_belongs_to_other_sku,wrote_flagged,"RESOLVED 2026-09-24 (Albert: 'Use the SKU in Airtable'): Lightspeed product 670e9c37-9973-415a-8ff3-e3ad8ef4aaf1 carried legacy sku 11419 at supply 0.0 / retail 2.49; corrected to LVP-VIZN-V8006 at 1.89 / 2.89 (verified). FYI: Lightspeed's 2.0 list still reports supply_price 0.0 for it (stale projection; the supplier row holds the correct cost), so a re-plan re-proposes this cost write until the pull reads cost from the supplier row.",cat-d2f4853acab7,15,,,
VIZION,ACC-VIZN-0013,Vizion - Sundry | Adhesive | Zeromono 2 GL (12 kg pail),extract,spec_gap,wrote_flagged,"New sundry the 09-18 extraction missed (p.4 Accessories): Zeromono adhesive 2 GL / 12 kg pail, $68.00. Retail $95.20 = cost x 1.40 (global adhesive rule, Albert 2026-09-24).",cat-56c8d1a950e8,68,,,
VIZION,ACC-VIZN-0014,Vizion - Sundry | Underpad | EVA 3mm black with silver film (200 sf roll),extract,spec_gap,wrote_flagged,"New sundry the 09-18 extraction missed (p.4 Accessories): EVA 3mm black underpad with silver film, 200 sf roll, $22.00. Retail $42.00 = cost + $20 (global underpad rule, Albert 2026-09-24).",cat-14cd7dd92ee6,69,,,
VIZION,LVP-VIZN-V7001,"Vizion 7mm Marvelous 7.2"" — Acadia",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,1,,,
VIZION,LVP-VIZN-V7002,"Vizion 7mm Marvelous 7.2"" — Arches",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",cat-f94a2514ea92,2,,,
VIZION,LVP-VIZN-V7003,"Vizion 7mm Marvelous 7.2"" — Denali",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",cat-53c637fb9a8c,3,,,
VIZION,LVP-VIZN-V7004,"Vizion 7mm Marvelous 7.2"" — Everglades",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",cat-b28d6f2c5783,4,,,
VIZION,LVP-VIZN-V7005,"Vizion 7mm Marvelous 7.2"" — Yosemite",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,5,,,
VIZION,LVP-VIZN-V7006,"Vizion 7mm Marvelous 7.2"" — Joshua",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,6,,,
VIZION,LVP-VIZN-V7007,"Vizion 7mm Marvelous 7.2"" — Saguaro",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,7,,,
VIZION,LVP-VIZN-V7008,"Vizion 7mm Marvelous 7.2"" — Zion",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",cat-9f265bd8be46,8,,,
VIZION,LVP-VIZN-V7009,"Vizion 7mm Marvelous 7.2"" — Grand Teton",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,9,,,
VIZION,LVP-VIZN-V8001,"Vizion 8mm Marvelous 7.2"" — Banff",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",cat-cf30e157f978,10,,,
VIZION,LVP-VIZN-V8002,"Vizion 8mm Marvelous 7.2"" — Grassland",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,11,,,
VIZION,LVP-VIZN-V8003,"Vizion 8mm Marvelous 7.2"" — YOHO",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,12,,,
VIZION,LVP-VIZN-V8004,"Vizion 8mm Marvelous 7.2"" — Wapusk",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",cat-c9e62006ff23,13,,,
VIZION,LVP-VIZN-V8005,"Vizion 8mm Marvelous 7.2"" — Thousand Island",sync,category_unresolved,wrote_flagged,"Reconciler has no Airtable->LS leaf mapping for this row; creates used the CSV category (FLOORING / VINYL / SPC, LOOSE LAY or ACCESSORIES), resolved live to a single type.",,14,,,
