SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Effective Date,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,Price List URL,Promo List URL
LAM-FAWK-0004,"NAF 12mm Handscraped Laminate 7.71"" — Aphrodite",NAF,FLOORS AT WORK,,6da0ce1d-77e7-4dee-9166-dbc9c46b9635,LAM771LAMAPHRODITE,Handscraped Laminates (Drop Clic),Flooring,Laminate,HDF core,,,,,7.71,,12,,,,,Handscraped / Registered Embossed,Click,Float,Drop Click,,,,,,,,1.19,2.19,,,1.09,2026-09-30,,2026-09-19,Agent,20.5,,50,,Clearance,TRUE,,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,recqyWZjYW78GDJUo,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LAM-FAWK-0005,"NAF 12mm Handscraped Laminate 7.71"" — Apollo",NAF,FLOORS AT WORK,,9c2c5430-342a-48e5-adda-c21ec3baa8bd,LAM771LAMAPOLLO,Handscraped Laminates (Drop Clic),Flooring,Laminate,HDF core,,,,,7.71,,12,,,,,Handscraped / Registered Embossed,Click,Float,Drop Click,,,,,,,,1.19,2.19,,,1.09,2026-09-30,,2026-09-19,Agent,20.5,,50,,Clearance,TRUE,,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,recdoaQEcy3OzmdFv,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LAM-FAWK-0006,"NAF 12mm Handscraped Laminate 7.71"" — Artemis",NAF,FLOORS AT WORK,,deb9a104-c0be-45ad-9e4b-40d7a7d518cc,LAM771LAMARTEMIS,Handscraped Laminates (Drop Clic),Flooring,Laminate,HDF core,,,,,7.71,,12,,,,,Handscraped / Registered Embossed,Click,Float,Drop Click,,,,,,,,1.19,2.19,,,1.09,2026-09-30,,2026-09-19,Agent,20.5,,50,,Clearance,TRUE,,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,recdqlFgakMIQ55Wr,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LAM-FAWK-0007,"NAF 12mm Handscraped Laminate 7.71"" — Poseidon",NAF,FLOORS AT WORK,,cf9732f5-7ab2-434c-9489-613ad460bb1e,LAM771LAMPOSEIDON,Handscraped Laminates (Drop Clic),Flooring,Laminate,HDF core,,,,,7.71,,12,,,,,Handscraped / Registered Embossed,Click,Float,Drop Click,,,,,,,,1.19,2.19,,,1.09,2026-09-30,,2026-09-19,Agent,20.5,,50,,Clearance,TRUE,,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,recuZ6OofVooraky2,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LAM-FAWK-0008,"NAF 12mm Handscraped Laminate 7.71"" — Zeus",NAF,FLOORS AT WORK,,5d524d7f-7373-4225-a01f-6ff72a36e2a7,LAM771LAMZEUS,Handscraped Laminates (Drop Clic),Flooring,Laminate,HDF core,,,,,7.71,,12,,,,,Handscraped / Registered Embossed,Click,Float,Drop Click,,,,,,,,1.19,2.19,,,1.09,2026-09-30,,2026-09-19,Agent,20.5,,50,,Clearance,TRUE,,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,recPVqfcVAebsn6gk,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LAM-FAWK-0017,"NAF 12mm Waterproof Laminate Plus 9.29"" — Aurora",NAF,FLOORS AT WORK,,122c73c0-d58d-41f7-a8ae-5f0c2a621117,LAM929LAMAURORA,Waterproof Laminate Plus,Flooring,Laminate,Water-Resistant Core,,,,,9.29,,12,,,,,,Click,Float,Valinge 5G,,,,,,,,1.99,2.99,,,1.59,2026-09-30,,2026-07-09,Agent,19.27,,52,,,TRUE,TRUE,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,rec4JCtFOiAWFfKqW,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LAM-FAWK-0020,"NAF 12mm Waterproof Laminate Plus 9.29"" — Equinox",NAF,FLOORS AT WORK,,0c3cd13c-9ad9-4f7a-b691-4350508dfb25,LAM929LAMEQUINOX,Waterproof Laminate Plus,Flooring,Laminate,Water-Resistant Core,,,,,9.29,,12,,,,,,Click,Float,Valinge 5G,,,,,,,,1.99,2.99,,,1.59,2026-09-30,,2026-07-09,Agent,19.27,,52,,,TRUE,TRUE,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,recLMn68ujdDAB31u,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LAM-FAWK-0022,"NAF 12mm Waterproof Laminate Plus 9.29"" — Halo",NAF,FLOORS AT WORK,,108e2627-f1a6-48a8-a20c-d2a739a7a0c4,LAM929LAMHALO,Waterproof Laminate Plus,Flooring,Laminate,Water-Resistant Core,,,,,9.29,,12,,,,,,Click,Float,Valinge 5G,,,,,,,,1.99,2.99,,,1.59,2026-09-30,,2026-07-09,Agent,19.27,,52,,,TRUE,TRUE,,,,,,,Husssh 1 is the only recommended underlay for Infiniti & NAF laminates — otherwise warranties are void.,,recQn1bXhRL9gANaO,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0073,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Ellisdon",NAF,FLOORS AT WORK,,fbdabe02-fc6a-41bd-9850-b2490822a706,LVP736VNYELLISDON,Aqua Commercial,Flooring,LVP,SPC core,,,,,7.36,,3,20,,,,,Glue down,Glue down,,,,,,,,,1.49,2.49,,,0.99,2026-09-30,,,,34.58,,55,,,TRUE,TRUE,TRUE,,Light commercial,,,,,,reckFJHStVtZBMoLs,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0071,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Landmark",NAF,FLOORS AT WORK,,ef8f9235-703a-4c05-8996-f22fe41dc66d,LVP736VNYLANDMARK,Aqua Commercial,Flooring,LVP,SPC core,,,,,7.36,,3,20,,,,,Glue down,Glue down,,,,,,,,,1.49,2.49,,,1.29,2026-09-30,,,,34.58,,55,,,TRUE,TRUE,TRUE,,Light commercial,,,,,,recUJhDj4YoFdfi6V,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
