id,handle,sku,comp4,comp5,comp6,name,description,product_category,variant_option_one_name,variant_option_one_value,opt2n,opt2v,opt3n,opt3v,tags,supply_price,retail_price,loyalty1,loyalty2,loyalty3,loyalty4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga Outlet,inventory_Mississauga Outlet,reorder_point_Mississauga Outlet,restock_level_Mississauga Outlet
6da0ce1d-77e7-4dee-9166-dbc9c46b9635,LAM771LAMAPHRODITE,LAM-FAWK-0004,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Aphrodite) Click | 7.71"" x 12mm x RL - 20.5sf/b",,LAMINATE,,,,,,,,1.09,2.19,,,,,,FLOORS AT WORK,,1,,,,,
9c2c5430-342a-48e5-adda-c21ec3baa8bd,LAM771LAMAPOLLO,LAM-FAWK-0005,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Apollo) Click | 7.71"" x 12mm x RL - 20.5sf/b",,LAMINATE,,,,,,,,1.09,2.19,,,,,,FLOORS AT WORK,,1,,,,,
deb9a104-c0be-45ad-9e4b-40d7a7d518cc,LAM771LAMARTEMIS,LAM-FAWK-0006,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Artemis) Click | 7.71"" x 12mm x RL - 20.5sf/b",,LAMINATE,,,,,,,,1.09,2.19,,,,,,FLOORS AT WORK,,1,,,,,
cf9732f5-7ab2-434c-9489-613ad460bb1e,LAM771LAMPOSEIDON,LAM-FAWK-0007,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Poseidon) Click | 7.71"" x 12mm x RL - 20.5sf/b",,LAMINATE,,,,,,,,1.09,2.19,,,,,,FLOORS AT WORK,,1,,,,,
5d524d7f-7373-4225-a01f-6ff72a36e2a7,LAM771LAMZEUS,LAM-FAWK-0008,,,,"NAFLAM - Handscraped Laminates (Drop Clic) (Zeus) Click | 7.71"" x 12mm x RL - 20.5sf/b",,LAMINATE,,,,,,,,1.09,2.19,,,,,,FLOORS AT WORK,,1,,,,,
122c73c0-d58d-41f7-a8ae-5f0c2a621117,LAM929LAMAURORA,LAM-FAWK-0017,,,,"NAFLAM - Waterproof Laminate Plus (Aurora) Click | 9.29"" x 12mm x RL - 19.27sf/b",,LAMINATE,,,,,,,,1.59,2.99,,,,,,FLOORS AT WORK,,1,,,,,
0c3cd13c-9ad9-4f7a-b691-4350508dfb25,LAM929LAMEQUINOX,LAM-FAWK-0020,,,,"NAFLAM - Waterproof Laminate Plus (Equinox) Click | 9.29"" x 12mm x RL - 19.27sf/b",,LAMINATE,,,,,,,,1.59,2.99,,,,,,FLOORS AT WORK,,1,,,,,
108e2627-f1a6-48a8-a20c-d2a739a7a0c4,LAM929LAMHALO,LAM-FAWK-0022,,,,"NAFLAM - Waterproof Laminate Plus (Halo) Click | 9.29"" x 12mm x RL - 19.27sf/b",,LAMINATE,,,,,,,,1.59,2.99,,,,,,FLOORS AT WORK,,1,,,,,
fbdabe02-fc6a-41bd-9850-b2490822a706,LVP736VNYELLISDON,LVP-FAWK-0073,,,,"NAFLVP-SPC - Aqua Commercial (Ellisdon) Glue down | 7.36"" x 3mm x RL - 34.58sf/b",,SPC,,,,,,,,0.99,2.49,,,,,,FLOORS AT WORK,,1,,,,,
ef8f9235-703a-4c05-8996-f22fe41dc66d,LVP736VNYLANDMARK,LVP-FAWK-0071,,,,"NAFLVP-SPC - Aqua Commercial (Landmark) Glue down | 7.36"" x 3mm x RL - 34.58sf/b",,SPC,,,,,,,,1.29,2.49,,,,,,FLOORS AT WORK,,1,,,,,
c347c034-ffd2-4160-887c-8b4a2b2b76d0,LVP736VNYDUCA,LVP-FAWK-0075,,,,"NAFLVP-SPC - Aqua Commercial (Duca) Glue down | 7.36"" x 3mm x RL - 34.58sf/b",,SPC,,,,,,,,1.29,2.49,,,,,,FLOORS AT WORK,,1,,,,,
738bc9aa-a5db-4202-b3bc-b74edcfb4ad8,LVT12VNYGOLD7MM,LVT-FAWK-0004,,,,"NAFLVT-SPC - Aqua Tile (Gold) Click | 12"" x 7mm x RL - 16.03sf/b",,SPC,,,,,,,,2.29,3.89,,,,,,FLOORS AT WORK,,1,,,,,
40a34129-714c-4f16-b6d7-a0c05d5e6b92,LVT18VNYMAGNETITE,LVT-FAWK-0015,,,,"NAFLVT-SPC - Aqua Commercial (Magnetite) Glue down | 18"" x 5mm x RL - 22.5sf/b",,SPC,,,,,,,,1.69,3.29,,,,,,FLOORS AT WORK,,1,,,,,
294acd77-0c1e-4f7b-94f8-7981673f30d7,LVT18VNYMOONSTONE,LVT-FAWK-0016,,,,"NAFLVT-SPC - Aqua Commercial (Moonstone) Glue down | 18"" x 5mm x RL - 22.5sf/b",,SPC,,,,,,,,1.69,3.29,,,,,,FLOORS AT WORK,,1,,,,,
d6fcf275-e7ad-4f8b-8921-93ac21287709,LVP725VNYPRAGUE,LVP-FAWK-0070,,,,"NAFLVP-SPC - Aqualuuuz (Prague) Loose lay | 7.25"" x 5mm x RL - 19.32sf/b",,SPC,,,,,,,,1.79,3.29,,,,,,FLOORS AT WORK,,1,,,,,
9654cca5-88b7-413f-9651-cfa9485ec94e,LVP71VNYWESTMINSTER,LVP-FAWK-0003,,,,"NAFLVP-SPC - 6.5mm SPC Vinyl (Westminster) Click | 7.1"" x 6.5mm x RL - 23.9sf/b",,SPC,,,,,,,,1.39,2.69,,,,,,FLOORS AT WORK,,1,,,,,
0a6f6e36-8b89-11eb-f3d6-7e8b563dfc39,LVP71VNYYORKVILLE,LVP-FAWK-0027,,,,"NAFLVP-SPC - Aquaplus Gold (Yorkville) Click | 7.1"" x 7mm x RL - 17.91sf/b",,SPC,,,,,,,,1.59,2.99,,,,,,FLOORS AT WORK,,1,,,,,
91b85863-42c2-4fa3-9831-7270203370bd,LVP71VNYPUNTACANA,LVP-FAWK-0024,,,,"NAFLVP-SPC - Classic (Punta Cana) Click | 7.1"" x 7mm x RL - 17.91sf/b",,SPC,,,,,,,,1.59,2.79,,,,,,FLOORS AT WORK,,1,,,,,
3347d88a-6032-4083-b265-d1f40e58e881,LVP72VNYGRANDBEND,LVP-FAWK-0013,,,,"NAFLVP-SPC - Aquaplus Select (Grand Bend) Click | 7.2"" x 7mm x RL - 17.91sf/b",,SPC,,,,,,,,1.49,2.99,,,,,,FLOORS AT WORK,,1,,,,,
82735ee6-a739-453b-8f11-b2610df3f358,LVP71VNYRUSSELLHILL,LVP-FAWK-0034,,,,"NAFLVP-SPC - Aquaplus Gold (Russell Hill) Click | 7.1"" x 7mm x RL - 17.91sf/b",,SPC,,,,,,,,1.89,2.99,,,,,,FLOORS AT WORK,,1,,,,,
1af388b2-ea85-4a43-97a3-e8d43caaa035,LVP71VNYSHANGRILA,LVP-FAWK-0038,,,,"NAFLVP-SPC - Aquaplus Gold with Cork (Shangri-La) Click | 7.1"" x 7mm x RL - 17.63sf/b",,SPC,,,,,,,,1.89,3.09,,,,,,FLOORS AT WORK,,1,,,,,
5b89c9b7-cb09-4af9-8daa-fe9959f1e336,LVP71VNYSOHOPLAT,LVP-FAWK-0060,,,,"NAFLVP-SPC - Aquaplus Platinum (Soho) Click | 7.1"" x 9mm x RL - 11.94sf/b",,SPC,,,,,,,,1.79,3.49,,,,,,FLOORS AT WORK,,1,,,,,
98369d2a-25c4-40d2-b1eb-5e0ce8c580a0,ENG65HICMILLSTONE,ENG-FAWK-0008,,,,"NAFENG - Hickory Engineered (Millstone) T&G | 6.5"" x 18mm x RL - 19.18sf/b - Distressed",,ENGINEERED HARDWOOD,,,,,,,,3.29,4.69,,,,,,FLOORS AT WORK,,1,,,,,
a439d996-06b8-45cb-bdaa-3200bf596cee,ENG75HICEARLGREY,ENG-FAWK-0012,,,,"NAFENG - Hickory Engineered (Earl Grey) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.99,5.49,,,,,,FLOORS AT WORK,,1,,,,,
089702d7-935f-43e8-be72-7f9387609d6c,ENG75HICSADDLEBROWN,ENG-FAWK-0019,,,,"NAFENG - Hickory Engineered (Saddle Brown) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.99,5.49,,,,,,FLOORS AT WORK,,1,,,,,
7d8fe99c-988c-406a-825b-a1218f6a3eed,ENG75HICMODERNPEWTER,ENG-FAWK-0015,,,,"NAFENG - Hickory Engineered (Modern Pewter) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.99,5.49,,,,,,FLOORS AT WORK,,1,,,,,
121e58d7-9221-4d8a-949f-5db0d12fa5e2,ENG75HICAGEDBARREL,ENG-FAWK-0010,,,,"NAFENG - Hickory Engineered (Aged Barrel) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.99,5.49,,,,,,FLOORS AT WORK,,1,,,,,
d2665407-48df-491e-b1c0-93b55545a875,ENG75HICMACADAMIA,ENG-FAWK-0014,,,,"NAFENG - Hickory Engineered (Macadamia) T&G | 7.5"" x 18mm x RL - 2mm top - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.99,5.49,,,,,,FLOORS AT WORK,,1,,,,,
a5449104-70e1-4ab9-a446-610d846e44ac,ENG75OAKALABASTEROAKEURDES,ENG-FAWK-0061,,,,"NAFENG - Designer European White Oak (Alabaster Oak) T&G | 7.5"" x 18mm x RL - 3mm top - 23.31sf/b - Select & Better",,ENGINEERED HARDWOOD,,,,,,,,5.99,7.99,,,,,,FLOORS AT WORK,,1,,,,,
3bd1f806-3325-4c49-b76e-a63ab4963b9e,ENG75OAKSOFTGOLDEURDES,ENG-FAWK-0064,,,,"NAFENG - Designer European White Oak (Soft Gold) T&G | 7.5"" x 18mm x RL - 3mm top - 23.31sf/b - Select & Better",,ENGINEERED HARDWOOD,,,,,,,,5.99,7.99,,,,,,FLOORS AT WORK,,1,,,,,
a57fb4c2-0891-4286-b273-622694d6cfae,ENG5OAKSTORMOAKEURDES,ENG-FAWK-0059,,,,"NAFENG - Designer European White Oak (Storm Oak) T&G | 5"" x 18mm x RL - 3mm top - 20.77sf/b - Select",,ENGINEERED HARDWOOD,,,,,,,,3.99,5.69,,,,,,FLOORS AT WORK,,1,,,,,
82737f81-6eee-4be8-b27e-29f364af5d1a,ENG75OAKARIZONAELEG,ENG-FAWK-0071,,,,"NAFENG - Elegant American White Oak (Arizona) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.49,,,,,,FLOORS AT WORK,,1,,,,,
c51a4aa5-298c-4e1a-8b9e-9171564a8830,ENG75OAKCOLORADOELEG,ENG-FAWK-0073,,,,"NAFENG - Elegant American White Oak (Colorado) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.49,,,,,,FLOORS AT WORK,,1,,,,,
312c35d2-5426-4e6b-bd12-37ace4b7e716,ENG75OAKMONTANAELEG,ENG-FAWK-0068,,,,"NAFENG - Elegant American White Oak (Montana) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.49,,,,,,FLOORS AT WORK,,1,,,,,
3999f742-2cd2-44d1-a49f-22aeecf4d8f8,ENG5OAKGOLDENCLICK,ENG-FAWK-0022,,,,"NAFENG - White Oak Click (Golden) | 5"" x 12mm x RL - 29.28sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.69,,,,,,FLOORS AT WORK,,1,,,,,
