supplier,sku,product_name,stage,reason,disposition,detail,action_id,source_row,col_printed,value_used,Action
FLOORS AT WORK,LVP-FAWK-0034,"NAF 7mm Aquaplus Gold Vinyl 7.1"" — Russell Hill",extract,spec_gap,wrote_flagged,"Promo sheet prints Russell Hill at 17.63 sf/box; live Box size is 17.91. The colour matches this one FAW record only, so the promo was applied to it; the box size was NOT changed — check which is right.",cat-ee30e7d1f6e1,,,,
FLOORS AT WORK,LVP-FAWK-0060,"NAF 9mm Aquaplus Platinum Vinyl 7.1"" — Soho",extract,spec_gap,wrote_flagged,"Promo sheet prints Soho at 14.93 sf/box; live Box size is 11.94. The colour matches this one FAW record only, so the promo was applied to it; the box size was NOT changed — check which is right.",cat-22fca56cf392,,,,
FLOORS AT WORK,ENG-FAWK-0060,"Eng Oak 18MM (5"", 3MM Veneer, Select Grade) — Toffee",extract,ambiguous_naming,held,"Eng Oak 18MM (5"", 3MM Veneer, Select Grade) — Toffee (20.77 sf/box) @ $ 3.99 matches 2 live records: ENG-FAWK-0060 (NAF Engineered European White Oak Designer 5"" (Wirebrushed, Select) — Toffee, Active=None); ENG-FAWK-0089 (NAF Engineered European White Oak Designer Click 5"" — Toffee, Active=TRUE). Not written; say which record gets the promo.",,,,,
FLOORS AT WORK,ENG-FAWK-0038,"NAF Engineered White Oak Regal 6.5"" (Wirebrushed) — Suriname",extract,spec_gap,wrote_flagged,"Promo sheet prints Suriname at 23.31 sf/box; live Box size is 20.24. The colour matches this one FAW record only, so the promo was applied to it; the box size was NOT changed — check which is right.",cat-b57fd21f7a70,,,,
FLOORS AT WORK,ENG-FAWK-0051,"NAF Engineered White Oak Regal 7.5"" (Wirebrushed) — Lisbon",extract,spec_gap,wrote_flagged,"Promo sheet prints Lisbon at 23.31 sf/box; live Box size is 23.44. The colour matches this one FAW record only, so the promo was applied to it; the box size was NOT changed — check which is right.",cat-a509b911fb97,,,,
FLOORS AT WORK,ENG-FAWK-0037,"NAF Engineered White Oak Regal 6.5"" (Wirebrushed) — Puerto Rico",extract,spec_gap,wrote_flagged,"Promo sheet prints Puerto Rico at 23.31 sf/box; live Box size is 20.24. The colour matches this one FAW record only, so the promo was applied to it; the box size was NOT changed — check which is right.",cat-043d4435a4f1,,,,
FLOORS AT WORK,ENG-FAWK-0045,"NAF Engineered White Oak Regal 7.5"" (Wirebrushed) — Cuba",extract,spec_gap,wrote_flagged,"Promo sheet prints Cuba at 20.24 sf/box; live Box size is 23.31. The colour matches this one FAW record only, so the promo was applied to it; the box size was NOT changed — check which is right.",cat-009be92cd291,,,,
FLOORS AT WORK,ENG-FAWK-0043,"NAF Engineered White Oak Regal 7.5"" (Wirebrushed) — Haiti",extract,spec_gap,wrote_flagged,"Promo sheet prints Haiti at 20.24 sf/box; live Box size is 23.31. The colour matches this one FAW record only, so the promo was applied to it; the box size was NOT changed — check which is right.",cat-23572091dcf7,,,,
FLOORS AT WORK,LVP-FAWK-0073,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Ellisdon",sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-ddb8c2c592e8,10,,,
FLOORS AT WORK,LVP-FAWK-0071,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Landmark",sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-00fb85401d89,11,,,
FLOORS AT WORK,LVP-FAWK-0075,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Duca",sync,category_unresolved,wrote_flagged,"Airtable category 'LVP' does not map to a Lightspeed leaf on its own — LVP/LVT are formats, and Lightspeed classifies vinyl by core and install (SPC / WPC / GLUE DOWN / LOOSE LAY). Needs Material type and Install method. Not blocking: no write path sets a category yet.",cat-e72c180fffd1,12,,,
