supplier,sku,change,promo_end_date,promo_cost,regular_cost,before,after,action_id
BELLA FLOORING PLUS,ENG-NRTH-0003,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Element) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Element) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-efc1881a7d2d
BELLA FLOORING PLUS,ENG-NRTH-0003,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-c2f9d3cf3065
BELLA FLOORING PLUS,ENG-NRTH-0004,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Celeste) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Celeste) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-ceff6091a178
BELLA FLOORING PLUS,ENG-NRTH-0004,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-830d44867fe6
BELLA FLOORING PLUS,ENG-NRTH-0005,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Pure Walnut) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Pure Walnut) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-ad5767af0d34
BELLA FLOORING PLUS,ENG-NRTH-0005,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-68b577cc80dc
BELLA FLOORING PLUS,ENG-NRTH-0006,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Warm Beechwood) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Warm Beechwood) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-ba6110c90540
BELLA FLOORING PLUS,ENG-NRTH-0006,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-8b9eceea27d3
BELLA FLOORING PLUS,ENG-NRTH-0007,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Provence) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Provence) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-bcc47d4d51e9
BELLA FLOORING PLUS,ENG-NRTH-0007,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-abd803acbdb1
BELLA FLOORING PLUS,ENG-NRTH-0008,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Nappa) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Nappa) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-beeeca5be2f9
BELLA FLOORING PLUS,ENG-NRTH-0008,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-9c078aee0890
BELLA FLOORING PLUS,ENG-NRTH-0009,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Belize) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Belize) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-b6bf9a2d4e4b
BELLA FLOORING PLUS,ENG-NRTH-0009,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-52b48d09c279
BELLA FLOORING PLUS,ENG-NRTH-0010,(P) on,(none),3.69,3.99,"NRTHENG - Coastal White Oak (Monaco) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b","(P) NRTHENG - Coastal White Oak (Monaco) T&G | 7.5"" x 19mm x RL - 1.5mm top - 19.43sf/b",promo-40f6528b7d4c
BELLA FLOORING PLUS,ENG-NRTH-0010,cost -> promo,(none),3.69,3.99,3.99,3.69,promo-268d15f3425e
BELLA FLOORING PLUS,ENG-NRTH-0062,(P) on,(none),3.79,3.99,"NRTHENG - Winery White Oak (Black Cedar) T&G | 6.5"" x 19mm x RL - 1.5mm top - 25.58sf/b","(P) NRTHENG - Winery White Oak (Black Cedar) T&G | 6.5"" x 19mm x RL - 1.5mm top - 25.58sf/b",promo-126bc26d9907
BELLA FLOORING PLUS,ENG-NRTH-0062,cost -> promo,(none),3.79,3.99,3.99,3.79,promo-6718f0d68055
BELLA FLOORING PLUS,ENG-NRTH-0063,(P) on,(none),3.79,3.99,"NRTHENG - Winery White Oak (Falcon Grey) T&G | 6.5"" x 19mm x RL - 1.5mm top - 25.58sf/b","(P) NRTHENG - Winery White Oak (Falcon Grey) T&G | 6.5"" x 19mm x RL - 1.5mm top - 25.58sf/b",promo-88ef654d31b8
BELLA FLOORING PLUS,ENG-NRTH-0063,cost -> promo,(none),3.79,3.99,3.99,3.79,promo-e56410953cf6
BELLA FLOORING PLUS,ENG-NRTH-0064,(P) on,(none),3.79,3.99,"NRTHENG - Winery White Oak (Old Country) T&G | 6.5"" x 19mm x RL - 1.5mm top - 25.58sf/b","(P) NRTHENG - Winery White Oak (Old Country) T&G | 6.5"" x 19mm x RL - 1.5mm top - 25.58sf/b",promo-0b1b9063b1c8
BELLA FLOORING PLUS,ENG-NRTH-0064,cost -> promo,(none),3.79,3.99,3.99,3.79,promo-f36a77bfde41
BELLA FLOORING PLUS,ENG-NRTH-0071,(P) on,(none),3.35,3.5,"NRTHENG - Performance White Oak (Hazelnut) T&G | 6"" x 19mm x RL - 1.5mm top - 23.73sf/b","(P) NRTHENG - Performance White Oak (Hazelnut) T&G | 6"" x 19mm x RL - 1.5mm top - 23.73sf/b",promo-c36d04789bd8
BELLA FLOORING PLUS,ENG-NRTH-0071,cost -> promo,(none),3.35,3.5,3.5,3.35,promo-d314bbaae9c1
BELLA FLOORING PLUS,ENG-NRTH-0072,(P) on,(none),3.35,3.5,"NRTHENG - Performance White Oak (Mid Oak) T&G | 6"" x 19mm x RL - 1.5mm top - 23.73sf/b","(P) NRTHENG - Performance White Oak (Mid Oak) T&G | 6"" x 19mm x RL - 1.5mm top - 23.73sf/b",promo-319eb239b0f8
BELLA FLOORING PLUS,ENG-NRTH-0072,cost -> promo,(none),3.35,3.5,3.5,3.35,promo-e0e6d1082285
BELLA FLOORING PLUS,ENG-NRTH-0073,(P) on,(none),3.35,3.5,"NRTHENG - Performance White Oak (Grey Stone) T&G | 6"" x 19mm x RL - 1.5mm top - 23.73sf/b","(P) NRTHENG - Performance White Oak (Grey Stone) T&G | 6"" x 19mm x RL - 1.5mm top - 23.73sf/b",promo-c86bb0dd630f
BELLA FLOORING PLUS,ENG-NRTH-0073,cost -> promo,(none),3.35,3.5,3.5,3.35,promo-74b75db570bb
BELLA FLOORING PLUS,LVP-NRTH-0001,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Saffiano) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Saffiano) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-b9956c6e7a0a
BELLA FLOORING PLUS,LVP-NRTH-0001,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-96f0b0c00b21
